"date","north dakota"
"2013-12-01",16
"2013-12-08",11
"2013-12-15",14
"2013-12-22",7
"2013-12-29",12
"2014-01-05",11
"2014-01-12",8
"2014-01-19",21
"2014-01-26",10
"2014-02-02",8
"2014-02-09",11
"2014-02-16",19
"2014-02-23",18
"2014-03-02",19
"2014-03-09",22
"2014-03-16",17
"2014-03-23",19
"2014-03-30",15
"2014-04-06",11
"2014-04-13",22
"2014-04-20",33
"2014-04-27",16
"2014-05-04",8
"2014-05-11",22
"2014-05-18",17
"2014-05-25",22
"2014-06-01",24
"2014-06-08",11
"2014-06-15",14
"2014-06-22",14
"2014-06-29",11
"2014-07-06",28
"2014-07-13",21
"2014-07-20",17
"2014-07-27",14
"2014-08-03",19
"2014-08-10",14
"2014-08-17",24
"2014-08-24",23
"2014-08-31",23
"2014-09-07",28
"2014-09-14",13
"2014-09-21",12
"2014-09-28",27
"2014-10-05",24
"2014-10-12",18
"2014-10-19",9
"2014-10-26",17
"2014-11-02",6
"2014-11-09",20
"2014-11-16",17
"2014-11-23",9
"2014-11-30",19
"2014-12-07",11
"2014-12-14",23
"2014-12-21",14
"2014-12-28",13
"2015-01-04",14
"2015-01-11",17
"2015-01-18",6
"2015-01-25",20
"2015-02-01",22
"2015-02-08",19
"2015-02-15",14
"2015-02-22",19
"2015-03-01",11
"2015-03-08",14
"2015-03-15",9
"2015-03-22",21
"2015-03-29",23
"2015-04-05",32
"2015-04-12",23
"2015-04-19",14
"2015-04-26",20
"2015-05-03",26
"2015-05-10",14
"2015-05-17",18
"2015-05-24",26
"2015-05-31",16
"2015-06-07",21
"2015-06-14",14
"2015-06-21",18
"2015-06-28",29
"2015-07-05",14
"2015-07-12",20
"2015-07-19",13
"2015-07-26",20
"2015-08-02",36
"2015-08-09",30
"2015-08-16",32
"2015-08-23",12
"2015-08-30",35
"2015-09-06",24
"2015-09-13",20
"2015-09-20",20
"2015-09-27",32
"2015-10-04",32
"2015-10-11",23
"2015-10-18",14
"2015-10-25",21
"2015-11-01",27
"2015-11-08",14
"2015-11-15",8
"2015-11-22",15
"2015-11-29",18
"2015-12-06",10
"2015-12-13",22
"2015-12-20",17
"2015-12-27",21
"2016-01-03",19
"2016-01-10",16
"2016-01-17",14
"2016-01-24",23
"2016-01-31",16
"2016-02-07",18
"2016-02-14",25
"2016-02-21",7
"2016-02-28",16
"2016-03-06",23
"2016-03-13",9
"2016-03-20",30
"2016-03-27",100
"2016-04-03",62
"2016-04-10",20
"2016-04-17",29
"2016-04-24",20
"2016-05-01",27
"2016-05-08",21
"2016-05-15",28
"2016-05-22",25
"2016-05-29",24
"2016-06-05",21
"2016-06-12",20
"2016-06-19",29
"2016-06-26",21
"2016-07-03",16
"2016-07-10",12
"2016-07-17",30
"2016-07-24",31
"2016-07-31",16
"2016-08-07",21
"2016-08-14",16
"2016-08-21",20
"2016-08-28",28
"2016-09-04",18
"2016-09-11",9
"2016-09-18",22
"2016-09-25",32
"2016-10-02",22
"2016-10-09",29
"2016-10-16",44
"2016-10-23",16
"2016-10-30",22
"2016-11-06",15
"2016-11-13",30
"2016-11-20",20
"2016-11-27",37
"2016-12-04",24
"2016-12-11",25
"2016-12-18",31
"2016-12-25",12
"2017-01-01",31
"2017-01-08",21
"2017-01-15",21
"2017-01-22",26
"2017-01-29",16
"2017-02-05",26
"2017-02-12",17
"2017-02-19",15
"2017-02-26",33
"2017-03-05",22
"2017-03-12",19
"2017-03-19",37
"2017-03-26",25
"2017-04-02",27
"2017-04-09",36
"2017-04-16",27
"2017-04-23",28
"2017-04-30",32
"2017-05-07",31
"2017-05-14",40
"2017-05-21",36
"2017-05-28",43
"2017-06-04",22
"2017-06-11",12
"2017-06-18",21
"2017-06-25",25
"2017-07-02",51
"2017-07-09",44
"2017-07-16",7
"2017-07-23",34
"2017-07-30",57
"2017-08-06",27
"2017-08-13",25
"2017-08-20",31
"2017-08-27",32
"2017-09-03",54
"2017-09-10",18
"2017-09-17",33
"2017-09-24",29
"2017-10-01",33
"2017-10-08",19
"2017-10-15",33
"2017-10-22",27
"2017-10-29",35
"2017-11-05",30
"2017-11-12",93
"2017-11-19",50
"2017-11-26",38
"2017-12-03",17
"2017-12-10",35
"2017-12-17",32
"2017-12-24",37
"2017-12-31",33
"2018-01-07",39
"2018-01-14",34
"2018-01-21",40
"2018-01-28",17
"2018-02-04",79
"2018-02-11",44
"2018-02-18",29
"2018-02-25",34
"2018-03-04",28
"2018-03-11",42
"2018-03-18",32
"2018-03-25",41
"2018-04-01",35
"2018-04-08",35
"2018-04-15",25
"2018-04-22",44
"2018-04-29",49
"2018-05-06",39
"2018-05-13",29
"2018-05-20",13
"2018-05-27",27
"2018-06-03",35
"2018-06-10",23
"2018-06-17",28
"2018-06-24",15
"2018-07-01",45
"2018-07-08",28
"2018-07-15",33
"2018-07-22",53
"2018-07-29",29
"2018-08-05",46
"2018-08-12",37
"2018-08-19",26
"2018-08-26",27
"2018-09-02",45
"2018-09-09",42
"2018-09-16",30
"2018-09-23",44
"2018-09-30",36
"2018-10-07",28
"2018-10-14",21
"2018-10-21",43
"2018-10-28",23
"2018-11-04",25
"2018-11-11",29
"2018-11-18",43
