"date","ohio"
"2013-12-01",12
"2013-12-08",13
"2013-12-15",11
"2013-12-22",14
"2013-12-29",10
"2014-01-05",8
"2014-01-12",12
"2014-01-19",11
"2014-01-26",10
"2014-02-02",12
"2014-02-09",10
"2014-02-16",15
"2014-02-23",21
"2014-03-02",12
"2014-03-09",19
"2014-03-16",17
"2014-03-23",20
"2014-03-30",32
"2014-04-06",14
"2014-04-13",18
"2014-04-20",16
"2014-04-27",12
"2014-05-04",19
"2014-05-11",17
"2014-05-18",17
"2014-05-25",13
"2014-06-01",19
"2014-06-08",20
"2014-06-15",20
"2014-06-22",16
"2014-06-29",18
"2014-07-06",20
"2014-07-13",24
"2014-07-20",17
"2014-07-27",19
"2014-08-03",16
"2014-08-10",16
"2014-08-17",18
"2014-08-24",14
"2014-08-31",16
"2014-09-07",16
"2014-09-14",16
"2014-09-21",16
"2014-09-28",19
"2014-10-05",31
"2014-10-12",20
"2014-10-19",18
"2014-10-26",15
"2014-11-02",12
"2014-11-09",17
"2014-11-16",14
"2014-11-23",13
"2014-11-30",11
"2014-12-07",13
"2014-12-14",15
"2014-12-21",17
"2014-12-28",15
"2015-01-04",11
"2015-01-11",14
"2015-01-18",16
"2015-01-25",34
"2015-02-01",21
"2015-02-08",22
"2015-02-15",19
"2015-02-22",15
"2015-03-01",15
"2015-03-08",15
"2015-03-15",20
"2015-03-22",17
"2015-03-29",18
"2015-04-05",19
"2015-04-12",18
"2015-04-19",16
"2015-04-26",27
"2015-05-03",29
"2015-05-10",20
"2015-05-17",18
"2015-05-24",19
"2015-05-31",17
"2015-06-07",18
"2015-06-14",20
"2015-06-21",17
"2015-06-28",20
"2015-07-05",16
"2015-07-12",19
"2015-07-19",22
"2015-07-26",18
"2015-08-02",23
"2015-08-09",17
"2015-08-16",19
"2015-08-23",23
"2015-08-30",19
"2015-09-06",17
"2015-09-13",16
"2015-09-20",17
"2015-09-27",33
"2015-10-04",20
"2015-10-11",20
"2015-10-18",18
"2015-10-25",19
"2015-11-01",16
"2015-11-08",12
"2015-11-15",16
"2015-11-22",19
"2015-11-29",17
"2015-12-06",14
"2015-12-13",14
"2015-12-20",15
"2015-12-27",16
"2016-01-03",15
"2016-01-10",15
"2016-01-17",14
"2016-01-24",17
"2016-01-31",21
"2016-02-07",22
"2016-02-14",18
"2016-02-21",15
"2016-02-28",18
"2016-03-06",15
"2016-03-13",15
"2016-03-20",18
"2016-03-27",100
"2016-04-03",60
"2016-04-10",29
"2016-04-17",19
"2016-04-24",19
"2016-05-01",20
"2016-05-08",22
"2016-05-15",18
"2016-05-22",21
"2016-05-29",21
"2016-06-05",16
"2016-06-12",17
"2016-06-19",20
"2016-06-26",27
"2016-07-03",23
"2016-07-10",21
"2016-07-17",20
"2016-07-24",24
"2016-07-31",17
"2016-08-07",18
"2016-08-14",15
"2016-08-21",23
"2016-08-28",21
"2016-09-04",14
"2016-09-11",22
"2016-09-18",16
"2016-09-25",21
"2016-10-02",19
"2016-10-09",17
"2016-10-16",24
"2016-10-23",20
"2016-10-30",24
"2016-11-06",22
"2016-11-13",20
"2016-11-20",22
"2016-11-27",17
"2016-12-04",18
"2016-12-11",16
"2016-12-18",20
"2016-12-25",21
"2017-01-01",22
"2017-01-08",20
"2017-01-15",19
"2017-01-22",21
"2017-01-29",17
"2017-02-05",20
"2017-02-12",23
"2017-02-19",22
"2017-02-26",22
"2017-03-05",20
"2017-03-12",19
"2017-03-19",19
"2017-03-26",19
"2017-04-02",25
"2017-04-09",27
"2017-04-16",20
"2017-04-23",19
"2017-04-30",23
"2017-05-07",28
"2017-05-14",25
"2017-05-21",20
"2017-05-28",23
"2017-06-04",23
"2017-06-11",23
"2017-06-18",22
"2017-06-25",24
"2017-07-02",41
"2017-07-09",35
"2017-07-16",23
"2017-07-23",35
"2017-07-30",43
"2017-08-06",29
"2017-08-13",27
"2017-08-20",21
"2017-08-27",20
"2017-09-03",21
"2017-09-10",21
"2017-09-17",20
"2017-09-24",19
"2017-10-01",22
"2017-10-08",23
"2017-10-15",23
"2017-10-22",22
"2017-10-29",26
"2017-11-05",24
"2017-11-12",58
"2017-11-19",48
"2017-11-26",32
"2017-12-03",28
"2017-12-10",26
"2017-12-17",29
"2017-12-24",30
"2017-12-31",25
"2018-01-07",28
"2018-01-14",24
"2018-01-21",27
"2018-01-28",27
"2018-02-04",56
"2018-02-11",31
"2018-02-18",26
"2018-02-25",26
"2018-03-04",25
"2018-03-11",23
"2018-03-18",23
"2018-03-25",32
"2018-04-01",29
"2018-04-08",24
"2018-04-15",26
"2018-04-22",24
"2018-04-29",35
"2018-05-06",29
"2018-05-13",28
"2018-05-20",29
"2018-05-27",23
"2018-06-03",23
"2018-06-10",26
"2018-06-17",26
"2018-06-24",30
"2018-07-01",28
"2018-07-08",28
"2018-07-15",34
"2018-07-22",25
"2018-07-29",30
"2018-08-05",37
"2018-08-12",31
"2018-08-19",31
"2018-08-26",26
"2018-09-02",36
"2018-09-09",35
"2018-09-16",29
"2018-09-23",36
"2018-09-30",40
"2018-10-07",30
"2018-10-14",33
"2018-10-21",35
"2018-10-28",30
"2018-11-04",24
"2018-11-11",26
"2018-11-18",25
