"date","oklahoma"
"2013-12-01",15
"2013-12-08",15
"2013-12-15",19
"2013-12-22",17
"2013-12-29",15
"2014-01-05",15
"2014-01-12",16
"2014-01-19",15
"2014-01-26",21
"2014-02-02",12
"2014-02-09",16
"2014-02-16",17
"2014-02-23",22
"2014-03-02",18
"2014-03-09",21
"2014-03-16",19
"2014-03-23",23
"2014-03-30",29
"2014-04-06",26
"2014-04-13",13
"2014-04-20",24
"2014-04-27",24
"2014-05-04",21
"2014-05-11",25
"2014-05-18",22
"2014-05-25",21
"2014-06-01",17
"2014-06-08",26
"2014-06-15",23
"2014-06-22",21
"2014-06-29",25
"2014-07-06",27
"2014-07-13",48
"2014-07-20",24
"2014-07-27",12
"2014-08-03",18
"2014-08-10",19
"2014-08-17",20
"2014-08-24",21
"2014-08-31",25
"2014-09-07",25
"2014-09-14",26
"2014-09-21",28
"2014-09-28",30
"2014-10-05",44
"2014-10-12",42
"2014-10-19",32
"2014-10-26",33
"2014-11-02",23
"2014-11-09",26
"2014-11-16",25
"2014-11-23",30
"2014-11-30",31
"2014-12-07",24
"2014-12-14",23
"2014-12-21",26
"2014-12-28",37
"2015-01-04",24
"2015-01-11",38
"2015-01-18",27
"2015-01-25",42
"2015-02-01",28
"2015-02-08",36
"2015-02-15",35
"2015-02-22",32
"2015-03-01",27
"2015-03-08",27
"2015-03-15",31
"2015-03-22",30
"2015-03-29",36
"2015-04-05",27
"2015-04-12",26
"2015-04-19",28
"2015-04-26",49
"2015-05-03",52
"2015-05-10",35
"2015-05-17",36
"2015-05-24",36
"2015-05-31",31
"2015-06-07",40
"2015-06-14",38
"2015-06-21",31
"2015-06-28",10
"2015-07-05",11
"2015-07-12",22
"2015-07-19",29
"2015-07-26",24
"2015-08-02",36
"2015-08-09",23
"2015-08-16",13
"2015-08-23",31
"2015-08-30",35
"2015-09-06",23
"2015-09-13",20
"2015-09-20",22
"2015-09-27",40
"2015-10-04",45
"2015-10-11",28
"2015-10-18",21
"2015-10-25",26
"2015-11-01",28
"2015-11-08",17
"2015-11-15",14
"2015-11-22",20
"2015-11-29",20
"2015-12-06",27
"2015-12-13",29
"2015-12-20",24
"2015-12-27",23
"2016-01-03",12
"2016-01-10",24
"2016-01-17",14
"2016-01-24",24
"2016-01-31",22
"2016-02-07",36
"2016-02-14",19
"2016-02-21",16
"2016-02-28",18
"2016-03-06",18
"2016-03-13",18
"2016-03-20",29
"2016-03-27",100
"2016-04-03",54
"2016-04-10",25
"2016-04-17",25
"2016-04-24",17
"2016-05-01",28
"2016-05-08",25
"2016-05-15",22
"2016-05-22",20
"2016-05-29",22
"2016-06-05",24
"2016-06-12",16
"2016-06-19",26
"2016-06-26",27
"2016-07-03",29
"2016-07-10",27
"2016-07-17",22
"2016-07-24",26
"2016-07-31",24
"2016-08-07",25
"2016-08-14",17
"2016-08-21",26
"2016-08-28",25
"2016-09-04",24
"2016-09-11",17
"2016-09-18",25
"2016-09-25",27
"2016-10-02",19
"2016-10-09",20
"2016-10-16",24
"2016-10-23",25
"2016-10-30",29
"2016-11-06",20
"2016-11-13",26
"2016-11-20",27
"2016-11-27",22
"2016-12-04",22
"2016-12-11",21
"2016-12-18",21
"2016-12-25",26
"2017-01-01",22
"2017-01-08",27
"2017-01-15",21
"2017-01-22",20
"2017-01-29",21
"2017-02-05",30
"2017-02-12",23
"2017-02-19",33
"2017-02-26",34
"2017-03-05",21
"2017-03-12",20
"2017-03-19",24
"2017-03-26",27
"2017-04-02",33
"2017-04-09",28
"2017-04-16",29
"2017-04-23",30
"2017-04-30",32
"2017-05-07",35
"2017-05-14",36
"2017-05-21",28
"2017-05-28",28
"2017-06-04",26
"2017-06-11",24
"2017-06-18",19
"2017-06-25",23
"2017-07-02",44
"2017-07-09",36
"2017-07-16",32
"2017-07-23",41
"2017-07-30",61
"2017-08-06",33
"2017-08-13",28
"2017-08-20",28
"2017-08-27",22
"2017-09-03",28
"2017-09-10",26
"2017-09-17",19
"2017-09-24",29
"2017-10-01",29
"2017-10-08",25
"2017-10-15",33
"2017-10-22",32
"2017-10-29",27
"2017-11-05",24
"2017-11-12",75
"2017-11-19",66
"2017-11-26",37
"2017-12-03",34
"2017-12-10",36
"2017-12-17",33
"2017-12-24",44
"2017-12-31",30
"2018-01-07",39
"2018-01-14",33
"2018-01-21",33
"2018-01-28",42
"2018-02-04",87
"2018-02-11",44
"2018-02-18",34
"2018-02-25",28
"2018-03-04",26
"2018-03-11",32
"2018-03-18",31
"2018-03-25",33
"2018-04-01",35
"2018-04-08",33
"2018-04-15",37
"2018-04-22",34
"2018-04-29",33
"2018-05-06",38
"2018-05-13",34
"2018-05-20",24
"2018-05-27",26
"2018-06-03",39
"2018-06-10",34
"2018-06-17",29
"2018-06-24",31
"2018-07-01",32
"2018-07-08",29
"2018-07-15",35
"2018-07-22",30
"2018-07-29",37
"2018-08-05",44
"2018-08-12",40
"2018-08-19",40
"2018-08-26",32
"2018-09-02",46
"2018-09-09",61
"2018-09-16",35
"2018-09-23",35
"2018-09-30",41
"2018-10-07",37
"2018-10-14",40
"2018-10-21",36
"2018-10-28",37
"2018-11-04",25
"2018-11-11",35
"2018-11-18",32
