"date","oregon"
"2013-12-01",6
"2013-12-08",6
"2013-12-15",8
"2013-12-22",7
"2013-12-29",6
"2014-01-05",6
"2014-01-12",8
"2014-01-19",9
"2014-01-26",9
"2014-02-02",10
"2014-02-09",8
"2014-02-16",12
"2014-02-23",15
"2014-03-02",13
"2014-03-09",18
"2014-03-16",15
"2014-03-23",18
"2014-03-30",16
"2014-04-06",11
"2014-04-13",11
"2014-04-20",10
"2014-04-27",9
"2014-05-04",12
"2014-05-11",16
"2014-05-18",11
"2014-05-25",12
"2014-06-01",12
"2014-06-08",14
"2014-06-15",13
"2014-06-22",9
"2014-06-29",12
"2014-07-06",14
"2014-07-13",13
"2014-07-20",14
"2014-07-27",13
"2014-08-03",12
"2014-08-10",9
"2014-08-17",12
"2014-08-24",9
"2014-08-31",10
"2014-09-07",11
"2014-09-14",9
"2014-09-21",9
"2014-09-28",10
"2014-10-05",16
"2014-10-12",11
"2014-10-19",8
"2014-10-26",11
"2014-11-02",8
"2014-11-09",7
"2014-11-16",8
"2014-11-23",6
"2014-11-30",6
"2014-12-07",7
"2014-12-14",6
"2014-12-21",10
"2014-12-28",9
"2015-01-04",8
"2015-01-11",12
"2015-01-18",9
"2015-01-25",11
"2015-02-01",9
"2015-02-08",11
"2015-02-15",11
"2015-02-22",8
"2015-03-01",10
"2015-03-08",9
"2015-03-15",11
"2015-03-22",8
"2015-03-29",11
"2015-04-05",10
"2015-04-12",11
"2015-04-19",10
"2015-04-26",18
"2015-05-03",25
"2015-05-10",18
"2015-05-17",17
"2015-05-24",16
"2015-05-31",16
"2015-06-07",19
"2015-06-14",20
"2015-06-21",17
"2015-06-28",15
"2015-07-05",17
"2015-07-12",16
"2015-07-19",18
"2015-07-26",20
"2015-08-02",21
"2015-08-09",15
"2015-08-16",17
"2015-08-23",18
"2015-08-30",24
"2015-09-06",18
"2015-09-13",21
"2015-09-20",19
"2015-09-27",31
"2015-10-04",20
"2015-10-11",22
"2015-10-18",19
"2015-10-25",17
"2015-11-01",17
"2015-11-08",18
"2015-11-15",16
"2015-11-22",16
"2015-11-29",15
"2015-12-06",15
"2015-12-13",15
"2015-12-20",16
"2015-12-27",17
"2016-01-03",17
"2016-01-10",21
"2016-01-17",14
"2016-01-24",18
"2016-01-31",19
"2016-02-07",25
"2016-02-14",16
"2016-02-21",18
"2016-02-28",19
"2016-03-06",16
"2016-03-13",17
"2016-03-20",20
"2016-03-27",100
"2016-04-03",56
"2016-04-10",30
"2016-04-17",25
"2016-04-24",22
"2016-05-01",23
"2016-05-08",24
"2016-05-15",19
"2016-05-22",22
"2016-05-29",21
"2016-06-05",23
"2016-06-12",18
"2016-06-19",23
"2016-06-26",28
"2016-07-03",24
"2016-07-10",23
"2016-07-17",17
"2016-07-24",20
"2016-07-31",20
"2016-08-07",18
"2016-08-14",16
"2016-08-21",19
"2016-08-28",16
"2016-09-04",14
"2016-09-11",14
"2016-09-18",18
"2016-09-25",24
"2016-10-02",20
"2016-10-09",14
"2016-10-16",29
"2016-10-23",22
"2016-10-30",23
"2016-11-06",21
"2016-11-13",22
"2016-11-20",19
"2016-11-27",20
"2016-12-04",18
"2016-12-11",17
"2016-12-18",19
"2016-12-25",22
"2017-01-01",23
"2017-01-08",17
"2017-01-15",17
"2017-01-22",21
"2017-01-29",17
"2017-02-05",20
"2017-02-12",18
"2017-02-19",22
"2017-02-26",19
"2017-03-05",21
"2017-03-12",15
"2017-03-19",18
"2017-03-26",22
"2017-04-02",30
"2017-04-09",26
"2017-04-16",26
"2017-04-23",21
"2017-04-30",23
"2017-05-07",30
"2017-05-14",26
"2017-05-21",24
"2017-05-28",22
"2017-06-04",28
"2017-06-11",25
"2017-06-18",24
"2017-06-25",22
"2017-07-02",43
"2017-07-09",36
"2017-07-16",26
"2017-07-23",36
"2017-07-30",41
"2017-08-06",26
"2017-08-13",25
"2017-08-20",28
"2017-08-27",18
"2017-09-03",23
"2017-09-10",24
"2017-09-17",20
"2017-09-24",20
"2017-10-01",22
"2017-10-08",26
"2017-10-15",29
"2017-10-22",47
"2017-10-29",26
"2017-11-05",23
"2017-11-12",56
"2017-11-19",46
"2017-11-26",35
"2017-12-03",32
"2017-12-10",31
"2017-12-17",25
"2017-12-24",29
"2017-12-31",25
"2018-01-07",27
"2018-01-14",26
"2018-01-21",26
"2018-01-28",28
"2018-02-04",58
"2018-02-11",32
"2018-02-18",24
"2018-02-25",25
"2018-03-04",23
"2018-03-11",25
"2018-03-18",21
"2018-03-25",34
"2018-04-01",34
"2018-04-08",28
"2018-04-15",26
"2018-04-22",23
"2018-04-29",29
"2018-05-06",31
"2018-05-13",32
"2018-05-20",29
"2018-05-27",25
"2018-06-03",28
"2018-06-10",26
"2018-06-17",29
"2018-06-24",31
"2018-07-01",29
"2018-07-08",30
"2018-07-15",27
"2018-07-22",35
"2018-07-29",35
"2018-08-05",46
"2018-08-12",37
"2018-08-19",37
"2018-08-26",32
"2018-09-02",45
"2018-09-09",47
"2018-09-16",37
"2018-09-23",42
"2018-09-30",49
"2018-10-07",39
"2018-10-14",38
"2018-10-21",40
"2018-10-28",33
"2018-11-04",31
"2018-11-11",34
"2018-11-18",31
