"date","pennsylvania"
"2013-12-01",15
"2013-12-08",10
"2013-12-15",14
"2013-12-22",12
"2013-12-29",12
"2014-01-05",12
"2014-01-12",16
"2014-01-19",14
"2014-01-26",13
"2014-02-02",14
"2014-02-09",13
"2014-02-16",21
"2014-02-23",30
"2014-03-02",16
"2014-03-09",24
"2014-03-16",24
"2014-03-23",22
"2014-03-30",32
"2014-04-06",20
"2014-04-13",16
"2014-04-20",20
"2014-04-27",18
"2014-05-04",20
"2014-05-11",23
"2014-05-18",17
"2014-05-25",20
"2014-06-01",20
"2014-06-08",25
"2014-06-15",24
"2014-06-22",18
"2014-06-29",19
"2014-07-06",23
"2014-07-13",28
"2014-07-20",22
"2014-07-27",19
"2014-08-03",23
"2014-08-10",21
"2014-08-17",21
"2014-08-24",18
"2014-08-31",23
"2014-09-07",20
"2014-09-14",17
"2014-09-21",15
"2014-09-28",22
"2014-10-05",37
"2014-10-12",23
"2014-10-19",21
"2014-10-26",21
"2014-11-02",18
"2014-11-09",17
"2014-11-16",14
"2014-11-23",18
"2014-11-30",16
"2014-12-07",13
"2014-12-14",17
"2014-12-21",20
"2014-12-28",17
"2015-01-04",18
"2015-01-11",18
"2015-01-18",18
"2015-01-25",32
"2015-02-01",20
"2015-02-08",24
"2015-02-15",18
"2015-02-22",16
"2015-03-01",16
"2015-03-08",14
"2015-03-15",22
"2015-03-22",23
"2015-03-29",22
"2015-04-05",21
"2015-04-12",21
"2015-04-19",21
"2015-04-26",37
"2015-05-03",37
"2015-05-10",26
"2015-05-17",23
"2015-05-24",21
"2015-05-31",18
"2015-06-07",21
"2015-06-14",22
"2015-06-21",20
"2015-06-28",18
"2015-07-05",20
"2015-07-12",19
"2015-07-19",26
"2015-07-26",22
"2015-08-02",23
"2015-08-09",23
"2015-08-16",22
"2015-08-23",24
"2015-08-30",26
"2015-09-06",23
"2015-09-13",21
"2015-09-20",19
"2015-09-27",36
"2015-10-04",26
"2015-10-11",24
"2015-10-18",23
"2015-10-25",21
"2015-11-01",21
"2015-11-08",19
"2015-11-15",18
"2015-11-22",19
"2015-11-29",16
"2015-12-06",21
"2015-12-13",16
"2015-12-20",19
"2015-12-27",21
"2016-01-03",21
"2016-01-10",18
"2016-01-17",14
"2016-01-24",18
"2016-01-31",23
"2016-02-07",25
"2016-02-14",21
"2016-02-21",16
"2016-02-28",18
"2016-03-06",19
"2016-03-13",19
"2016-03-20",25
"2016-03-27",100
"2016-04-03",56
"2016-04-10",31
"2016-04-17",27
"2016-04-24",24
"2016-05-01",25
"2016-05-08",23
"2016-05-15",25
"2016-05-22",21
"2016-05-29",22
"2016-06-05",26
"2016-06-12",20
"2016-06-19",27
"2016-06-26",32
"2016-07-03",29
"2016-07-10",26
"2016-07-17",26
"2016-07-24",22
"2016-07-31",22
"2016-08-07",20
"2016-08-14",17
"2016-08-21",25
"2016-08-28",21
"2016-09-04",19
"2016-09-11",17
"2016-09-18",19
"2016-09-25",18
"2016-10-02",22
"2016-10-09",20
"2016-10-16",32
"2016-10-23",23
"2016-10-30",26
"2016-11-06",22
"2016-11-13",22
"2016-11-20",21
"2016-11-27",21
"2016-12-04",20
"2016-12-11",21
"2016-12-18",21
"2016-12-25",27
"2017-01-01",24
"2017-01-08",21
"2017-01-15",20
"2017-01-22",22
"2017-01-29",21
"2017-02-05",22
"2017-02-12",23
"2017-02-19",23
"2017-02-26",21
"2017-03-05",22
"2017-03-12",22
"2017-03-19",24
"2017-03-26",27
"2017-04-02",30
"2017-04-09",35
"2017-04-16",28
"2017-04-23",25
"2017-04-30",27
"2017-05-07",33
"2017-05-14",29
"2017-05-21",27
"2017-05-28",25
"2017-06-04",31
"2017-06-11",27
"2017-06-18",28
"2017-06-25",28
"2017-07-02",47
"2017-07-09",40
"2017-07-16",32
"2017-07-23",46
"2017-07-30",54
"2017-08-06",37
"2017-08-13",30
"2017-08-20",25
"2017-08-27",25
"2017-09-03",23
"2017-09-10",28
"2017-09-17",28
"2017-09-24",25
"2017-10-01",27
"2017-10-08",27
"2017-10-15",25
"2017-10-22",27
"2017-10-29",31
"2017-11-05",27
"2017-11-12",63
"2017-11-19",52
"2017-11-26",33
"2017-12-03",30
"2017-12-10",29
"2017-12-17",31
"2017-12-24",33
"2017-12-31",31
"2018-01-07",29
"2018-01-14",26
"2018-01-21",32
"2018-01-28",31
"2018-02-04",59
"2018-02-11",38
"2018-02-18",31
"2018-02-25",29
"2018-03-04",25
"2018-03-11",25
"2018-03-18",27
"2018-03-25",36
"2018-04-01",37
"2018-04-08",29
"2018-04-15",29
"2018-04-22",27
"2018-04-29",37
"2018-05-06",34
"2018-05-13",36
"2018-05-20",37
"2018-05-27",29
"2018-06-03",31
"2018-06-10",29
"2018-06-17",31
"2018-06-24",36
"2018-07-01",34
"2018-07-08",35
"2018-07-15",33
"2018-07-22",34
"2018-07-29",40
"2018-08-05",45
"2018-08-12",36
"2018-08-19",34
"2018-08-26",33
"2018-09-02",44
"2018-09-09",46
"2018-09-16",37
"2018-09-23",43
"2018-09-30",49
"2018-10-07",37
"2018-10-14",39
"2018-10-21",43
"2018-10-28",34
"2018-11-04",35
"2018-11-11",31
"2018-11-18",30
