"date","rhode island"
"2013-12-01",16
"2013-12-08",18
"2013-12-15",6
"2013-12-22",15
"2013-12-29",10
"2014-01-05",9
"2014-01-12",16
"2014-01-19",4
"2014-01-26",11
"2014-02-02",13
"2014-02-09",12
"2014-02-16",30
"2014-02-23",20
"2014-03-02",20
"2014-03-09",25
"2014-03-16",17
"2014-03-23",10
"2014-03-30",23
"2014-04-06",19
"2014-04-13",13
"2014-04-20",11
"2014-04-27",14
"2014-05-04",13
"2014-05-11",29
"2014-05-18",7
"2014-05-25",11
"2014-06-01",21
"2014-06-08",22
"2014-06-15",9
"2014-06-22",9
"2014-06-29",10
"2014-07-06",17
"2014-07-13",23
"2014-07-20",21
"2014-07-27",23
"2014-08-03",11
"2014-08-10",18
"2014-08-17",8
"2014-08-24",5
"2014-08-31",13
"2014-09-07",12
"2014-09-14",16
"2014-09-21",18
"2014-09-28",17
"2014-10-05",43
"2014-10-12",24
"2014-10-19",11
"2014-10-26",13
"2014-11-02",11
"2014-11-09",15
"2014-11-16",17
"2014-11-23",10
"2014-11-30",11
"2014-12-07",12
"2014-12-14",15
"2014-12-21",19
"2014-12-28",9
"2015-01-04",18
"2015-01-11",15
"2015-01-18",14
"2015-01-25",27
"2015-02-01",12
"2015-02-08",22
"2015-02-15",10
"2015-02-22",9
"2015-03-01",9
"2015-03-08",12
"2015-03-15",23
"2015-03-22",14
"2015-03-29",16
"2015-04-05",17
"2015-04-12",18
"2015-04-19",8
"2015-04-26",27
"2015-05-03",41
"2015-05-10",15
"2015-05-17",20
"2015-05-24",13
"2015-05-31",10
"2015-06-07",27
"2015-06-14",17
"2015-06-21",12
"2015-06-28",16
"2015-07-05",19
"2015-07-12",16
"2015-07-19",11
"2015-07-26",23
"2015-08-02",21
"2015-08-09",15
"2015-08-16",20
"2015-08-23",15
"2015-08-30",28
"2015-09-06",22
"2015-09-13",23
"2015-09-20",21
"2015-09-27",36
"2015-10-04",17
"2015-10-11",23
"2015-10-18",20
"2015-10-25",16
"2015-11-01",16
"2015-11-08",7
"2015-11-15",13
"2015-11-22",18
"2015-11-29",15
"2015-12-06",14
"2015-12-13",13
"2015-12-20",22
"2015-12-27",12
"2016-01-03",9
"2016-01-10",14
"2016-01-17",15
"2016-01-24",19
"2016-01-31",15
"2016-02-07",23
"2016-02-14",16
"2016-02-21",13
"2016-02-28",16
"2016-03-06",17
"2016-03-13",11
"2016-03-20",15
"2016-03-27",100
"2016-04-03",59
"2016-04-10",31
"2016-04-17",26
"2016-04-24",17
"2016-05-01",27
"2016-05-08",16
"2016-05-15",26
"2016-05-22",25
"2016-05-29",15
"2016-06-05",16
"2016-06-12",17
"2016-06-19",18
"2016-06-26",26
"2016-07-03",22
"2016-07-10",18
"2016-07-17",24
"2016-07-24",12
"2016-07-31",17
"2016-08-07",16
"2016-08-14",19
"2016-08-21",19
"2016-08-28",20
"2016-09-04",20
"2016-09-11",19
"2016-09-18",18
"2016-09-25",25
"2016-10-02",20
"2016-10-09",13
"2016-10-16",22
"2016-10-23",28
"2016-10-30",15
"2016-11-06",21
"2016-11-13",16
"2016-11-20",22
"2016-11-27",17
"2016-12-04",18
"2016-12-11",15
"2016-12-18",12
"2016-12-25",25
"2017-01-01",23
"2017-01-08",20
"2017-01-15",14
"2017-01-22",22
"2017-01-29",23
"2017-02-05",23
"2017-02-12",16
"2017-02-19",26
"2017-02-26",22
"2017-03-05",27
"2017-03-12",22
"2017-03-19",18
"2017-03-26",21
"2017-04-02",37
"2017-04-09",25
"2017-04-16",24
"2017-04-23",26
"2017-04-30",28
"2017-05-07",25
"2017-05-14",25
"2017-05-21",21
"2017-05-28",29
"2017-06-04",32
"2017-06-11",23
"2017-06-18",26
"2017-06-25",17
"2017-07-02",49
"2017-07-09",34
"2017-07-16",35
"2017-07-23",47
"2017-07-30",48
"2017-08-06",34
"2017-08-13",26
"2017-08-20",22
"2017-08-27",17
"2017-09-03",22
"2017-09-10",27
"2017-09-17",25
"2017-09-24",24
"2017-10-01",28
"2017-10-08",26
"2017-10-15",21
"2017-10-22",25
"2017-10-29",30
"2017-11-05",23
"2017-11-12",52
"2017-11-19",41
"2017-11-26",26
"2017-12-03",26
"2017-12-10",23
"2017-12-17",33
"2017-12-24",22
"2017-12-31",19
"2018-01-07",38
"2018-01-14",23
"2018-01-21",24
"2018-01-28",19
"2018-02-04",53
"2018-02-11",23
"2018-02-18",30
"2018-02-25",27
"2018-03-04",23
"2018-03-11",14
"2018-03-18",17
"2018-03-25",21
"2018-04-01",25
"2018-04-08",16
"2018-04-15",22
"2018-04-22",25
"2018-04-29",32
"2018-05-06",25
"2018-05-13",24
"2018-05-20",31
"2018-05-27",19
"2018-06-03",20
"2018-06-10",23
"2018-06-17",19
"2018-06-24",27
"2018-07-01",33
"2018-07-08",23
"2018-07-15",33
"2018-07-22",30
"2018-07-29",30
"2018-08-05",33
"2018-08-12",29
"2018-08-19",28
"2018-08-26",26
"2018-09-02",35
"2018-09-09",41
"2018-09-16",40
"2018-09-23",40
"2018-09-30",37
"2018-10-07",37
"2018-10-14",26
"2018-10-21",44
"2018-10-28",24
"2018-11-04",19
"2018-11-11",34
"2018-11-18",33
