"date","south carolina"
"2013-12-01",18
"2013-12-08",15
"2013-12-15",22
"2013-12-22",18
"2013-12-29",16
"2014-01-05",14
"2014-01-12",15
"2014-01-19",13
"2014-01-26",12
"2014-02-02",13
"2014-02-09",15
"2014-02-16",25
"2014-02-23",29
"2014-03-02",21
"2014-03-09",21
"2014-03-16",20
"2014-03-23",26
"2014-03-30",42
"2014-04-06",23
"2014-04-13",19
"2014-04-20",20
"2014-04-27",15
"2014-05-04",19
"2014-05-11",29
"2014-05-18",27
"2014-05-25",18
"2014-06-01",25
"2014-06-08",20
"2014-06-15",20
"2014-06-22",16
"2014-06-29",21
"2014-07-06",27
"2014-07-13",25
"2014-07-20",16
"2014-07-27",25
"2014-08-03",14
"2014-08-10",21
"2014-08-17",21
"2014-08-24",17
"2014-08-31",16
"2014-09-07",24
"2014-09-14",20
"2014-09-21",14
"2014-09-28",21
"2014-10-05",36
"2014-10-12",23
"2014-10-19",23
"2014-10-26",19
"2014-11-02",21
"2014-11-09",17
"2014-11-16",16
"2014-11-23",12
"2014-11-30",15
"2014-12-07",19
"2014-12-14",20
"2014-12-21",18
"2014-12-28",17
"2015-01-04",16
"2015-01-11",18
"2015-01-18",28
"2015-01-25",34
"2015-02-01",19
"2015-02-08",25
"2015-02-15",24
"2015-02-22",22
"2015-03-01",20
"2015-03-08",18
"2015-03-15",28
"2015-03-22",20
"2015-03-29",19
"2015-04-05",25
"2015-04-12",22
"2015-04-19",18
"2015-04-26",31
"2015-05-03",35
"2015-05-10",26
"2015-05-17",16
"2015-05-24",15
"2015-05-31",33
"2015-06-07",18
"2015-06-14",17
"2015-06-21",20
"2015-06-28",23
"2015-07-05",20
"2015-07-12",23
"2015-07-19",26
"2015-07-26",21
"2015-08-02",21
"2015-08-09",22
"2015-08-16",21
"2015-08-23",25
"2015-08-30",24
"2015-09-06",28
"2015-09-13",18
"2015-09-20",18
"2015-09-27",40
"2015-10-04",26
"2015-10-11",18
"2015-10-18",19
"2015-10-25",31
"2015-11-01",22
"2015-11-08",15
"2015-11-15",21
"2015-11-22",21
"2015-11-29",21
"2015-12-06",20
"2015-12-13",22
"2015-12-20",24
"2015-12-27",23
"2016-01-03",21
"2016-01-10",21
"2016-01-17",16
"2016-01-24",21
"2016-01-31",21
"2016-02-07",29
"2016-02-14",23
"2016-02-21",19
"2016-02-28",21
"2016-03-06",18
"2016-03-13",15
"2016-03-20",27
"2016-03-27",100
"2016-04-03",67
"2016-04-10",37
"2016-04-17",33
"2016-04-24",25
"2016-05-01",33
"2016-05-08",23
"2016-05-15",24
"2016-05-22",27
"2016-05-29",24
"2016-06-05",26
"2016-06-12",18
"2016-06-19",30
"2016-06-26",33
"2016-07-03",30
"2016-07-10",31
"2016-07-17",26
"2016-07-24",25
"2016-07-31",30
"2016-08-07",25
"2016-08-14",18
"2016-08-21",28
"2016-08-28",21
"2016-09-04",16
"2016-09-11",18
"2016-09-18",20
"2016-09-25",22
"2016-10-02",24
"2016-10-09",24
"2016-10-16",31
"2016-10-23",32
"2016-10-30",34
"2016-11-06",21
"2016-11-13",23
"2016-11-20",29
"2016-11-27",18
"2016-12-04",22
"2016-12-11",23
"2016-12-18",23
"2016-12-25",27
"2017-01-01",24
"2017-01-08",26
"2017-01-15",16
"2017-01-22",21
"2017-01-29",24
"2017-02-05",28
"2017-02-12",22
"2017-02-19",29
"2017-02-26",25
"2017-03-05",27
"2017-03-12",25
"2017-03-19",19
"2017-03-26",29
"2017-04-02",31
"2017-04-09",38
"2017-04-16",37
"2017-04-23",32
"2017-04-30",38
"2017-05-07",37
"2017-05-14",32
"2017-05-21",35
"2017-05-28",30
"2017-06-04",33
"2017-06-11",33
"2017-06-18",26
"2017-06-25",33
"2017-07-02",55
"2017-07-09",42
"2017-07-16",34
"2017-07-23",63
"2017-07-30",65
"2017-08-06",47
"2017-08-13",31
"2017-08-20",33
"2017-08-27",26
"2017-09-03",25
"2017-09-10",29
"2017-09-17",25
"2017-09-24",31
"2017-10-01",32
"2017-10-08",31
"2017-10-15",28
"2017-10-22",29
"2017-10-29",35
"2017-11-05",36
"2017-11-12",67
"2017-11-19",64
"2017-11-26",43
"2017-12-03",38
"2017-12-10",38
"2017-12-17",37
"2017-12-24",43
"2017-12-31",39
"2018-01-07",33
"2018-01-14",36
"2018-01-21",38
"2018-01-28",34
"2018-02-04",78
"2018-02-11",39
"2018-02-18",35
"2018-02-25",34
"2018-03-04",31
"2018-03-11",33
"2018-03-18",29
"2018-03-25",36
"2018-04-01",39
"2018-04-08",35
"2018-04-15",35
"2018-04-22",28
"2018-04-29",35
"2018-05-06",34
"2018-05-13",32
"2018-05-20",40
"2018-05-27",33
"2018-06-03",30
"2018-06-10",35
"2018-06-17",35
"2018-06-24",28
"2018-07-01",36
"2018-07-08",37
"2018-07-15",40
"2018-07-22",42
"2018-07-29",39
"2018-08-05",58
"2018-08-12",40
"2018-08-19",41
"2018-08-26",36
"2018-09-02",44
"2018-09-09",42
"2018-09-16",35
"2018-09-23",42
"2018-09-30",50
"2018-10-07",45
"2018-10-14",42
"2018-10-21",43
"2018-10-28",39
"2018-11-04",39
"2018-11-11",40
"2018-11-18",30
