"date","south dakota"
"2013-12-01",8
"2013-12-08",33
"2013-12-15",27
"2013-12-22",21
"2013-12-29",74
"2014-01-05",34
"2014-01-12",48
"2014-01-19",16
"2014-01-26",31
"2014-02-02",41
"2014-02-09",32
"2014-02-16",49
"2014-02-23",38
"2014-03-02",8
"2014-03-09",34
"2014-03-16",47
"2014-03-23",71
"2014-03-30",31
"2014-04-06",51
"2014-04-13",33
"2014-04-20",17
"2014-04-27",23
"2014-05-04",8
"2014-05-11",43
"2014-05-18",21
"2014-05-25",45
"2014-06-01",0
"2014-06-08",0
"2014-06-15",32
"2014-06-22",10
"2014-06-29",46
"2014-07-06",82
"2014-07-13",21
"2014-07-20",21
"2014-07-27",21
"2014-08-03",53
"2014-08-10",10
"2014-08-17",19
"2014-08-24",18
"2014-08-31",19
"2014-09-07",26
"2014-09-14",43
"2014-09-21",9
"2014-09-28",9
"2014-10-05",26
"2014-10-12",9
"2014-10-19",9
"2014-10-26",26
"2014-11-02",33
"2014-11-09",24
"2014-11-16",16
"2014-11-23",0
"2014-11-30",23
"2014-12-07",16
"2014-12-14",33
"2014-12-21",40
"2014-12-28",0
"2015-01-04",16
"2015-01-11",8
"2015-01-18",32
"2015-01-25",62
"2015-02-01",22
"2015-02-08",30
"2015-02-15",54
"2015-02-22",38
"2015-03-01",23
"2015-03-08",18
"2015-03-15",58
"2015-03-22",9
"2015-03-29",34
"2015-04-05",17
"2015-04-12",35
"2015-04-19",9
"2015-04-26",53
"2015-05-03",44
"2015-05-10",55
"2015-05-17",10
"2015-05-24",31
"2015-05-31",31
"2015-06-07",52
"2015-06-14",52
"2015-06-21",11
"2015-06-28",0
"2015-07-05",10
"2015-07-12",0
"2015-07-19",60
"2015-07-26",20
"2015-08-02",79
"2015-08-09",50
"2015-08-16",29
"2015-08-23",36
"2015-08-30",17
"2015-09-06",9
"2015-09-13",16
"2015-09-20",58
"2015-09-27",100
"2015-10-04",17
"2015-10-11",25
"2015-10-18",16
"2015-10-25",31
"2015-11-01",8
"2015-11-08",24
"2015-11-15",46
"2015-11-22",25
"2015-11-29",29
"2015-12-06",20
"2015-12-13",15
"2015-12-20",0
"2015-12-27",33
"2016-01-03",38
"2016-01-10",16
"2016-01-17",23
"2016-01-24",29
"2016-01-31",39
"2016-02-07",19
"2016-02-14",13
"2016-02-21",13
"2016-02-28",6
"2016-03-06",14
"2016-03-13",26
"2016-03-20",20
"2016-03-27",92
"2016-04-03",77
"2016-04-10",27
"2016-04-17",33
"2016-04-24",51
"2016-05-01",41
"2016-05-08",7
"2016-05-15",29
"2016-05-22",44
"2016-05-29",30
"2016-06-05",30
"2016-06-12",7
"2016-06-19",45
"2016-06-26",30
"2016-07-03",23
"2016-07-10",15
"2016-07-17",43
"2016-07-24",22
"2016-07-31",15
"2016-08-07",29
"2016-08-14",23
"2016-08-21",44
"2016-08-28",52
"2016-09-04",32
"2016-09-11",19
"2016-09-18",25
"2016-09-25",32
"2016-10-02",38
"2016-10-09",25
"2016-10-16",51
"2016-10-23",57
"2016-10-30",32
"2016-11-06",42
"2016-11-13",25
"2016-11-20",39
"2016-11-27",23
"2016-12-04",23
"2016-12-11",35
"2016-12-18",26
"2016-12-25",13
"2017-01-01",37
"2017-01-08",47
"2017-01-15",69
"2017-01-22",40
"2017-01-29",58
"2017-02-05",40
"2017-02-12",47
"2017-02-19",34
"2017-02-26",22
"2017-03-05",34
"2017-03-12",39
"2017-03-19",22
"2017-03-26",23
"2017-04-02",46
"2017-04-09",36
"2017-04-16",71
"2017-04-23",57
"2017-04-30",82
"2017-05-07",25
"2017-05-14",32
"2017-05-21",86
"2017-05-28",21
"2017-06-04",40
"2017-06-11",33
"2017-06-18",32
"2017-06-25",27
"2017-07-02",84
"2017-07-09",47
"2017-07-16",25
"2017-07-23",84
"2017-07-30",6
"2017-08-06",25
"2017-08-13",37
"2017-08-20",42
"2017-08-27",18
"2017-09-03",12
"2017-09-10",72
"2017-09-17",17
"2017-09-24",46
"2017-10-01",40
"2017-10-08",40
"2017-10-15",68
"2017-10-22",17
"2017-10-29",51
"2017-11-05",51
"2017-11-12",66
"2017-11-19",59
"2017-11-26",27
"2017-12-03",59
"2017-12-10",38
"2017-12-17",65
"2017-12-24",39
"2017-12-31",40
"2018-01-07",53
"2018-01-14",32
"2018-01-21",42
"2018-01-28",75
"2018-02-04",79
"2018-02-11",49
"2018-02-18",27
"2018-02-25",68
"2018-03-04",54
"2018-03-11",27
"2018-03-18",53
"2018-03-25",99
"2018-04-01",27
"2018-04-08",58
"2018-04-15",38
"2018-04-22",52
"2018-04-29",69
"2018-05-06",79
"2018-05-13",47
"2018-05-20",31
"2018-05-27",32
"2018-06-03",61
"2018-06-10",48
"2018-06-17",41
"2018-06-24",48
"2018-07-01",44
"2018-07-08",40
"2018-07-15",36
"2018-07-22",12
"2018-07-29",47
"2018-08-05",70
"2018-08-12",54
"2018-08-19",47
"2018-08-26",22
"2018-09-02",61
"2018-09-09",27
"2018-09-16",71
"2018-09-23",83
"2018-09-30",99
"2018-10-07",62
"2018-10-14",28
"2018-10-21",62
"2018-10-28",34
"2018-11-04",47
"2018-11-11",68
"2018-11-18",29
