"date","tennessee"
"2013-12-01",12
"2013-12-08",15
"2013-12-15",18
"2013-12-22",15
"2013-12-29",14
"2014-01-05",11
"2014-01-12",17
"2014-01-19",13
"2014-01-26",14
"2014-02-02",12
"2014-02-09",12
"2014-02-16",20
"2014-02-23",29
"2014-03-02",16
"2014-03-09",21
"2014-03-16",17
"2014-03-23",22
"2014-03-30",32
"2014-04-06",22
"2014-04-13",17
"2014-04-20",15
"2014-04-27",15
"2014-05-04",15
"2014-05-11",22
"2014-05-18",16
"2014-05-25",21
"2014-06-01",22
"2014-06-08",27
"2014-06-15",23
"2014-06-22",21
"2014-06-29",24
"2014-07-06",26
"2014-07-13",27
"2014-07-20",24
"2014-07-27",20
"2014-08-03",19
"2014-08-10",14
"2014-08-17",16
"2014-08-24",15
"2014-08-31",19
"2014-09-07",16
"2014-09-14",19
"2014-09-21",13
"2014-09-28",20
"2014-10-05",31
"2014-10-12",21
"2014-10-19",23
"2014-10-26",19
"2014-11-02",15
"2014-11-09",17
"2014-11-16",16
"2014-11-23",13
"2014-11-30",14
"2014-12-07",16
"2014-12-14",18
"2014-12-21",17
"2014-12-28",15
"2015-01-04",17
"2015-01-11",23
"2015-01-18",20
"2015-01-25",28
"2015-02-01",21
"2015-02-08",27
"2015-02-15",21
"2015-02-22",19
"2015-03-01",17
"2015-03-08",19
"2015-03-15",23
"2015-03-22",15
"2015-03-29",20
"2015-04-05",21
"2015-04-12",18
"2015-04-19",22
"2015-04-26",34
"2015-05-03",37
"2015-05-10",24
"2015-05-17",23
"2015-05-24",19
"2015-05-31",23
"2015-06-07",21
"2015-06-14",28
"2015-06-21",17
"2015-06-28",22
"2015-07-05",22
"2015-07-12",25
"2015-07-19",23
"2015-07-26",22
"2015-08-02",24
"2015-08-09",20
"2015-08-16",32
"2015-08-23",32
"2015-08-30",29
"2015-09-06",23
"2015-09-13",23
"2015-09-20",20
"2015-09-27",26
"2015-10-04",24
"2015-10-11",21
"2015-10-18",25
"2015-10-25",20
"2015-11-01",23
"2015-11-08",18
"2015-11-15",16
"2015-11-22",23
"2015-11-29",15
"2015-12-06",18
"2015-12-13",19
"2015-12-20",16
"2015-12-27",17
"2016-01-03",22
"2016-01-10",17
"2016-01-17",19
"2016-01-24",22
"2016-01-31",24
"2016-02-07",24
"2016-02-14",21
"2016-02-21",17
"2016-02-28",16
"2016-03-06",16
"2016-03-13",21
"2016-03-20",21
"2016-03-27",100
"2016-04-03",61
"2016-04-10",31
"2016-04-17",23
"2016-04-24",22
"2016-05-01",26
"2016-05-08",26
"2016-05-15",21
"2016-05-22",20
"2016-05-29",19
"2016-06-05",24
"2016-06-12",21
"2016-06-19",28
"2016-06-26",25
"2016-07-03",23
"2016-07-10",31
"2016-07-17",23
"2016-07-24",21
"2016-07-31",25
"2016-08-07",18
"2016-08-14",26
"2016-08-21",24
"2016-08-28",18
"2016-09-04",19
"2016-09-11",24
"2016-09-18",23
"2016-09-25",22
"2016-10-02",24
"2016-10-09",26
"2016-10-16",27
"2016-10-23",30
"2016-10-30",27
"2016-11-06",25
"2016-11-13",23
"2016-11-20",25
"2016-11-27",22
"2016-12-04",18
"2016-12-11",18
"2016-12-18",20
"2016-12-25",22
"2017-01-01",26
"2017-01-08",22
"2017-01-15",25
"2017-01-22",24
"2017-01-29",20
"2017-02-05",24
"2017-02-12",27
"2017-02-19",25
"2017-02-26",22
"2017-03-05",23
"2017-03-12",23
"2017-03-19",24
"2017-03-26",24
"2017-04-02",26
"2017-04-09",33
"2017-04-16",28
"2017-04-23",35
"2017-04-30",30
"2017-05-07",35
"2017-05-14",33
"2017-05-21",25
"2017-05-28",27
"2017-06-04",28
"2017-06-11",27
"2017-06-18",26
"2017-06-25",30
"2017-07-02",53
"2017-07-09",41
"2017-07-16",40
"2017-07-23",42
"2017-07-30",58
"2017-08-06",33
"2017-08-13",31
"2017-08-20",31
"2017-08-27",26
"2017-09-03",26
"2017-09-10",26
"2017-09-17",28
"2017-09-24",26
"2017-10-01",27
"2017-10-08",28
"2017-10-15",32
"2017-10-22",24
"2017-10-29",26
"2017-11-05",27
"2017-11-12",58
"2017-11-19",63
"2017-11-26",35
"2017-12-03",37
"2017-12-10",31
"2017-12-17",32
"2017-12-24",34
"2017-12-31",38
"2018-01-07",34
"2018-01-14",32
"2018-01-21",37
"2018-01-28",34
"2018-02-04",76
"2018-02-11",42
"2018-02-18",37
"2018-02-25",29
"2018-03-04",24
"2018-03-11",30
"2018-03-18",29
"2018-03-25",40
"2018-04-01",40
"2018-04-08",30
"2018-04-15",29
"2018-04-22",28
"2018-04-29",34
"2018-05-06",33
"2018-05-13",36
"2018-05-20",30
"2018-05-27",34
"2018-06-03",27
"2018-06-10",33
"2018-06-17",31
"2018-06-24",29
"2018-07-01",32
"2018-07-08",34
"2018-07-15",29
"2018-07-22",39
"2018-07-29",40
"2018-08-05",40
"2018-08-12",44
"2018-08-19",39
"2018-08-26",30
"2018-09-02",40
"2018-09-09",46
"2018-09-16",38
"2018-09-23",41
"2018-09-30",44
"2018-10-07",40
"2018-10-14",38
"2018-10-21",39
"2018-10-28",32
"2018-11-04",34
"2018-11-11",34
"2018-11-18",33
