"date","texas"
"2013-12-01",14
"2013-12-08",11
"2013-12-15",13
"2013-12-22",14
"2013-12-29",13
"2014-01-05",13
"2014-01-12",13
"2014-01-19",12
"2014-01-26",14
"2014-02-02",14
"2014-02-09",14
"2014-02-16",19
"2014-02-23",26
"2014-03-02",19
"2014-03-09",21
"2014-03-16",20
"2014-03-23",18
"2014-03-30",27
"2014-04-06",19
"2014-04-13",20
"2014-04-20",18
"2014-04-27",20
"2014-05-04",21
"2014-05-11",24
"2014-05-18",18
"2014-05-25",16
"2014-06-01",19
"2014-06-08",20
"2014-06-15",21
"2014-06-22",14
"2014-06-29",19
"2014-07-06",20
"2014-07-13",29
"2014-07-20",21
"2014-07-27",22
"2014-08-03",19
"2014-08-10",18
"2014-08-17",16
"2014-08-24",16
"2014-08-31",21
"2014-09-07",16
"2014-09-14",17
"2014-09-21",14
"2014-09-28",18
"2014-10-05",31
"2014-10-12",20
"2014-10-19",18
"2014-10-26",18
"2014-11-02",15
"2014-11-09",16
"2014-11-16",15
"2014-11-23",14
"2014-11-30",12
"2014-12-07",13
"2014-12-14",14
"2014-12-21",17
"2014-12-28",14
"2015-01-04",15
"2015-01-11",20
"2015-01-18",19
"2015-01-25",30
"2015-02-01",17
"2015-02-08",20
"2015-02-15",19
"2015-02-22",19
"2015-03-01",15
"2015-03-08",15
"2015-03-15",21
"2015-03-22",17
"2015-03-29",20
"2015-04-05",20
"2015-04-12",18
"2015-04-19",16
"2015-04-26",28
"2015-05-03",29
"2015-05-10",20
"2015-05-17",19
"2015-05-24",18
"2015-05-31",16
"2015-06-07",17
"2015-06-14",19
"2015-06-21",20
"2015-06-28",17
"2015-07-05",17
"2015-07-12",20
"2015-07-19",21
"2015-07-26",20
"2015-08-02",22
"2015-08-09",20
"2015-08-16",20
"2015-08-23",24
"2015-08-30",24
"2015-09-06",22
"2015-09-13",20
"2015-09-20",19
"2015-09-27",30
"2015-10-04",21
"2015-10-11",21
"2015-10-18",21
"2015-10-25",19
"2015-11-01",19
"2015-11-08",17
"2015-11-15",16
"2015-11-22",18
"2015-11-29",16
"2015-12-06",16
"2015-12-13",16
"2015-12-20",16
"2015-12-27",18
"2016-01-03",17
"2016-01-10",18
"2016-01-17",17
"2016-01-24",18
"2016-01-31",21
"2016-02-07",25
"2016-02-14",21
"2016-02-21",16
"2016-02-28",18
"2016-03-06",18
"2016-03-13",18
"2016-03-20",23
"2016-03-27",100
"2016-04-03",57
"2016-04-10",32
"2016-04-17",25
"2016-04-24",24
"2016-05-01",25
"2016-05-08",23
"2016-05-15",23
"2016-05-22",24
"2016-05-29",20
"2016-06-05",22
"2016-06-12",20
"2016-06-19",23
"2016-06-26",28
"2016-07-03",23
"2016-07-10",22
"2016-07-17",23
"2016-07-24",22
"2016-07-31",20
"2016-08-07",19
"2016-08-14",17
"2016-08-21",24
"2016-08-28",21
"2016-09-04",18
"2016-09-11",20
"2016-09-18",19
"2016-09-25",21
"2016-10-02",20
"2016-10-09",21
"2016-10-16",28
"2016-10-23",26
"2016-10-30",27
"2016-11-06",20
"2016-11-13",22
"2016-11-20",22
"2016-11-27",19
"2016-12-04",19
"2016-12-11",20
"2016-12-18",19
"2016-12-25",24
"2017-01-01",22
"2017-01-08",22
"2017-01-15",19
"2017-01-22",20
"2017-01-29",20
"2017-02-05",23
"2017-02-12",23
"2017-02-19",25
"2017-02-26",23
"2017-03-05",23
"2017-03-12",22
"2017-03-19",22
"2017-03-26",24
"2017-04-02",28
"2017-04-09",33
"2017-04-16",26
"2017-04-23",27
"2017-04-30",28
"2017-05-07",31
"2017-05-14",25
"2017-05-21",24
"2017-05-28",25
"2017-06-04",28
"2017-06-11",25
"2017-06-18",24
"2017-06-25",25
"2017-07-02",45
"2017-07-09",35
"2017-07-16",28
"2017-07-23",46
"2017-07-30",51
"2017-08-06",38
"2017-08-13",30
"2017-08-20",28
"2017-08-27",34
"2017-09-03",38
"2017-09-10",43
"2017-09-17",41
"2017-09-24",39
"2017-10-01",35
"2017-10-08",27
"2017-10-15",29
"2017-10-22",27
"2017-10-29",26
"2017-11-05",26
"2017-11-12",63
"2017-11-19",53
"2017-11-26",34
"2017-12-03",32
"2017-12-10",31
"2017-12-17",32
"2017-12-24",34
"2017-12-31",31
"2018-01-07",32
"2018-01-14",30
"2018-01-21",34
"2018-01-28",29
"2018-02-04",63
"2018-02-11",37
"2018-02-18",31
"2018-02-25",27
"2018-03-04",30
"2018-03-11",28
"2018-03-18",28
"2018-03-25",38
"2018-04-01",35
"2018-04-08",33
"2018-04-15",31
"2018-04-22",30
"2018-04-29",35
"2018-05-06",34
"2018-05-13",32
"2018-05-20",32
"2018-05-27",29
"2018-06-03",30
"2018-06-10",34
"2018-06-17",31
"2018-06-24",31
"2018-07-01",34
"2018-07-08",33
"2018-07-15",34
"2018-07-22",35
"2018-07-29",39
"2018-08-05",46
"2018-08-12",37
"2018-08-19",38
"2018-08-26",31
"2018-09-02",42
"2018-09-09",42
"2018-09-16",36
"2018-09-23",40
"2018-09-30",44
"2018-10-07",39
"2018-10-14",36
"2018-10-21",42
"2018-10-28",37
"2018-11-04",30
"2018-11-11",32
"2018-11-18",28
