"date","utah"
"2013-12-01",8
"2013-12-08",6
"2013-12-15",10
"2013-12-22",9
"2013-12-29",10
"2014-01-05",10
"2014-01-12",10
"2014-01-19",7
"2014-01-26",11
"2014-02-02",11
"2014-02-09",10
"2014-02-16",15
"2014-02-23",16
"2014-03-02",11
"2014-03-09",15
"2014-03-16",14
"2014-03-23",12
"2014-03-30",16
"2014-04-06",14
"2014-04-13",11
"2014-04-20",8
"2014-04-27",11
"2014-05-04",17
"2014-05-11",16
"2014-05-18",14
"2014-05-25",9
"2014-06-01",13
"2014-06-08",18
"2014-06-15",15
"2014-06-22",15
"2014-06-29",19
"2014-07-06",14
"2014-07-13",23
"2014-07-20",14
"2014-07-27",16
"2014-08-03",12
"2014-08-10",16
"2014-08-17",17
"2014-08-24",16
"2014-08-31",20
"2014-09-07",12
"2014-09-14",13
"2014-09-21",9
"2014-09-28",14
"2014-10-05",30
"2014-10-12",21
"2014-10-19",12
"2014-10-26",15
"2014-11-02",12
"2014-11-09",14
"2014-11-16",13
"2014-11-23",9
"2014-11-30",7
"2014-12-07",11
"2014-12-14",11
"2014-12-21",12
"2014-12-28",13
"2015-01-04",13
"2015-01-11",17
"2015-01-18",17
"2015-01-25",21
"2015-02-01",15
"2015-02-08",15
"2015-02-15",19
"2015-02-22",18
"2015-03-01",17
"2015-03-08",12
"2015-03-15",20
"2015-03-22",14
"2015-03-29",16
"2015-04-05",20
"2015-04-12",15
"2015-04-19",13
"2015-04-26",28
"2015-05-03",23
"2015-05-10",18
"2015-05-17",20
"2015-05-24",19
"2015-05-31",14
"2015-06-07",20
"2015-06-14",17
"2015-06-21",19
"2015-06-28",18
"2015-07-05",13
"2015-07-12",19
"2015-07-19",20
"2015-07-26",18
"2015-08-02",23
"2015-08-09",18
"2015-08-16",21
"2015-08-23",18
"2015-08-30",24
"2015-09-06",18
"2015-09-13",15
"2015-09-20",23
"2015-09-27",33
"2015-10-04",18
"2015-10-11",23
"2015-10-18",17
"2015-10-25",19
"2015-11-01",18
"2015-11-08",14
"2015-11-15",14
"2015-11-22",14
"2015-11-29",17
"2015-12-06",13
"2015-12-13",13
"2015-12-20",13
"2015-12-27",15
"2016-01-03",19
"2016-01-10",17
"2016-01-17",14
"2016-01-24",21
"2016-01-31",19
"2016-02-07",20
"2016-02-14",18
"2016-02-21",18
"2016-02-28",21
"2016-03-06",18
"2016-03-13",20
"2016-03-20",18
"2016-03-27",100
"2016-04-03",59
"2016-04-10",29
"2016-04-17",27
"2016-04-24",17
"2016-05-01",25
"2016-05-08",23
"2016-05-15",21
"2016-05-22",21
"2016-05-29",19
"2016-06-05",20
"2016-06-12",15
"2016-06-19",24
"2016-06-26",23
"2016-07-03",19
"2016-07-10",19
"2016-07-17",17
"2016-07-24",21
"2016-07-31",21
"2016-08-07",21
"2016-08-14",15
"2016-08-21",20
"2016-08-28",18
"2016-09-04",18
"2016-09-11",24
"2016-09-18",17
"2016-09-25",16
"2016-10-02",20
"2016-10-09",18
"2016-10-16",28
"2016-10-23",27
"2016-10-30",29
"2016-11-06",21
"2016-11-13",22
"2016-11-20",18
"2016-11-27",19
"2016-12-04",23
"2016-12-11",21
"2016-12-18",19
"2016-12-25",22
"2017-01-01",17
"2017-01-08",20
"2017-01-15",18
"2017-01-22",21
"2017-01-29",18
"2017-02-05",23
"2017-02-12",21
"2017-02-19",21
"2017-02-26",23
"2017-03-05",21
"2017-03-12",22
"2017-03-19",21
"2017-03-26",20
"2017-04-02",30
"2017-04-09",26
"2017-04-16",24
"2017-04-23",27
"2017-04-30",28
"2017-05-07",33
"2017-05-14",24
"2017-05-21",25
"2017-05-28",26
"2017-06-04",24
"2017-06-11",26
"2017-06-18",26
"2017-06-25",27
"2017-07-02",43
"2017-07-09",38
"2017-07-16",32
"2017-07-23",36
"2017-07-30",45
"2017-08-06",31
"2017-08-13",26
"2017-08-20",26
"2017-08-27",24
"2017-09-03",22
"2017-09-10",29
"2017-09-17",23
"2017-09-24",28
"2017-10-01",23
"2017-10-08",24
"2017-10-15",20
"2017-10-22",22
"2017-10-29",23
"2017-11-05",20
"2017-11-12",71
"2017-11-19",58
"2017-11-26",31
"2017-12-03",30
"2017-12-10",29
"2017-12-17",30
"2017-12-24",36
"2017-12-31",28
"2018-01-07",29
"2018-01-14",27
"2018-01-21",28
"2018-01-28",27
"2018-02-04",57
"2018-02-11",34
"2018-02-18",30
"2018-02-25",27
"2018-03-04",32
"2018-03-11",27
"2018-03-18",28
"2018-03-25",36
"2018-04-01",33
"2018-04-08",26
"2018-04-15",30
"2018-04-22",25
"2018-04-29",30
"2018-05-06",35
"2018-05-13",36
"2018-05-20",28
"2018-05-27",27
"2018-06-03",32
"2018-06-10",27
"2018-06-17",31
"2018-06-24",24
"2018-07-01",27
"2018-07-08",37
"2018-07-15",31
"2018-07-22",37
"2018-07-29",40
"2018-08-05",39
"2018-08-12",34
"2018-08-19",28
"2018-08-26",29
"2018-09-02",40
"2018-09-09",35
"2018-09-16",31
"2018-09-23",41
"2018-09-30",48
"2018-10-07",36
"2018-10-14",29
"2018-10-21",35
"2018-10-28",33
"2018-11-04",28
"2018-11-11",30
"2018-11-18",35
