"date","virginia"
"2013-12-01",12
"2013-12-08",9
"2013-12-15",12
"2013-12-22",13
"2013-12-29",10
"2014-01-05",10
"2014-01-12",13
"2014-01-19",11
"2014-01-26",12
"2014-02-02",12
"2014-02-09",10
"2014-02-16",17
"2014-02-23",21
"2014-03-02",17
"2014-03-09",21
"2014-03-16",20
"2014-03-23",16
"2014-03-30",20
"2014-04-06",14
"2014-04-13",13
"2014-04-20",13
"2014-04-27",12
"2014-05-04",19
"2014-05-11",16
"2014-05-18",14
"2014-05-25",13
"2014-06-01",13
"2014-06-08",16
"2014-06-15",16
"2014-06-22",12
"2014-06-29",14
"2014-07-06",16
"2014-07-13",15
"2014-07-20",12
"2014-07-27",12
"2014-08-03",10
"2014-08-10",8
"2014-08-17",9
"2014-08-24",9
"2014-08-31",12
"2014-09-07",10
"2014-09-14",10
"2014-09-21",10
"2014-09-28",11
"2014-10-05",20
"2014-10-12",11
"2014-10-19",11
"2014-10-26",9
"2014-11-02",9
"2014-11-09",10
"2014-11-16",8
"2014-11-23",9
"2014-11-30",8
"2014-12-07",8
"2014-12-14",8
"2014-12-21",9
"2014-12-28",8
"2015-01-04",8
"2015-01-11",10
"2015-01-18",8
"2015-01-25",13
"2015-02-01",8
"2015-02-08",10
"2015-02-15",8
"2015-02-22",7
"2015-03-01",8
"2015-03-08",8
"2015-03-15",10
"2015-03-22",8
"2015-03-29",9
"2015-04-05",8
"2015-04-12",8
"2015-04-19",9
"2015-04-26",15
"2015-05-03",15
"2015-05-10",10
"2015-05-17",10
"2015-05-24",9
"2015-05-31",11
"2015-06-07",11
"2015-06-14",10
"2015-06-21",10
"2015-06-28",19
"2015-07-05",19
"2015-07-12",17
"2015-07-19",20
"2015-07-26",17
"2015-08-02",18
"2015-08-09",19
"2015-08-16",18
"2015-08-23",22
"2015-08-30",24
"2015-09-06",21
"2015-09-13",19
"2015-09-20",17
"2015-09-27",34
"2015-10-04",22
"2015-10-11",20
"2015-10-18",23
"2015-10-25",17
"2015-11-01",16
"2015-11-08",17
"2015-11-15",16
"2015-11-22",19
"2015-11-29",17
"2015-12-06",15
"2015-12-13",15
"2015-12-20",16
"2015-12-27",16
"2016-01-03",17
"2016-01-10",19
"2016-01-17",14
"2016-01-24",16
"2016-01-31",21
"2016-02-07",25
"2016-02-14",19
"2016-02-21",18
"2016-02-28",15
"2016-03-06",17
"2016-03-13",16
"2016-03-20",20
"2016-03-27",100
"2016-04-03",60
"2016-04-10",29
"2016-04-17",25
"2016-04-24",21
"2016-05-01",23
"2016-05-08",22
"2016-05-15",17
"2016-05-22",21
"2016-05-29",21
"2016-06-05",20
"2016-06-12",18
"2016-06-19",20
"2016-06-26",31
"2016-07-03",25
"2016-07-10",22
"2016-07-17",18
"2016-07-24",20
"2016-07-31",21
"2016-08-07",18
"2016-08-14",18
"2016-08-21",25
"2016-08-28",19
"2016-09-04",18
"2016-09-11",20
"2016-09-18",20
"2016-09-25",19
"2016-10-02",18
"2016-10-09",17
"2016-10-16",25
"2016-10-23",23
"2016-10-30",26
"2016-11-06",21
"2016-11-13",21
"2016-11-20",22
"2016-11-27",18
"2016-12-04",17
"2016-12-11",18
"2016-12-18",18
"2016-12-25",23
"2017-01-01",20
"2017-01-08",17
"2017-01-15",17
"2017-01-22",20
"2017-01-29",17
"2017-02-05",22
"2017-02-12",20
"2017-02-19",21
"2017-02-26",21
"2017-03-05",19
"2017-03-12",20
"2017-03-19",20
"2017-03-26",22
"2017-04-02",25
"2017-04-09",30
"2017-04-16",22
"2017-04-23",25
"2017-04-30",27
"2017-05-07",27
"2017-05-14",21
"2017-05-21",23
"2017-05-28",24
"2017-06-04",26
"2017-06-11",26
"2017-06-18",24
"2017-06-25",25
"2017-07-02",44
"2017-07-09",35
"2017-07-16",33
"2017-07-23",43
"2017-07-30",46
"2017-08-06",32
"2017-08-13",26
"2017-08-20",24
"2017-08-27",22
"2017-09-03",22
"2017-09-10",26
"2017-09-17",23
"2017-09-24",24
"2017-10-01",26
"2017-10-08",29
"2017-10-15",28
"2017-10-22",40
"2017-10-29",32
"2017-11-05",24
"2017-11-12",59
"2017-11-19",49
"2017-11-26",33
"2017-12-03",37
"2017-12-10",30
"2017-12-17",31
"2017-12-24",32
"2017-12-31",27
"2018-01-07",28
"2018-01-14",23
"2018-01-21",31
"2018-01-28",26
"2018-02-04",57
"2018-02-11",35
"2018-02-18",28
"2018-02-25",25
"2018-03-04",24
"2018-03-11",25
"2018-03-18",25
"2018-03-25",34
"2018-04-01",30
"2018-04-08",29
"2018-04-15",31
"2018-04-22",29
"2018-04-29",34
"2018-05-06",31
"2018-05-13",29
"2018-05-20",32
"2018-05-27",28
"2018-06-03",26
"2018-06-10",29
"2018-06-17",28
"2018-06-24",34
"2018-07-01",36
"2018-07-08",38
"2018-07-15",33
"2018-07-22",33
"2018-07-29",40
"2018-08-05",47
"2018-08-12",34
"2018-08-19",34
"2018-08-26",33
"2018-09-02",41
"2018-09-09",36
"2018-09-16",36
"2018-09-23",37
"2018-09-30",48
"2018-10-07",35
"2018-10-14",39
"2018-10-21",41
"2018-10-28",35
"2018-11-04",32
"2018-11-11",33
"2018-11-18",31
