"date","washington"
"2013-12-01",9
"2013-12-08",8
"2013-12-15",11
"2013-12-22",12
"2013-12-29",9
"2014-01-05",10
"2014-01-12",12
"2014-01-19",10
"2014-01-26",10
"2014-02-02",8
"2014-02-09",10
"2014-02-16",16
"2014-02-23",19
"2014-03-02",13
"2014-03-09",14
"2014-03-16",13
"2014-03-23",11
"2014-03-30",16
"2014-04-06",14
"2014-04-13",12
"2014-04-20",12
"2014-04-27",12
"2014-05-04",13
"2014-05-11",22
"2014-05-18",14
"2014-05-25",11
"2014-06-01",13
"2014-06-08",16
"2014-06-15",14
"2014-06-22",11
"2014-06-29",14
"2014-07-06",13
"2014-07-13",18
"2014-07-20",15
"2014-07-27",16
"2014-08-03",14
"2014-08-10",11
"2014-08-17",13
"2014-08-24",14
"2014-08-31",18
"2014-09-07",16
"2014-09-14",15
"2014-09-21",13
"2014-09-28",18
"2014-10-05",32
"2014-10-12",17
"2014-10-19",17
"2014-10-26",15
"2014-11-02",13
"2014-11-09",12
"2014-11-16",12
"2014-11-23",12
"2014-11-30",11
"2014-12-07",13
"2014-12-14",11
"2014-12-21",16
"2014-12-28",12
"2015-01-04",14
"2015-01-11",13
"2015-01-18",14
"2015-01-25",21
"2015-02-01",15
"2015-02-08",19
"2015-02-15",17
"2015-02-22",16
"2015-03-01",12
"2015-03-08",13
"2015-03-15",18
"2015-03-22",15
"2015-03-29",17
"2015-04-05",19
"2015-04-12",15
"2015-04-19",15
"2015-04-26",28
"2015-05-03",25
"2015-05-10",18
"2015-05-17",19
"2015-05-24",16
"2015-05-31",16
"2015-06-07",18
"2015-06-14",18
"2015-06-21",14
"2015-06-28",15
"2015-07-05",14
"2015-07-12",17
"2015-07-19",15
"2015-07-26",13
"2015-08-02",17
"2015-08-09",14
"2015-08-16",14
"2015-08-23",17
"2015-08-30",18
"2015-09-06",14
"2015-09-13",16
"2015-09-20",15
"2015-09-27",26
"2015-10-04",15
"2015-10-11",17
"2015-10-18",17
"2015-10-25",14
"2015-11-01",12
"2015-11-08",10
"2015-11-15",13
"2015-11-22",13
"2015-11-29",13
"2015-12-06",11
"2015-12-13",11
"2015-12-20",14
"2015-12-27",11
"2016-01-03",13
"2016-01-10",14
"2016-01-17",12
"2016-01-24",14
"2016-01-31",17
"2016-02-07",18
"2016-02-14",16
"2016-02-21",12
"2016-02-28",13
"2016-03-06",13
"2016-03-13",14
"2016-03-20",15
"2016-03-27",100
"2016-04-03",50
"2016-04-10",26
"2016-04-17",21
"2016-04-24",18
"2016-05-01",18
"2016-05-08",16
"2016-05-15",19
"2016-05-22",17
"2016-05-29",14
"2016-06-05",17
"2016-06-12",15
"2016-06-19",17
"2016-06-26",20
"2016-07-03",20
"2016-07-10",18
"2016-07-17",19
"2016-07-24",16
"2016-07-31",15
"2016-08-07",15
"2016-08-14",13
"2016-08-21",18
"2016-08-28",16
"2016-09-04",14
"2016-09-11",15
"2016-09-18",14
"2016-09-25",16
"2016-10-02",14
"2016-10-09",13
"2016-10-16",17
"2016-10-23",19
"2016-10-30",21
"2016-11-06",16
"2016-11-13",15
"2016-11-20",16
"2016-11-27",14
"2016-12-04",13
"2016-12-11",14
"2016-12-18",16
"2016-12-25",18
"2017-01-01",14
"2017-01-08",16
"2017-01-15",14
"2017-01-22",17
"2017-01-29",13
"2017-02-05",15
"2017-02-12",15
"2017-02-19",20
"2017-02-26",17
"2017-03-05",18
"2017-03-12",15
"2017-03-19",16
"2017-03-26",17
"2017-04-02",23
"2017-04-09",21
"2017-04-16",19
"2017-04-23",18
"2017-04-30",20
"2017-05-07",21
"2017-05-14",20
"2017-05-21",19
"2017-05-28",22
"2017-06-04",21
"2017-06-11",23
"2017-06-18",21
"2017-06-25",19
"2017-07-02",34
"2017-07-09",29
"2017-07-16",18
"2017-07-23",33
"2017-07-30",36
"2017-08-06",23
"2017-08-13",21
"2017-08-20",18
"2017-08-27",18
"2017-09-03",18
"2017-09-10",19
"2017-09-17",20
"2017-09-24",19
"2017-10-01",19
"2017-10-08",20
"2017-10-15",18
"2017-10-22",18
"2017-10-29",21
"2017-11-05",18
"2017-11-12",47
"2017-11-19",38
"2017-11-26",22
"2017-12-03",21
"2017-12-10",23
"2017-12-17",21
"2017-12-24",23
"2017-12-31",23
"2018-01-07",22
"2018-01-14",22
"2018-01-21",24
"2018-01-28",22
"2018-02-04",48
"2018-02-11",29
"2018-02-18",23
"2018-02-25",20
"2018-03-04",24
"2018-03-11",20
"2018-03-18",22
"2018-03-25",31
"2018-04-01",29
"2018-04-08",21
"2018-04-15",24
"2018-04-22",21
"2018-04-29",26
"2018-05-06",23
"2018-05-13",23
"2018-05-20",25
"2018-05-27",25
"2018-06-03",21
"2018-06-10",23
"2018-06-17",23
"2018-06-24",23
"2018-07-01",28
"2018-07-08",25
"2018-07-15",24
"2018-07-22",26
"2018-07-29",30
"2018-08-05",33
"2018-08-12",29
"2018-08-19",26
"2018-08-26",25
"2018-09-02",32
"2018-09-09",33
"2018-09-16",29
"2018-09-23",36
"2018-09-30",38
"2018-10-07",33
"2018-10-14",32
"2018-10-21",35
"2018-10-28",28
"2018-11-04",25
"2018-11-11",26
"2018-11-18",26
