"date","west virginia"
"2013-12-01",12
"2013-12-08",4
"2013-12-15",11
"2013-12-22",10
"2013-12-29",9
"2014-01-05",8
"2014-01-12",19
"2014-01-19",13
"2014-01-26",13
"2014-02-02",9
"2014-02-09",9
"2014-02-16",22
"2014-02-23",26
"2014-03-02",20
"2014-03-09",16
"2014-03-16",17
"2014-03-23",10
"2014-03-30",30
"2014-04-06",22
"2014-04-13",19
"2014-04-20",22
"2014-04-27",11
"2014-05-04",36
"2014-05-11",25
"2014-05-18",25
"2014-05-25",15
"2014-06-01",29
"2014-06-08",27
"2014-06-15",18
"2014-06-22",13
"2014-06-29",18
"2014-07-06",33
"2014-07-13",23
"2014-07-20",38
"2014-07-27",28
"2014-08-03",24
"2014-08-10",25
"2014-08-17",26
"2014-08-24",28
"2014-08-31",27
"2014-09-07",16
"2014-09-14",19
"2014-09-21",33
"2014-09-28",18
"2014-10-05",37
"2014-10-12",14
"2014-10-19",12
"2014-10-26",21
"2014-11-02",27
"2014-11-09",15
"2014-11-16",15
"2014-11-23",23
"2014-11-30",12
"2014-12-07",33
"2014-12-14",13
"2014-12-21",25
"2014-12-28",29
"2015-01-04",13
"2015-01-11",12
"2015-01-18",8
"2015-01-25",35
"2015-02-01",8
"2015-02-08",14
"2015-02-15",25
"2015-02-22",9
"2015-03-01",20
"2015-03-08",21
"2015-03-15",25
"2015-03-22",19
"2015-03-29",16
"2015-04-05",38
"2015-04-12",22
"2015-04-19",25
"2015-04-26",54
"2015-05-03",40
"2015-05-10",28
"2015-05-17",20
"2015-05-24",37
"2015-05-31",17
"2015-06-07",31
"2015-06-14",17
"2015-06-21",22
"2015-06-28",14
"2015-07-05",18
"2015-07-12",30
"2015-07-19",34
"2015-07-26",13
"2015-08-02",29
"2015-08-09",20
"2015-08-16",17
"2015-08-23",36
"2015-08-30",16
"2015-09-06",16
"2015-09-13",28
"2015-09-20",33
"2015-09-27",43
"2015-10-04",31
"2015-10-11",30
"2015-10-18",18
"2015-10-25",31
"2015-11-01",32
"2015-11-08",25
"2015-11-15",17
"2015-11-22",28
"2015-11-29",22
"2015-12-06",28
"2015-12-13",21
"2015-12-20",47
"2015-12-27",20
"2016-01-03",13
"2016-01-10",25
"2016-01-17",18
"2016-01-24",19
"2016-01-31",22
"2016-02-07",30
"2016-02-14",17
"2016-02-21",18
"2016-02-28",26
"2016-03-06",15
"2016-03-13",26
"2016-03-20",26
"2016-03-27",100
"2016-04-03",50
"2016-04-10",36
"2016-04-17",40
"2016-04-24",15
"2016-05-01",28
"2016-05-08",26
"2016-05-15",39
"2016-05-22",27
"2016-05-29",24
"2016-06-05",20
"2016-06-12",25
"2016-06-19",20
"2016-06-26",35
"2016-07-03",27
"2016-07-10",20
"2016-07-17",24
"2016-07-24",29
"2016-07-31",27
"2016-08-07",17
"2016-08-14",10
"2016-08-21",16
"2016-08-28",24
"2016-09-04",18
"2016-09-11",16
"2016-09-18",15
"2016-09-25",34
"2016-10-02",25
"2016-10-09",35
"2016-10-16",28
"2016-10-23",27
"2016-10-30",30
"2016-11-06",27
"2016-11-13",31
"2016-11-20",19
"2016-11-27",24
"2016-12-04",27
"2016-12-11",21
"2016-12-18",28
"2016-12-25",31
"2017-01-01",31
"2017-01-08",28
"2017-01-15",15
"2017-01-22",23
"2017-01-29",20
"2017-02-05",22
"2017-02-12",34
"2017-02-19",22
"2017-02-26",39
"2017-03-05",26
"2017-03-12",30
"2017-03-19",35
"2017-03-26",26
"2017-04-02",24
"2017-04-09",45
"2017-04-16",21
"2017-04-23",37
"2017-04-30",36
"2017-05-07",40
"2017-05-14",30
"2017-05-21",31
"2017-05-28",26
"2017-06-04",34
"2017-06-11",39
"2017-06-18",21
"2017-06-25",29
"2017-07-02",35
"2017-07-09",44
"2017-07-16",26
"2017-07-23",39
"2017-07-30",60
"2017-08-06",26
"2017-08-13",30
"2017-08-20",18
"2017-08-27",28
"2017-09-03",23
"2017-09-10",37
"2017-09-17",19
"2017-09-24",25
"2017-10-01",29
"2017-10-08",25
"2017-10-15",27
"2017-10-22",33
"2017-10-29",30
"2017-11-05",31
"2017-11-12",73
"2017-11-19",60
"2017-11-26",42
"2017-12-03",58
"2017-12-10",28
"2017-12-17",35
"2017-12-24",45
"2017-12-31",36
"2018-01-07",33
"2018-01-14",32
"2018-01-21",35
"2018-01-28",30
"2018-02-04",75
"2018-02-11",54
"2018-02-18",49
"2018-02-25",28
"2018-03-04",31
"2018-03-11",35
"2018-03-18",29
"2018-03-25",30
"2018-04-01",30
"2018-04-08",36
"2018-04-15",22
"2018-04-22",25
"2018-04-29",34
"2018-05-06",24
"2018-05-13",41
"2018-05-20",34
"2018-05-27",34
"2018-06-03",34
"2018-06-10",27
"2018-06-17",29
"2018-06-24",30
"2018-07-01",29
"2018-07-08",20
"2018-07-15",26
"2018-07-22",29
"2018-07-29",34
"2018-08-05",35
"2018-08-12",29
"2018-08-19",36
"2018-08-26",35
"2018-09-02",48
"2018-09-09",53
"2018-09-16",34
"2018-09-23",24
"2018-09-30",44
"2018-10-07",41
"2018-10-14",36
"2018-10-21",39
"2018-10-28",34
"2018-11-04",22
"2018-11-11",24
"2018-11-18",20
