"date","wisconsin"
"2013-12-01",13
"2013-12-08",15
"2013-12-15",11
"2013-12-22",18
"2013-12-29",12
"2014-01-05",12
"2014-01-12",15
"2014-01-19",9
"2014-01-26",11
"2014-02-02",11
"2014-02-09",16
"2014-02-16",15
"2014-02-23",26
"2014-03-02",14
"2014-03-09",23
"2014-03-16",21
"2014-03-23",20
"2014-03-30",37
"2014-04-06",19
"2014-04-13",16
"2014-04-20",22
"2014-04-27",17
"2014-05-04",14
"2014-05-11",27
"2014-05-18",19
"2014-05-25",20
"2014-06-01",19
"2014-06-08",16
"2014-06-15",22
"2014-06-22",13
"2014-06-29",24
"2014-07-06",27
"2014-07-13",23
"2014-07-20",17
"2014-07-27",21
"2014-08-03",20
"2014-08-10",17
"2014-08-17",16
"2014-08-24",14
"2014-08-31",16
"2014-09-07",15
"2014-09-14",22
"2014-09-21",15
"2014-09-28",21
"2014-10-05",40
"2014-10-12",18
"2014-10-19",17
"2014-10-26",24
"2014-11-02",18
"2014-11-09",17
"2014-11-16",15
"2014-11-23",12
"2014-11-30",16
"2014-12-07",14
"2014-12-14",12
"2014-12-21",13
"2014-12-28",18
"2015-01-04",19
"2015-01-11",22
"2015-01-18",16
"2015-01-25",33
"2015-02-01",16
"2015-02-08",20
"2015-02-15",23
"2015-02-22",18
"2015-03-01",20
"2015-03-08",19
"2015-03-15",20
"2015-03-22",16
"2015-03-29",26
"2015-04-05",23
"2015-04-12",14
"2015-04-19",19
"2015-04-26",30
"2015-05-03",30
"2015-05-10",23
"2015-05-17",24
"2015-05-24",19
"2015-05-31",17
"2015-06-07",18
"2015-06-14",28
"2015-06-21",19
"2015-06-28",19
"2015-07-05",18
"2015-07-12",22
"2015-07-19",25
"2015-07-26",14
"2015-08-02",21
"2015-08-09",25
"2015-08-16",19
"2015-08-23",27
"2015-08-30",27
"2015-09-06",20
"2015-09-13",19
"2015-09-20",22
"2015-09-27",32
"2015-10-04",24
"2015-10-11",22
"2015-10-18",28
"2015-10-25",23
"2015-11-01",23
"2015-11-08",16
"2015-11-15",16
"2015-11-22",17
"2015-11-29",18
"2015-12-06",19
"2015-12-13",16
"2015-12-20",16
"2015-12-27",16
"2016-01-03",15
"2016-01-10",18
"2016-01-17",20
"2016-01-24",16
"2016-01-31",20
"2016-02-07",26
"2016-02-14",22
"2016-02-21",17
"2016-02-28",25
"2016-03-06",16
"2016-03-13",19
"2016-03-20",20
"2016-03-27",100
"2016-04-03",57
"2016-04-10",27
"2016-04-17",27
"2016-04-24",24
"2016-05-01",25
"2016-05-08",21
"2016-05-15",20
"2016-05-22",21
"2016-05-29",16
"2016-06-05",19
"2016-06-12",17
"2016-06-19",26
"2016-06-26",27
"2016-07-03",30
"2016-07-10",25
"2016-07-17",23
"2016-07-24",26
"2016-07-31",23
"2016-08-07",17
"2016-08-14",16
"2016-08-21",26
"2016-08-28",25
"2016-09-04",15
"2016-09-11",20
"2016-09-18",17
"2016-09-25",24
"2016-10-02",19
"2016-10-09",18
"2016-10-16",28
"2016-10-23",26
"2016-10-30",29
"2016-11-06",22
"2016-11-13",25
"2016-11-20",22
"2016-11-27",22
"2016-12-04",24
"2016-12-11",21
"2016-12-18",22
"2016-12-25",23
"2017-01-01",22
"2017-01-08",20
"2017-01-15",23
"2017-01-22",22
"2017-01-29",23
"2017-02-05",32
"2017-02-12",25
"2017-02-19",21
"2017-02-26",25
"2017-03-05",23
"2017-03-12",22
"2017-03-19",26
"2017-03-26",24
"2017-04-02",26
"2017-04-09",35
"2017-04-16",31
"2017-04-23",27
"2017-04-30",30
"2017-05-07",33
"2017-05-14",30
"2017-05-21",30
"2017-05-28",28
"2017-06-04",28
"2017-06-11",22
"2017-06-18",30
"2017-06-25",28
"2017-07-02",48
"2017-07-09",34
"2017-07-16",35
"2017-07-23",49
"2017-07-30",56
"2017-08-06",30
"2017-08-13",27
"2017-08-20",22
"2017-08-27",20
"2017-09-03",25
"2017-09-10",24
"2017-09-17",23
"2017-09-24",29
"2017-10-01",26
"2017-10-08",26
"2017-10-15",27
"2017-10-22",26
"2017-10-29",29
"2017-11-05",26
"2017-11-12",75
"2017-11-19",57
"2017-11-26",38
"2017-12-03",39
"2017-12-10",29
"2017-12-17",32
"2017-12-24",33
"2017-12-31",30
"2018-01-07",31
"2018-01-14",29
"2018-01-21",31
"2018-01-28",34
"2018-02-04",63
"2018-02-11",41
"2018-02-18",33
"2018-02-25",30
"2018-03-04",29
"2018-03-11",28
"2018-03-18",30
"2018-03-25",36
"2018-04-01",38
"2018-04-08",29
"2018-04-15",32
"2018-04-22",25
"2018-04-29",39
"2018-05-06",32
"2018-05-13",36
"2018-05-20",32
"2018-05-27",28
"2018-06-03",30
"2018-06-10",31
"2018-06-17",34
"2018-06-24",34
"2018-07-01",35
"2018-07-08",31
"2018-07-15",39
"2018-07-22",35
"2018-07-29",40
"2018-08-05",49
"2018-08-12",37
"2018-08-19",38
"2018-08-26",30
"2018-09-02",41
"2018-09-09",36
"2018-09-16",32
"2018-09-23",45
"2018-09-30",43
"2018-10-07",37
"2018-10-14",36
"2018-10-21",46
"2018-10-28",34
"2018-11-04",32
"2018-11-11",28
"2018-11-18",31
