"date","alabama"
"2013-12-01",98
"2013-12-08",90
"2013-12-15",83
"2013-12-22",92
"2013-12-29",100
"2014-01-05",88
"2014-01-12",82
"2014-01-19",85
"2014-01-26",93
"2014-02-02",86
"2014-02-09",94
"2014-02-16",83
"2014-02-23",78
"2014-03-02",85
"2014-03-09",81
"2014-03-16",82
"2014-03-23",87
"2014-03-30",80
"2014-04-06",85
"2014-04-13",82
"2014-04-20",82
"2014-04-27",95
"2014-05-04",86
"2014-05-11",86
"2014-05-18",86
"2014-05-25",88
"2014-06-01",80
"2014-06-08",85
"2014-06-15",76
"2014-06-22",82
"2014-06-29",86
"2014-07-06",79
"2014-07-13",78
"2014-07-20",75
"2014-07-27",85
"2014-08-03",73
"2014-08-10",81
"2014-08-17",79
"2014-08-24",70
"2014-08-31",76
"2014-09-07",73
"2014-09-14",72
"2014-09-21",73
"2014-09-28",68
"2014-10-05",74
"2014-10-12",69
"2014-10-19",74
"2014-10-26",74
"2014-11-02",72
"2014-11-09",74
"2014-11-16",76
"2014-11-23",72
"2014-11-30",72
"2014-12-07",65
"2014-12-14",60
"2014-12-21",75
"2014-12-28",83
"2015-01-04",65
"2015-01-11",63
"2015-01-18",70
"2015-01-25",69
"2015-02-01",68
"2015-02-08",64
"2015-02-15",75
"2015-02-22",73
"2015-03-01",66
"2015-03-08",61
"2015-03-15",58
"2015-03-22",67
"2015-03-29",62
"2015-04-05",63
"2015-04-12",59
"2015-04-19",63
"2015-04-26",59
"2015-05-03",61
"2015-05-10",64
"2015-05-17",55
"2015-05-24",55
"2015-05-31",61
"2015-06-07",69
"2015-06-14",68
"2015-06-21",67
"2015-06-28",64
"2015-07-05",64
"2015-07-12",66
"2015-07-19",71
"2015-07-26",63
"2015-08-02",60
"2015-08-09",57
"2015-08-16",60
"2015-08-23",65
"2015-08-30",58
"2015-09-06",53
"2015-09-13",62
"2015-09-20",55
"2015-09-27",51
"2015-10-04",62
"2015-10-11",59
"2015-10-18",53
"2015-10-25",53
"2015-11-01",61
"2015-11-08",58
"2015-11-15",60
"2015-11-22",55
"2015-11-29",60
"2015-12-06",54
"2015-12-13",54
"2015-12-20",62
"2015-12-27",54
"2016-01-03",51
"2016-01-10",51
"2016-01-17",58
"2016-01-24",57
"2016-01-31",54
"2016-02-07",53
"2016-02-14",56
"2016-02-21",53
"2016-02-28",51
"2016-03-06",54
"2016-03-13",52
"2016-03-20",53
"2016-03-27",53
"2016-04-03",57
"2016-04-10",49
"2016-04-17",50
"2016-04-24",52
"2016-05-01",53
"2016-05-08",53
"2016-05-15",52
"2016-05-22",52
"2016-05-29",57
"2016-06-05",52
"2016-06-12",60
"2016-06-19",59
"2016-06-26",54
"2016-07-03",57
"2016-07-10",50
"2016-07-17",59
"2016-07-24",60
"2016-07-31",54
"2016-08-07",57
"2016-08-14",53
"2016-08-21",50
"2016-08-28",50
"2016-09-04",51
"2016-09-11",53
"2016-09-18",48
"2016-09-25",55
"2016-10-02",53
"2016-10-09",58
"2016-10-16",56
"2016-10-23",50
"2016-10-30",52
"2016-11-06",69
"2016-11-13",47
"2016-11-20",49
"2016-11-27",52
"2016-12-04",46
"2016-12-11",48
"2016-12-18",52
"2016-12-25",44
"2017-01-01",60
"2017-01-08",58
"2017-01-15",58
"2017-01-22",57
"2017-01-29",60
"2017-02-05",59
"2017-02-12",54
"2017-02-19",52
"2017-02-26",52
"2017-03-05",54
"2017-03-12",50
"2017-03-19",52
"2017-03-26",47
"2017-04-02",56
"2017-04-09",49
"2017-04-16",49
"2017-04-23",49
"2017-04-30",48
"2017-05-07",49
"2017-05-14",51
"2017-05-21",49
"2017-05-28",50
"2017-06-04",55
"2017-06-11",50
"2017-06-18",49
"2017-06-25",55
"2017-07-02",52
"2017-07-09",49
"2017-07-16",50
"2017-07-23",54
"2017-07-30",46
"2017-08-06",48
"2017-08-13",46
"2017-08-20",47
"2017-08-27",47
"2017-09-03",51
"2017-09-10",52
"2017-09-17",47
"2017-09-24",54
"2017-10-01",52
"2017-10-08",51
"2017-10-15",45
"2017-10-22",47
"2017-10-29",48
"2017-11-05",48
"2017-11-12",47
"2017-11-19",44
"2017-11-26",51
"2017-12-03",54
"2017-12-10",50
"2017-12-17",49
"2017-12-24",46
"2017-12-31",55
"2018-01-07",54
"2018-01-14",64
"2018-01-21",52
"2018-01-28",52
"2018-02-04",51
"2018-02-11",45
"2018-02-18",45
"2018-02-25",48
"2018-03-04",41
"2018-03-11",44
"2018-03-18",53
"2018-03-25",45
"2018-04-01",49
"2018-04-08",50
"2018-04-15",50
"2018-04-22",52
"2018-04-29",47
"2018-05-06",44
"2018-05-13",45
"2018-05-20",50
"2018-05-27",62
"2018-06-03",48
"2018-06-10",45
"2018-06-17",50
"2018-06-24",50
"2018-07-01",53
"2018-07-08",47
"2018-07-15",50
"2018-07-22",48
"2018-07-29",51
"2018-08-05",46
"2018-08-12",47
"2018-08-19",49
"2018-08-26",48
"2018-09-02",56
"2018-09-09",51
"2018-09-16",46
"2018-09-23",55
"2018-09-30",48
"2018-10-07",52
"2018-10-14",46
"2018-10-21",49
"2018-10-28",49
"2018-11-04",49
"2018-11-11",51
"2018-11-18",48
