"date","arizona"
"2013-12-01",91
"2013-12-08",89
"2013-12-15",85
"2013-12-22",91
"2013-12-29",100
"2014-01-05",79
"2014-01-12",80
"2014-01-19",81
"2014-01-26",77
"2014-02-02",83
"2014-02-09",77
"2014-02-16",77
"2014-02-23",81
"2014-03-02",84
"2014-03-09",82
"2014-03-16",79
"2014-03-23",83
"2014-03-30",76
"2014-04-06",79
"2014-04-13",83
"2014-04-20",78
"2014-04-27",76
"2014-05-04",83
"2014-05-11",81
"2014-05-18",81
"2014-05-25",85
"2014-06-01",84
"2014-06-08",88
"2014-06-15",90
"2014-06-22",78
"2014-06-29",81
"2014-07-06",85
"2014-07-13",88
"2014-07-20",83
"2014-07-27",86
"2014-08-03",89
"2014-08-10",91
"2014-08-17",81
"2014-08-24",89
"2014-08-31",86
"2014-09-07",84
"2014-09-14",79
"2014-09-21",83
"2014-09-28",76
"2014-10-05",82
"2014-10-12",77
"2014-10-19",81
"2014-10-26",76
"2014-11-02",79
"2014-11-09",80
"2014-11-16",81
"2014-11-23",74
"2014-11-30",70
"2014-12-07",74
"2014-12-14",76
"2014-12-21",75
"2014-12-28",79
"2015-01-04",72
"2015-01-11",73
"2015-01-18",72
"2015-01-25",73
"2015-02-01",85
"2015-02-08",71
"2015-02-15",78
"2015-02-22",76
"2015-03-01",72
"2015-03-08",72
"2015-03-15",71
"2015-03-22",71
"2015-03-29",71
"2015-04-05",76
"2015-04-12",72
"2015-04-19",72
"2015-04-26",74
"2015-05-03",71
"2015-05-10",81
"2015-05-17",70
"2015-05-24",73
"2015-05-31",72
"2015-06-07",74
"2015-06-14",70
"2015-06-21",77
"2015-06-28",73
"2015-07-05",78
"2015-07-12",81
"2015-07-19",82
"2015-07-26",79
"2015-08-02",73
"2015-08-09",73
"2015-08-16",73
"2015-08-23",79
"2015-08-30",80
"2015-09-06",71
"2015-09-13",69
"2015-09-20",64
"2015-09-27",72
"2015-10-04",66
"2015-10-11",73
"2015-10-18",75
"2015-10-25",75
"2015-11-01",73
"2015-11-08",76
"2015-11-15",73
"2015-11-22",66
"2015-11-29",65
"2015-12-06",61
"2015-12-13",62
"2015-12-20",70
"2015-12-27",64
"2016-01-03",66
"2016-01-10",68
"2016-01-17",66
"2016-01-24",78
"2016-01-31",67
"2016-02-07",64
"2016-02-14",71
"2016-02-21",65
"2016-02-28",67
"2016-03-06",76
"2016-03-13",70
"2016-03-20",70
"2016-03-27",72
"2016-04-03",67
"2016-04-10",67
"2016-04-17",66
"2016-04-24",70
"2016-05-01",67
"2016-05-08",66
"2016-05-15",66
"2016-05-22",65
"2016-05-29",67
"2016-06-05",70
"2016-06-12",78
"2016-06-19",74
"2016-06-26",71
"2016-07-03",71
"2016-07-10",67
"2016-07-17",79
"2016-07-24",78
"2016-07-31",74
"2016-08-07",63
"2016-08-14",63
"2016-08-21",61
"2016-08-28",69
"2016-09-04",66
"2016-09-11",66
"2016-09-18",65
"2016-09-25",70
"2016-10-02",70
"2016-10-09",75
"2016-10-16",76
"2016-10-23",67
"2016-10-30",71
"2016-11-06",92
"2016-11-13",64
"2016-11-20",60
"2016-11-27",62
"2016-12-04",62
"2016-12-11",61
"2016-12-18",59
"2016-12-25",61
"2017-01-01",64
"2017-01-08",73
"2017-01-15",79
"2017-01-22",77
"2017-01-29",77
"2017-02-05",76
"2017-02-12",73
"2017-02-19",73
"2017-02-26",73
"2017-03-05",67
"2017-03-12",70
"2017-03-19",69
"2017-03-26",66
"2017-04-02",64
"2017-04-09",56
"2017-04-16",59
"2017-04-23",64
"2017-04-30",62
"2017-05-07",65
"2017-05-14",66
"2017-05-21",64
"2017-05-28",72
"2017-06-04",70
"2017-06-11",65
"2017-06-18",65
"2017-06-25",67
"2017-07-02",76
"2017-07-09",61
"2017-07-16",65
"2017-07-23",70
"2017-07-30",70
"2017-08-06",62
"2017-08-13",73
"2017-08-20",69
"2017-08-27",65
"2017-09-03",62
"2017-09-10",61
"2017-09-17",61
"2017-09-24",71
"2017-10-01",67
"2017-10-08",65
"2017-10-15",61
"2017-10-22",65
"2017-10-29",65
"2017-11-05",63
"2017-11-12",60
"2017-11-19",59
"2017-11-26",66
"2017-12-03",60
"2017-12-10",64
"2017-12-17",60
"2017-12-24",58
"2017-12-31",65
"2018-01-07",66
"2018-01-14",66
"2018-01-21",62
"2018-01-28",64
"2018-02-04",65
"2018-02-11",57
"2018-02-18",65
"2018-02-25",61
"2018-03-04",58
"2018-03-11",62
"2018-03-18",62
"2018-03-25",60
"2018-04-01",62
"2018-04-08",70
"2018-04-15",66
"2018-04-22",72
"2018-04-29",65
"2018-05-06",59
"2018-05-13",60
"2018-05-20",60
"2018-05-27",75
"2018-06-03",64
"2018-06-10",66
"2018-06-17",72
"2018-06-24",70
"2018-07-01",71
"2018-07-08",60
"2018-07-15",64
"2018-07-22",68
"2018-07-29",64
"2018-08-05",65
"2018-08-12",60
"2018-08-19",68
"2018-08-26",68
"2018-09-02",69
"2018-09-09",65
"2018-09-16",62
"2018-09-23",69
"2018-09-30",60
"2018-10-07",64
"2018-10-14",64
"2018-10-21",59
"2018-10-28",61
"2018-11-04",62
"2018-11-11",59
"2018-11-18",55
