"date","arkansas"
"2013-12-01",89
"2013-12-08",96
"2013-12-15",86
"2013-12-22",83
"2013-12-29",86
"2014-01-05",83
"2014-01-12",78
"2014-01-19",87
"2014-01-26",81
"2014-02-02",100
"2014-02-09",87
"2014-02-16",72
"2014-02-23",81
"2014-03-02",97
"2014-03-09",83
"2014-03-16",77
"2014-03-23",75
"2014-03-30",83
"2014-04-06",71
"2014-04-13",78
"2014-04-20",73
"2014-04-27",81
"2014-05-04",80
"2014-05-11",77
"2014-05-18",84
"2014-05-25",74
"2014-06-01",79
"2014-06-08",76
"2014-06-15",78
"2014-06-22",76
"2014-06-29",90
"2014-07-06",76
"2014-07-13",76
"2014-07-20",78
"2014-07-27",85
"2014-08-03",87
"2014-08-10",75
"2014-08-17",80
"2014-08-24",90
"2014-08-31",91
"2014-09-07",73
"2014-09-14",83
"2014-09-21",77
"2014-09-28",70
"2014-10-05",63
"2014-10-12",71
"2014-10-19",82
"2014-10-26",78
"2014-11-02",73
"2014-11-09",68
"2014-11-16",70
"2014-11-23",76
"2014-11-30",74
"2014-12-07",70
"2014-12-14",69
"2014-12-21",80
"2014-12-28",86
"2015-01-04",71
"2015-01-11",74
"2015-01-18",77
"2015-01-25",82
"2015-02-01",73
"2015-02-08",70
"2015-02-15",82
"2015-02-22",80
"2015-03-01",88
"2015-03-08",69
"2015-03-15",70
"2015-03-22",64
"2015-03-29",64
"2015-04-05",68
"2015-04-12",69
"2015-04-19",68
"2015-04-26",63
"2015-05-03",68
"2015-05-10",61
"2015-05-17",69
"2015-05-24",68
"2015-05-31",68
"2015-06-07",67
"2015-06-14",67
"2015-06-21",66
"2015-06-28",74
"2015-07-05",66
"2015-07-12",69
"2015-07-19",76
"2015-07-26",69
"2015-08-02",73
"2015-08-09",65
"2015-08-16",67
"2015-08-23",61
"2015-08-30",63
"2015-09-06",69
"2015-09-13",55
"2015-09-20",59
"2015-09-27",62
"2015-10-04",66
"2015-10-11",49
"2015-10-18",52
"2015-10-25",54
"2015-11-01",55
"2015-11-08",53
"2015-11-15",62
"2015-11-22",55
"2015-11-29",58
"2015-12-06",58
"2015-12-13",56
"2015-12-20",58
"2015-12-27",67
"2016-01-03",68
"2016-01-10",68
"2016-01-17",66
"2016-01-24",64
"2016-01-31",59
"2016-02-07",59
"2016-02-14",58
"2016-02-21",52
"2016-02-28",58
"2016-03-06",61
"2016-03-13",51
"2016-03-20",50
"2016-03-27",54
"2016-04-03",55
"2016-04-10",59
"2016-04-17",55
"2016-04-24",54
"2016-05-01",57
"2016-05-08",60
"2016-05-15",52
"2016-05-22",59
"2016-05-29",55
"2016-06-05",62
"2016-06-12",61
"2016-06-19",65
"2016-06-26",56
"2016-07-03",64
"2016-07-10",59
"2016-07-17",63
"2016-07-24",70
"2016-07-31",60
"2016-08-07",61
"2016-08-14",53
"2016-08-21",57
"2016-08-28",58
"2016-09-04",61
"2016-09-11",61
"2016-09-18",55
"2016-09-25",61
"2016-10-02",67
"2016-10-09",55
"2016-10-16",57
"2016-10-23",64
"2016-10-30",54
"2016-11-06",70
"2016-11-13",48
"2016-11-20",59
"2016-11-27",53
"2016-12-04",56
"2016-12-11",53
"2016-12-18",57
"2016-12-25",57
"2017-01-01",65
"2017-01-08",58
"2017-01-15",65
"2017-01-22",63
"2017-01-29",71
"2017-02-05",64
"2017-02-12",61
"2017-02-19",55
"2017-02-26",58
"2017-03-05",57
"2017-03-12",52
"2017-03-19",57
"2017-03-26",52
"2017-04-02",61
"2017-04-09",58
"2017-04-16",50
"2017-04-23",56
"2017-04-30",61
"2017-05-07",59
"2017-05-14",61
"2017-05-21",59
"2017-05-28",60
"2017-06-04",68
"2017-06-11",56
"2017-06-18",53
"2017-06-25",61
"2017-07-02",67
"2017-07-09",58
"2017-07-16",60
"2017-07-23",62
"2017-07-30",56
"2017-08-06",62
"2017-08-13",55
"2017-08-20",51
"2017-08-27",59
"2017-09-03",49
"2017-09-10",45
"2017-09-17",52
"2017-09-24",57
"2017-10-01",49
"2017-10-08",58
"2017-10-15",53
"2017-10-22",48
"2017-10-29",53
"2017-11-05",55
"2017-11-12",51
"2017-11-19",51
"2017-11-26",63
"2017-12-03",60
"2017-12-10",62
"2017-12-17",60
"2017-12-24",51
"2017-12-31",61
"2018-01-07",54
"2018-01-14",60
"2018-01-21",60
"2018-01-28",58
"2018-02-04",57
"2018-02-11",50
"2018-02-18",60
"2018-02-25",62
"2018-03-04",52
"2018-03-11",58
"2018-03-18",56
"2018-03-25",56
"2018-04-01",55
"2018-04-08",61
"2018-04-15",53
"2018-04-22",52
"2018-04-29",56
"2018-05-06",52
"2018-05-13",51
"2018-05-20",62
"2018-05-27",75
"2018-06-03",55
"2018-06-10",59
"2018-06-17",68
"2018-06-24",70
"2018-07-01",62
"2018-07-08",54
"2018-07-15",65
"2018-07-22",58
"2018-07-29",61
"2018-08-05",57
"2018-08-12",50
"2018-08-19",57
"2018-08-26",56
"2018-09-02",60
"2018-09-09",54
"2018-09-16",52
"2018-09-23",54
"2018-09-30",51
"2018-10-07",47
"2018-10-14",49
"2018-10-21",48
"2018-10-28",47
"2018-11-04",51
"2018-11-11",50
"2018-11-18",50
