"date","california"
"2013-12-01",92
"2013-12-08",83
"2013-12-15",84
"2013-12-22",85
"2013-12-29",90
"2014-01-05",86
"2014-01-12",83
"2014-01-19",87
"2014-01-26",85
"2014-02-02",91
"2014-02-09",84
"2014-02-16",84
"2014-02-23",86
"2014-03-02",93
"2014-03-09",86
"2014-03-16",85
"2014-03-23",87
"2014-03-30",84
"2014-04-06",82
"2014-04-13",85
"2014-04-20",86
"2014-04-27",86
"2014-05-04",87
"2014-05-11",87
"2014-05-18",81
"2014-05-25",91
"2014-06-01",85
"2014-06-08",86
"2014-06-15",86
"2014-06-22",86
"2014-06-29",86
"2014-07-06",88
"2014-07-13",87
"2014-07-20",86
"2014-07-27",88
"2014-08-03",83
"2014-08-10",92
"2014-08-17",86
"2014-08-24",87
"2014-08-31",86
"2014-09-07",81
"2014-09-14",79
"2014-09-21",81
"2014-09-28",78
"2014-10-05",76
"2014-10-12",77
"2014-10-19",77
"2014-10-26",76
"2014-11-02",77
"2014-11-09",78
"2014-11-16",76
"2014-11-23",74
"2014-11-30",71
"2014-12-07",76
"2014-12-14",71
"2014-12-21",73
"2014-12-28",76
"2015-01-04",73
"2015-01-11",72
"2015-01-18",70
"2015-01-25",72
"2015-02-01",76
"2015-02-08",73
"2015-02-15",80
"2015-02-22",75
"2015-03-01",70
"2015-03-08",71
"2015-03-15",71
"2015-03-22",70
"2015-03-29",70
"2015-04-05",69
"2015-04-12",69
"2015-04-19",69
"2015-04-26",70
"2015-05-03",69
"2015-05-10",67
"2015-05-17",66
"2015-05-24",65
"2015-05-31",69
"2015-06-07",69
"2015-06-14",71
"2015-06-21",76
"2015-06-28",73
"2015-07-05",77
"2015-07-12",82
"2015-07-19",80
"2015-07-26",79
"2015-08-02",74
"2015-08-09",73
"2015-08-16",72
"2015-08-23",74
"2015-08-30",69
"2015-09-06",69
"2015-09-13",69
"2015-09-20",68
"2015-09-27",68
"2015-10-04",67
"2015-10-11",74
"2015-10-18",68
"2015-10-25",65
"2015-11-01",67
"2015-11-08",69
"2015-11-15",69
"2015-11-22",61
"2015-11-29",64
"2015-12-06",66
"2015-12-13",62
"2015-12-20",63
"2015-12-27",65
"2016-01-03",66
"2016-01-10",69
"2016-01-17",67
"2016-01-24",76
"2016-01-31",67
"2016-02-07",70
"2016-02-14",75
"2016-02-21",69
"2016-02-28",68
"2016-03-06",76
"2016-03-13",68
"2016-03-20",71
"2016-03-27",70
"2016-04-03",66
"2016-04-10",64
"2016-04-17",67
"2016-04-24",67
"2016-05-01",66
"2016-05-08",66
"2016-05-15",63
"2016-05-22",67
"2016-05-29",69
"2016-06-05",71
"2016-06-12",80
"2016-06-19",75
"2016-06-26",68
"2016-07-03",77
"2016-07-10",71
"2016-07-17",84
"2016-07-24",84
"2016-07-31",74
"2016-08-07",67
"2016-08-14",62
"2016-08-21",66
"2016-08-28",66
"2016-09-04",63
"2016-09-11",65
"2016-09-18",68
"2016-09-25",76
"2016-10-02",77
"2016-10-09",76
"2016-10-16",81
"2016-10-23",69
"2016-10-30",70
"2016-11-06",100
"2016-11-13",66
"2016-11-20",65
"2016-11-27",63
"2016-12-04",64
"2016-12-11",63
"2016-12-18",60
"2016-12-25",61
"2017-01-01",71
"2017-01-08",75
"2017-01-15",79
"2017-01-22",80
"2017-01-29",83
"2017-02-05",83
"2017-02-12",78
"2017-02-19",73
"2017-02-26",76
"2017-03-05",70
"2017-03-12",68
"2017-03-19",71
"2017-03-26",67
"2017-04-02",64
"2017-04-09",66
"2017-04-16",62
"2017-04-23",65
"2017-04-30",65
"2017-05-07",69
"2017-05-14",70
"2017-05-21",66
"2017-05-28",70
"2017-06-04",75
"2017-06-11",70
"2017-06-18",68
"2017-06-25",71
"2017-07-02",84
"2017-07-09",70
"2017-07-16",72
"2017-07-23",73
"2017-07-30",68
"2017-08-06",68
"2017-08-13",75
"2017-08-20",68
"2017-08-27",68
"2017-09-03",59
"2017-09-10",62
"2017-09-17",65
"2017-09-24",72
"2017-10-01",67
"2017-10-08",71
"2017-10-15",61
"2017-10-22",60
"2017-10-29",68
"2017-11-05",63
"2017-11-12",63
"2017-11-19",60
"2017-11-26",64
"2017-12-03",72
"2017-12-10",69
"2017-12-17",63
"2017-12-24",58
"2017-12-31",71
"2018-01-07",70
"2018-01-14",66
"2018-01-21",65
"2018-01-28",66
"2018-02-04",69
"2018-02-11",62
"2018-02-18",67
"2018-02-25",62
"2018-03-04",63
"2018-03-11",64
"2018-03-18",65
"2018-03-25",65
"2018-04-01",67
"2018-04-08",71
"2018-04-15",66
"2018-04-22",72
"2018-04-29",67
"2018-05-06",61
"2018-05-13",62
"2018-05-20",61
"2018-05-27",77
"2018-06-03",66
"2018-06-10",66
"2018-06-17",70
"2018-06-24",68
"2018-07-01",67
"2018-07-08",65
"2018-07-15",68
"2018-07-22",68
"2018-07-29",65
"2018-08-05",68
"2018-08-12",65
"2018-08-19",67
"2018-08-26",65
"2018-09-02",69
"2018-09-09",65
"2018-09-16",62
"2018-09-23",66
"2018-09-30",61
"2018-10-07",62
"2018-10-14",59
"2018-10-21",61
"2018-10-28",63
"2018-11-04",68
"2018-11-11",67
"2018-11-18",57
