"date","colorado"
"2013-12-01",80
"2013-12-08",73
"2013-12-15",72
"2013-12-22",71
"2013-12-29",78
"2014-01-05",73
"2014-01-12",81
"2014-01-19",78
"2014-01-26",74
"2014-02-02",85
"2014-02-09",74
"2014-02-16",72
"2014-02-23",74
"2014-03-02",81
"2014-03-09",76
"2014-03-16",72
"2014-03-23",75
"2014-03-30",71
"2014-04-06",73
"2014-04-13",74
"2014-04-20",80
"2014-04-27",71
"2014-05-04",76
"2014-05-11",74
"2014-05-18",72
"2014-05-25",76
"2014-06-01",79
"2014-06-08",72
"2014-06-15",75
"2014-06-22",76
"2014-06-29",77
"2014-07-06",76
"2014-07-13",72
"2014-07-20",72
"2014-07-27",79
"2014-08-03",75
"2014-08-10",78
"2014-08-17",73
"2014-08-24",74
"2014-08-31",72
"2014-09-07",74
"2014-09-14",73
"2014-09-21",72
"2014-09-28",70
"2014-10-05",68
"2014-10-12",70
"2014-10-19",72
"2014-10-26",72
"2014-11-02",73
"2014-11-09",69
"2014-11-16",69
"2014-11-23",66
"2014-11-30",71
"2014-12-07",69
"2014-12-14",60
"2014-12-21",72
"2014-12-28",76
"2015-01-04",68
"2015-01-11",75
"2015-01-18",69
"2015-01-25",66
"2015-02-01",71
"2015-02-08",70
"2015-02-15",70
"2015-02-22",74
"2015-03-01",65
"2015-03-08",66
"2015-03-15",64
"2015-03-22",66
"2015-03-29",71
"2015-04-05",62
"2015-04-12",64
"2015-04-19",63
"2015-04-26",68
"2015-05-03",66
"2015-05-10",65
"2015-05-17",59
"2015-05-24",65
"2015-05-31",67
"2015-06-07",67
"2015-06-14",63
"2015-06-21",68
"2015-06-28",69
"2015-07-05",68
"2015-07-12",70
"2015-07-19",72
"2015-07-26",69
"2015-08-02",68
"2015-08-09",67
"2015-08-16",65
"2015-08-23",65
"2015-08-30",64
"2015-09-06",63
"2015-09-13",64
"2015-09-20",65
"2015-09-27",61
"2015-10-04",66
"2015-10-11",71
"2015-10-18",60
"2015-10-25",62
"2015-11-01",61
"2015-11-08",63
"2015-11-15",61
"2015-11-22",57
"2015-11-29",57
"2015-12-06",59
"2015-12-13",59
"2015-12-20",60
"2015-12-27",64
"2016-01-03",59
"2016-01-10",67
"2016-01-17",61
"2016-01-24",70
"2016-01-31",66
"2016-02-07",63
"2016-02-14",65
"2016-02-21",64
"2016-02-28",62
"2016-03-06",74
"2016-03-13",67
"2016-03-20",72
"2016-03-27",65
"2016-04-03",63
"2016-04-10",64
"2016-04-17",60
"2016-04-24",63
"2016-05-01",59
"2016-05-08",57
"2016-05-15",61
"2016-05-22",61
"2016-05-29",61
"2016-06-05",65
"2016-06-12",73
"2016-06-19",67
"2016-06-26",70
"2016-07-03",67
"2016-07-10",67
"2016-07-17",78
"2016-07-24",78
"2016-07-31",68
"2016-08-07",58
"2016-08-14",56
"2016-08-21",55
"2016-08-28",59
"2016-09-04",60
"2016-09-11",62
"2016-09-18",56
"2016-09-25",68
"2016-10-02",74
"2016-10-09",82
"2016-10-16",74
"2016-10-23",60
"2016-10-30",64
"2016-11-06",100
"2016-11-13",59
"2016-11-20",61
"2016-11-27",64
"2016-12-04",59
"2016-12-11",61
"2016-12-18",61
"2016-12-25",59
"2017-01-01",71
"2017-01-08",73
"2017-01-15",80
"2017-01-22",86
"2017-01-29",80
"2017-02-05",86
"2017-02-12",80
"2017-02-19",69
"2017-02-26",77
"2017-03-05",75
"2017-03-12",65
"2017-03-19",73
"2017-03-26",64
"2017-04-02",65
"2017-04-09",61
"2017-04-16",60
"2017-04-23",62
"2017-04-30",61
"2017-05-07",66
"2017-05-14",71
"2017-05-21",64
"2017-05-28",65
"2017-06-04",75
"2017-06-11",65
"2017-06-18",65
"2017-06-25",69
"2017-07-02",75
"2017-07-09",66
"2017-07-16",69
"2017-07-23",76
"2017-07-30",68
"2017-08-06",72
"2017-08-13",76
"2017-08-20",66
"2017-08-27",66
"2017-09-03",64
"2017-09-10",59
"2017-09-17",61
"2017-09-24",74
"2017-10-01",65
"2017-10-08",65
"2017-10-15",62
"2017-10-22",62
"2017-10-29",72
"2017-11-05",63
"2017-11-12",62
"2017-11-19",59
"2017-11-26",72
"2017-12-03",69
"2017-12-10",72
"2017-12-17",61
"2017-12-24",59
"2017-12-31",76
"2018-01-07",71
"2018-01-14",68
"2018-01-21",71
"2018-01-28",69
"2018-02-04",71
"2018-02-11",68
"2018-02-18",64
"2018-02-25",62
"2018-03-04",67
"2018-03-11",69
"2018-03-18",69
"2018-03-25",66
"2018-04-01",67
"2018-04-08",77
"2018-04-15",69
"2018-04-22",79
"2018-04-29",69
"2018-05-06",60
"2018-05-13",60
"2018-05-20",63
"2018-05-27",81
"2018-06-03",67
"2018-06-10",70
"2018-06-17",68
"2018-06-24",69
"2018-07-01",67
"2018-07-08",64
"2018-07-15",72
"2018-07-22",72
"2018-07-29",71
"2018-08-05",68
"2018-08-12",67
"2018-08-19",76
"2018-08-26",68
"2018-09-02",70
"2018-09-09",67
"2018-09-16",63
"2018-09-23",71
"2018-09-30",66
"2018-10-07",66
"2018-10-14",61
"2018-10-21",66
"2018-10-28",68
"2018-11-04",67
"2018-11-11",68
"2018-11-18",64
