"date","connecticut"
"2013-12-01",78
"2013-12-08",71
"2013-12-15",68
"2013-12-22",79
"2013-12-29",81
"2014-01-05",68
"2014-01-12",75
"2014-01-19",80
"2014-01-26",73
"2014-02-02",80
"2014-02-09",71
"2014-02-16",72
"2014-02-23",76
"2014-03-02",76
"2014-03-09",73
"2014-03-16",72
"2014-03-23",68
"2014-03-30",71
"2014-04-06",72
"2014-04-13",73
"2014-04-20",71
"2014-04-27",70
"2014-05-04",70
"2014-05-11",65
"2014-05-18",87
"2014-05-25",100
"2014-06-01",95
"2014-06-08",75
"2014-06-15",70
"2014-06-22",71
"2014-06-29",75
"2014-07-06",70
"2014-07-13",67
"2014-07-20",70
"2014-07-27",71
"2014-08-03",72
"2014-08-10",72
"2014-08-17",71
"2014-08-24",71
"2014-08-31",77
"2014-09-07",64
"2014-09-14",63
"2014-09-21",65
"2014-09-28",62
"2014-10-05",63
"2014-10-12",66
"2014-10-19",66
"2014-10-26",58
"2014-11-02",59
"2014-11-09",66
"2014-11-16",62
"2014-11-23",61
"2014-11-30",60
"2014-12-07",57
"2014-12-14",58
"2014-12-21",68
"2014-12-28",67
"2015-01-04",65
"2015-01-11",60
"2015-01-18",58
"2015-01-25",65
"2015-02-01",68
"2015-02-08",60
"2015-02-15",67
"2015-02-22",63
"2015-03-01",58
"2015-03-08",65
"2015-03-15",63
"2015-03-22",63
"2015-03-29",57
"2015-04-05",56
"2015-04-12",59
"2015-04-19",54
"2015-04-26",62
"2015-05-03",52
"2015-05-10",52
"2015-05-17",54
"2015-05-24",50
"2015-05-31",55
"2015-06-07",55
"2015-06-14",57
"2015-06-21",61
"2015-06-28",57
"2015-07-05",57
"2015-07-12",55
"2015-07-19",62
"2015-07-26",64
"2015-08-02",59
"2015-08-09",60
"2015-08-16",52
"2015-08-23",58
"2015-08-30",57
"2015-09-06",58
"2015-09-13",55
"2015-09-20",54
"2015-09-27",52
"2015-10-04",50
"2015-10-11",55
"2015-10-18",56
"2015-10-25",52
"2015-11-01",51
"2015-11-08",56
"2015-11-15",50
"2015-11-22",44
"2015-11-29",50
"2015-12-06",53
"2015-12-13",50
"2015-12-20",53
"2015-12-27",49
"2016-01-03",50
"2016-01-10",51
"2016-01-17",56
"2016-01-24",60
"2016-01-31",54
"2016-02-07",57
"2016-02-14",60
"2016-02-21",59
"2016-02-28",55
"2016-03-06",60
"2016-03-13",58
"2016-03-20",54
"2016-03-27",50
"2016-04-03",53
"2016-04-10",54
"2016-04-17",48
"2016-04-24",53
"2016-05-01",52
"2016-05-08",53
"2016-05-15",50
"2016-05-22",54
"2016-05-29",53
"2016-06-05",50
"2016-06-12",58
"2016-06-19",57
"2016-06-26",56
"2016-07-03",57
"2016-07-10",50
"2016-07-17",56
"2016-07-24",57
"2016-07-31",54
"2016-08-07",51
"2016-08-14",48
"2016-08-21",52
"2016-08-28",50
"2016-09-04",48
"2016-09-11",50
"2016-09-18",53
"2016-09-25",58
"2016-10-02",62
"2016-10-09",62
"2016-10-16",63
"2016-10-23",52
"2016-10-30",51
"2016-11-06",76
"2016-11-13",51
"2016-11-20",53
"2016-11-27",45
"2016-12-04",46
"2016-12-11",46
"2016-12-18",46
"2016-12-25",50
"2017-01-01",55
"2017-01-08",58
"2017-01-15",60
"2017-01-22",65
"2017-01-29",66
"2017-02-05",69
"2017-02-12",63
"2017-02-19",56
"2017-02-26",61
"2017-03-05",59
"2017-03-12",60
"2017-03-19",58
"2017-03-26",53
"2017-04-02",51
"2017-04-09",53
"2017-04-16",50
"2017-04-23",51
"2017-04-30",51
"2017-05-07",49
"2017-05-14",58
"2017-05-21",48
"2017-05-28",50
"2017-06-04",57
"2017-06-11",50
"2017-06-18",49
"2017-06-25",58
"2017-07-02",58
"2017-07-09",54
"2017-07-16",54
"2017-07-23",56
"2017-07-30",53
"2017-08-06",51
"2017-08-13",62
"2017-08-20",53
"2017-08-27",52
"2017-09-03",51
"2017-09-10",48
"2017-09-17",50
"2017-09-24",57
"2017-10-01",51
"2017-10-08",52
"2017-10-15",46
"2017-10-22",50
"2017-10-29",55
"2017-11-05",51
"2017-11-12",50
"2017-11-19",46
"2017-11-26",51
"2017-12-03",50
"2017-12-10",52
"2017-12-17",49
"2017-12-24",49
"2017-12-31",58
"2018-01-07",53
"2018-01-14",56
"2018-01-21",50
"2018-01-28",51
"2018-02-04",57
"2018-02-11",50
"2018-02-18",50
"2018-02-25",52
"2018-03-04",57
"2018-03-11",53
"2018-03-18",55
"2018-03-25",50
"2018-04-01",51
"2018-04-08",57
"2018-04-15",53
"2018-04-22",56
"2018-04-29",52
"2018-05-06",44
"2018-05-13",47
"2018-05-20",49
"2018-05-27",56
"2018-06-03",47
"2018-06-10",47
"2018-06-17",51
"2018-06-24",51
"2018-07-01",45
"2018-07-08",47
"2018-07-15",51
"2018-07-22",52
"2018-07-29",51
"2018-08-05",49
"2018-08-12",46
"2018-08-19",50
"2018-08-26",48
"2018-09-02",54
"2018-09-09",49
"2018-09-16",49
"2018-09-23",52
"2018-09-30",46
"2018-10-07",46
"2018-10-14",47
"2018-10-21",46
"2018-10-28",49
"2018-11-04",49
"2018-11-11",48
"2018-11-18",39
