"date","delaware"
"2013-12-01",79
"2013-12-08",78
"2013-12-15",78
"2013-12-22",90
"2013-12-29",92
"2014-01-05",93
"2014-01-12",77
"2014-01-19",78
"2014-01-26",86
"2014-02-02",96
"2014-02-09",91
"2014-02-16",84
"2014-02-23",90
"2014-03-02",99
"2014-03-09",89
"2014-03-16",74
"2014-03-23",75
"2014-03-30",74
"2014-04-06",80
"2014-04-13",83
"2014-04-20",81
"2014-04-27",83
"2014-05-04",80
"2014-05-11",100
"2014-05-18",80
"2014-05-25",87
"2014-06-01",84
"2014-06-08",75
"2014-06-15",81
"2014-06-22",91
"2014-06-29",83
"2014-07-06",84
"2014-07-13",86
"2014-07-20",77
"2014-07-27",86
"2014-08-03",82
"2014-08-10",93
"2014-08-17",85
"2014-08-24",74
"2014-08-31",69
"2014-09-07",80
"2014-09-14",67
"2014-09-21",77
"2014-09-28",74
"2014-10-05",68
"2014-10-12",72
"2014-10-19",80
"2014-10-26",72
"2014-11-02",72
"2014-11-09",71
"2014-11-16",68
"2014-11-23",61
"2014-11-30",57
"2014-12-07",66
"2014-12-14",77
"2014-12-21",68
"2014-12-28",81
"2015-01-04",66
"2015-01-11",66
"2015-01-18",74
"2015-01-25",81
"2015-02-01",62
"2015-02-08",67
"2015-02-15",86
"2015-02-22",73
"2015-03-01",83
"2015-03-08",81
"2015-03-15",76
"2015-03-22",74
"2015-03-29",74
"2015-04-05",57
"2015-04-12",58
"2015-04-19",64
"2015-04-26",64
"2015-05-03",64
"2015-05-10",70
"2015-05-17",62
"2015-05-24",56
"2015-05-31",60
"2015-06-07",59
"2015-06-14",52
"2015-06-21",77
"2015-06-28",73
"2015-07-05",72
"2015-07-12",58
"2015-07-19",75
"2015-07-26",70
"2015-08-02",62
"2015-08-09",54
"2015-08-16",69
"2015-08-23",77
"2015-08-30",64
"2015-09-06",59
"2015-09-13",64
"2015-09-20",57
"2015-09-27",61
"2015-10-04",54
"2015-10-11",71
"2015-10-18",58
"2015-10-25",63
"2015-11-01",56
"2015-11-08",64
"2015-11-15",57
"2015-11-22",59
"2015-11-29",65
"2015-12-06",52
"2015-12-13",63
"2015-12-20",59
"2015-12-27",49
"2016-01-03",53
"2016-01-10",51
"2016-01-17",53
"2016-01-24",59
"2016-01-31",61
"2016-02-07",56
"2016-02-14",59
"2016-02-21",57
"2016-02-28",61
"2016-03-06",66
"2016-03-13",54
"2016-03-20",61
"2016-03-27",62
"2016-04-03",59
"2016-04-10",53
"2016-04-17",57
"2016-04-24",65
"2016-05-01",62
"2016-05-08",58
"2016-05-15",51
"2016-05-22",62
"2016-05-29",60
"2016-06-05",62
"2016-06-12",64
"2016-06-19",56
"2016-06-26",59
"2016-07-03",56
"2016-07-10",52
"2016-07-17",63
"2016-07-24",65
"2016-07-31",64
"2016-08-07",58
"2016-08-14",46
"2016-08-21",50
"2016-08-28",60
"2016-09-04",56
"2016-09-11",62
"2016-09-18",53
"2016-09-25",63
"2016-10-02",57
"2016-10-09",70
"2016-10-16",61
"2016-10-23",54
"2016-10-30",56
"2016-11-06",65
"2016-11-13",50
"2016-11-20",51
"2016-11-27",54
"2016-12-04",52
"2016-12-11",53
"2016-12-18",50
"2016-12-25",55
"2017-01-01",53
"2017-01-08",62
"2017-01-15",69
"2017-01-22",69
"2017-01-29",69
"2017-02-05",56
"2017-02-12",66
"2017-02-19",61
"2017-02-26",72
"2017-03-05",63
"2017-03-12",72
"2017-03-19",52
"2017-03-26",52
"2017-04-02",50
"2017-04-09",57
"2017-04-16",50
"2017-04-23",53
"2017-04-30",53
"2017-05-07",53
"2017-05-14",55
"2017-05-21",57
"2017-05-28",60
"2017-06-04",70
"2017-06-11",69
"2017-06-18",54
"2017-06-25",53
"2017-07-02",64
"2017-07-09",57
"2017-07-16",61
"2017-07-23",62
"2017-07-30",62
"2017-08-06",59
"2017-08-13",70
"2017-08-20",57
"2017-08-27",58
"2017-09-03",58
"2017-09-10",56
"2017-09-17",54
"2017-09-24",60
"2017-10-01",61
"2017-10-08",49
"2017-10-15",46
"2017-10-22",53
"2017-10-29",52
"2017-11-05",56
"2017-11-12",56
"2017-11-19",50
"2017-11-26",55
"2017-12-03",53
"2017-12-10",52
"2017-12-17",52
"2017-12-24",60
"2017-12-31",54
"2018-01-07",62
"2018-01-14",49
"2018-01-21",53
"2018-01-28",59
"2018-02-04",57
"2018-02-11",55
"2018-02-18",54
"2018-02-25",49
"2018-03-04",49
"2018-03-11",57
"2018-03-18",67
"2018-03-25",42
"2018-04-01",53
"2018-04-08",65
"2018-04-15",51
"2018-04-22",62
"2018-04-29",57
"2018-05-06",46
"2018-05-13",53
"2018-05-20",51
"2018-05-27",67
"2018-06-03",56
"2018-06-10",46
"2018-06-17",57
"2018-06-24",59
"2018-07-01",47
"2018-07-08",43
"2018-07-15",49
"2018-07-22",54
"2018-07-29",56
"2018-08-05",56
"2018-08-12",59
"2018-08-19",57
"2018-08-26",58
"2018-09-02",53
"2018-09-09",57
"2018-09-16",51
"2018-09-23",52
"2018-09-30",54
"2018-10-07",60
"2018-10-14",49
"2018-10-21",53
"2018-10-28",50
"2018-11-04",59
"2018-11-11",56
"2018-11-18",48
