"date","district of columbia"
"2013-12-01",70
"2013-12-08",75
"2013-12-15",62
"2013-12-22",54
"2013-12-29",59
"2014-01-05",68
"2014-01-12",69
"2014-01-19",75
"2014-01-26",65
"2014-02-02",69
"2014-02-09",74
"2014-02-16",68
"2014-02-23",63
"2014-03-02",76
"2014-03-09",68
"2014-03-16",69
"2014-03-23",70
"2014-03-30",64
"2014-04-06",66
"2014-04-13",60
"2014-04-20",65
"2014-04-27",64
"2014-05-04",66
"2014-05-11",78
"2014-05-18",72
"2014-05-25",66
"2014-06-01",74
"2014-06-08",80
"2014-06-15",71
"2014-06-22",70
"2014-06-29",72
"2014-07-06",75
"2014-07-13",61
"2014-07-20",67
"2014-07-27",63
"2014-08-03",57
"2014-08-10",61
"2014-08-17",63
"2014-08-24",58
"2014-08-31",61
"2014-09-07",60
"2014-09-14",57
"2014-09-21",56
"2014-09-28",55
"2014-10-05",54
"2014-10-12",52
"2014-10-19",52
"2014-10-26",51
"2014-11-02",54
"2014-11-09",51
"2014-11-16",52
"2014-11-23",47
"2014-11-30",50
"2014-12-07",51
"2014-12-14",50
"2014-12-21",44
"2014-12-28",47
"2015-01-04",59
"2015-01-11",54
"2015-01-18",53
"2015-01-25",53
"2015-02-01",57
"2015-02-08",50
"2015-02-15",56
"2015-02-22",57
"2015-03-01",57
"2015-03-08",54
"2015-03-15",53
"2015-03-22",49
"2015-03-29",52
"2015-04-05",52
"2015-04-12",54
"2015-04-19",53
"2015-04-26",55
"2015-05-03",48
"2015-05-10",45
"2015-05-17",46
"2015-05-24",44
"2015-05-31",49
"2015-06-07",46
"2015-06-14",47
"2015-06-21",49
"2015-06-28",50
"2015-07-05",49
"2015-07-12",50
"2015-07-19",57
"2015-07-26",55
"2015-08-02",51
"2015-08-09",48
"2015-08-16",45
"2015-08-23",47
"2015-08-30",48
"2015-09-06",44
"2015-09-13",48
"2015-09-20",47
"2015-09-27",48
"2015-10-04",44
"2015-10-11",49
"2015-10-18",45
"2015-10-25",48
"2015-11-01",49
"2015-11-08",48
"2015-11-15",51
"2015-11-22",41
"2015-11-29",46
"2015-12-06",46
"2015-12-13",42
"2015-12-20",39
"2015-12-27",43
"2016-01-03",50
"2016-01-10",52
"2016-01-17",67
"2016-01-24",80
"2016-01-31",54
"2016-02-07",61
"2016-02-14",58
"2016-02-21",61
"2016-02-28",56
"2016-03-06",56
"2016-03-13",54
"2016-03-20",55
"2016-03-27",57
"2016-04-03",54
"2016-04-10",54
"2016-04-17",53
"2016-04-24",55
"2016-05-01",56
"2016-05-08",55
"2016-05-15",53
"2016-05-22",52
"2016-05-29",49
"2016-06-05",54
"2016-06-12",61
"2016-06-19",59
"2016-06-26",51
"2016-07-03",56
"2016-07-10",57
"2016-07-17",61
"2016-07-24",63
"2016-07-31",59
"2016-08-07",52
"2016-08-14",44
"2016-08-21",49
"2016-08-28",51
"2016-09-04",49
"2016-09-11",56
"2016-09-18",50
"2016-09-25",60
"2016-10-02",64
"2016-10-09",63
"2016-10-16",63
"2016-10-23",54
"2016-10-30",57
"2016-11-06",77
"2016-11-13",50
"2016-11-20",47
"2016-11-27",51
"2016-12-04",48
"2016-12-11",49
"2016-12-18",45
"2016-12-25",42
"2017-01-01",56
"2017-01-08",67
"2017-01-15",72
"2017-01-22",80
"2017-01-29",77
"2017-02-05",75
"2017-02-12",71
"2017-02-19",64
"2017-02-26",66
"2017-03-05",64
"2017-03-12",68
"2017-03-19",69
"2017-03-26",58
"2017-04-02",60
"2017-04-09",54
"2017-04-16",54
"2017-04-23",59
"2017-04-30",57
"2017-05-07",59
"2017-05-14",59
"2017-05-21",52
"2017-05-28",56
"2017-06-04",68
"2017-06-11",60
"2017-06-18",56
"2017-06-25",66
"2017-07-02",63
"2017-07-09",60
"2017-07-16",58
"2017-07-23",69
"2017-07-30",55
"2017-08-06",58
"2017-08-13",71
"2017-08-20",57
"2017-08-27",57
"2017-09-03",52
"2017-09-10",55
"2017-09-17",53
"2017-09-24",66
"2017-10-01",59
"2017-10-08",59
"2017-10-15",57
"2017-10-22",54
"2017-10-29",64
"2017-11-05",64
"2017-11-12",73
"2017-11-19",65
"2017-11-26",86
"2017-12-03",76
"2017-12-10",83
"2017-12-17",63
"2017-12-24",56
"2017-12-31",87
"2018-01-07",85
"2018-01-14",92
"2018-01-21",79
"2018-01-28",84
"2018-02-04",92
"2018-02-11",81
"2018-02-18",77
"2018-02-25",86
"2018-03-04",79
"2018-03-11",84
"2018-03-18",100
"2018-03-25",81
"2018-04-01",79
"2018-04-08",88
"2018-04-15",81
"2018-04-22",86
"2018-04-29",85
"2018-05-06",78
"2018-05-13",78
"2018-05-20",83
"2018-05-27",87
"2018-06-03",83
"2018-06-10",88
"2018-06-17",83
"2018-06-24",87
"2018-07-01",77
"2018-07-08",80
"2018-07-15",95
"2018-07-22",88
"2018-07-29",86
"2018-08-05",79
"2018-08-12",84
"2018-08-19",88
"2018-08-26",80
"2018-09-02",89
"2018-09-09",85
"2018-09-16",77
"2018-09-23",97
"2018-09-30",82
"2018-10-07",71
"2018-10-14",67
"2018-10-21",67
"2018-10-28",75
"2018-11-04",79
"2018-11-11",76
"2018-11-18",56
