"date","florida"
"2013-12-01",100
"2013-12-08",86
"2013-12-15",88
"2013-12-22",93
"2013-12-29",96
"2014-01-05",89
"2014-01-12",83
"2014-01-19",89
"2014-01-26",84
"2014-02-02",91
"2014-02-09",86
"2014-02-16",88
"2014-02-23",87
"2014-03-02",91
"2014-03-09",90
"2014-03-16",88
"2014-03-23",90
"2014-03-30",93
"2014-04-06",88
"2014-04-13",89
"2014-04-20",90
"2014-04-27",92
"2014-05-04",87
"2014-05-11",94
"2014-05-18",90
"2014-05-25",91
"2014-06-01",91
"2014-06-08",87
"2014-06-15",87
"2014-06-22",90
"2014-06-29",90
"2014-07-06",98
"2014-07-13",88
"2014-07-20",89
"2014-07-27",87
"2014-08-03",85
"2014-08-10",96
"2014-08-17",86
"2014-08-24",87
"2014-08-31",90
"2014-09-07",80
"2014-09-14",83
"2014-09-21",83
"2014-09-28",77
"2014-10-05",79
"2014-10-12",75
"2014-10-19",75
"2014-10-26",80
"2014-11-02",78
"2014-11-09",79
"2014-11-16",78
"2014-11-23",74
"2014-11-30",79
"2014-12-07",71
"2014-12-14",72
"2014-12-21",83
"2014-12-28",86
"2015-01-04",75
"2015-01-11",78
"2015-01-18",73
"2015-01-25",74
"2015-02-01",79
"2015-02-08",71
"2015-02-15",83
"2015-02-22",80
"2015-03-01",74
"2015-03-08",76
"2015-03-15",78
"2015-03-22",71
"2015-03-29",76
"2015-04-05",74
"2015-04-12",72
"2015-04-19",71
"2015-04-26",70
"2015-05-03",72
"2015-05-10",72
"2015-05-17",72
"2015-05-24",72
"2015-05-31",75
"2015-06-07",71
"2015-06-14",74
"2015-06-21",73
"2015-06-28",71
"2015-07-05",74
"2015-07-12",76
"2015-07-19",83
"2015-07-26",82
"2015-08-02",78
"2015-08-09",71
"2015-08-16",73
"2015-08-23",74
"2015-08-30",72
"2015-09-06",71
"2015-09-13",69
"2015-09-20",69
"2015-09-27",68
"2015-10-04",69
"2015-10-11",71
"2015-10-18",66
"2015-10-25",69
"2015-11-01",67
"2015-11-08",68
"2015-11-15",67
"2015-11-22",61
"2015-11-29",66
"2015-12-06",66
"2015-12-13",65
"2015-12-20",69
"2015-12-27",67
"2016-01-03",63
"2016-01-10",62
"2016-01-17",64
"2016-01-24",72
"2016-01-31",67
"2016-02-07",63
"2016-02-14",70
"2016-02-21",65
"2016-02-28",67
"2016-03-06",73
"2016-03-13",67
"2016-03-20",71
"2016-03-27",67
"2016-04-03",64
"2016-04-10",62
"2016-04-17",62
"2016-04-24",66
"2016-05-01",67
"2016-05-08",65
"2016-05-15",64
"2016-05-22",64
"2016-05-29",63
"2016-06-05",71
"2016-06-12",80
"2016-06-19",69
"2016-06-26",67
"2016-07-03",73
"2016-07-10",66
"2016-07-17",78
"2016-07-24",81
"2016-07-31",73
"2016-08-07",64
"2016-08-14",65
"2016-08-21",63
"2016-08-28",70
"2016-09-04",63
"2016-09-11",64
"2016-09-18",65
"2016-09-25",72
"2016-10-02",76
"2016-10-09",76
"2016-10-16",76
"2016-10-23",61
"2016-10-30",62
"2016-11-06",87
"2016-11-13",61
"2016-11-20",60
"2016-11-27",59
"2016-12-04",61
"2016-12-11",60
"2016-12-18",60
"2016-12-25",58
"2017-01-01",67
"2017-01-08",70
"2017-01-15",73
"2017-01-22",76
"2017-01-29",74
"2017-02-05",80
"2017-02-12",70
"2017-02-19",69
"2017-02-26",70
"2017-03-05",66
"2017-03-12",63
"2017-03-19",69
"2017-03-26",63
"2017-04-02",62
"2017-04-09",62
"2017-04-16",60
"2017-04-23",63
"2017-04-30",63
"2017-05-07",65
"2017-05-14",66
"2017-05-21",64
"2017-05-28",62
"2017-06-04",72
"2017-06-11",65
"2017-06-18",62
"2017-06-25",68
"2017-07-02",75
"2017-07-09",64
"2017-07-16",64
"2017-07-23",69
"2017-07-30",67
"2017-08-06",67
"2017-08-13",74
"2017-08-20",64
"2017-08-27",62
"2017-09-03",64
"2017-09-10",79
"2017-09-17",63
"2017-09-24",72
"2017-10-01",63
"2017-10-08",64
"2017-10-15",59
"2017-10-22",58
"2017-10-29",66
"2017-11-05",61
"2017-11-12",60
"2017-11-19",59
"2017-11-26",64
"2017-12-03",59
"2017-12-10",63
"2017-12-17",59
"2017-12-24",59
"2017-12-31",66
"2018-01-07",64
"2018-01-14",62
"2018-01-21",62
"2018-01-28",65
"2018-02-04",66
"2018-02-11",60
"2018-02-18",62
"2018-02-25",58
"2018-03-04",57
"2018-03-11",60
"2018-03-18",61
"2018-03-25",61
"2018-04-01",59
"2018-04-08",65
"2018-04-15",61
"2018-04-22",67
"2018-04-29",62
"2018-05-06",58
"2018-05-13",57
"2018-05-20",58
"2018-05-27",76
"2018-06-03",64
"2018-06-10",63
"2018-06-17",67
"2018-06-24",68
"2018-07-01",62
"2018-07-08",62
"2018-07-15",64
"2018-07-22",62
"2018-07-29",62
"2018-08-05",63
"2018-08-12",64
"2018-08-19",63
"2018-08-26",63
"2018-09-02",66
"2018-09-09",67
"2018-09-16",61
"2018-09-23",66
"2018-09-30",60
"2018-10-07",64
"2018-10-14",59
"2018-10-21",59
"2018-10-28",63
"2018-11-04",61
"2018-11-11",58
"2018-11-18",56
