"date","georgia"
"2013-12-01",95
"2013-12-08",87
"2013-12-15",90
"2013-12-22",89
"2013-12-29",97
"2014-01-05",91
"2014-01-12",90
"2014-01-19",93
"2014-01-26",100
"2014-02-02",94
"2014-02-09",94
"2014-02-16",87
"2014-02-23",83
"2014-03-02",87
"2014-03-09",83
"2014-03-16",85
"2014-03-23",83
"2014-03-30",80
"2014-04-06",81
"2014-04-13",85
"2014-04-20",84
"2014-04-27",88
"2014-05-04",82
"2014-05-11",90
"2014-05-18",84
"2014-05-25",88
"2014-06-01",86
"2014-06-08",84
"2014-06-15",81
"2014-06-22",86
"2014-06-29",85
"2014-07-06",83
"2014-07-13",77
"2014-07-20",75
"2014-07-27",80
"2014-08-03",76
"2014-08-10",80
"2014-08-17",73
"2014-08-24",73
"2014-08-31",80
"2014-09-07",73
"2014-09-14",73
"2014-09-21",71
"2014-09-28",69
"2014-10-05",68
"2014-10-12",70
"2014-10-19",71
"2014-10-26",66
"2014-11-02",70
"2014-11-09",70
"2014-11-16",65
"2014-11-23",69
"2014-11-30",66
"2014-12-07",61
"2014-12-14",62
"2014-12-21",67
"2014-12-28",73
"2015-01-04",71
"2015-01-11",63
"2015-01-18",64
"2015-01-25",61
"2015-02-01",64
"2015-02-08",61
"2015-02-15",74
"2015-02-22",76
"2015-03-01",65
"2015-03-08",62
"2015-03-15",61
"2015-03-22",62
"2015-03-29",63
"2015-04-05",63
"2015-04-12",58
"2015-04-19",61
"2015-04-26",60
"2015-05-03",61
"2015-05-10",57
"2015-05-17",56
"2015-05-24",58
"2015-05-31",55
"2015-06-07",57
"2015-06-14",59
"2015-06-21",63
"2015-06-28",65
"2015-07-05",66
"2015-07-12",67
"2015-07-19",77
"2015-07-26",75
"2015-08-02",68
"2015-08-09",67
"2015-08-16",65
"2015-08-23",66
"2015-08-30",62
"2015-09-06",61
"2015-09-13",62
"2015-09-20",62
"2015-09-27",64
"2015-10-04",62
"2015-10-11",64
"2015-10-18",63
"2015-10-25",59
"2015-11-01",58
"2015-11-08",62
"2015-11-15",62
"2015-11-22",60
"2015-11-29",61
"2015-12-06",61
"2015-12-13",58
"2015-12-20",62
"2015-12-27",61
"2016-01-03",65
"2016-01-10",66
"2016-01-17",67
"2016-01-24",74
"2016-01-31",67
"2016-02-07",66
"2016-02-14",72
"2016-02-21",65
"2016-02-28",64
"2016-03-06",68
"2016-03-13",62
"2016-03-20",63
"2016-03-27",63
"2016-04-03",62
"2016-04-10",61
"2016-04-17",64
"2016-04-24",63
"2016-05-01",66
"2016-05-08",61
"2016-05-15",60
"2016-05-22",60
"2016-05-29",60
"2016-06-05",66
"2016-06-12",72
"2016-06-19",66
"2016-06-26",63
"2016-07-03",70
"2016-07-10",64
"2016-07-17",75
"2016-07-24",73
"2016-07-31",67
"2016-08-07",61
"2016-08-14",58
"2016-08-21",59
"2016-08-28",61
"2016-09-04",59
"2016-09-11",63
"2016-09-18",65
"2016-09-25",64
"2016-10-02",68
"2016-10-09",69
"2016-10-16",66
"2016-10-23",63
"2016-10-30",64
"2016-11-06",80
"2016-11-13",60
"2016-11-20",56
"2016-11-27",59
"2016-12-04",55
"2016-12-11",56
"2016-12-18",58
"2016-12-25",55
"2017-01-01",68
"2017-01-08",68
"2017-01-15",75
"2017-01-22",76
"2017-01-29",74
"2017-02-05",76
"2017-02-12",68
"2017-02-19",64
"2017-02-26",65
"2017-03-05",62
"2017-03-12",60
"2017-03-19",62
"2017-03-26",61
"2017-04-02",62
"2017-04-09",58
"2017-04-16",58
"2017-04-23",60
"2017-04-30",58
"2017-05-07",63
"2017-05-14",65
"2017-05-21",62
"2017-05-28",65
"2017-06-04",67
"2017-06-11",61
"2017-06-18",60
"2017-06-25",64
"2017-07-02",72
"2017-07-09",60
"2017-07-16",64
"2017-07-23",65
"2017-07-30",62
"2017-08-06",61
"2017-08-13",68
"2017-08-20",58
"2017-08-27",60
"2017-09-03",57
"2017-09-10",71
"2017-09-17",59
"2017-09-24",67
"2017-10-01",60
"2017-10-08",65
"2017-10-15",56
"2017-10-22",59
"2017-10-29",62
"2017-11-05",59
"2017-11-12",56
"2017-11-19",55
"2017-11-26",62
"2017-12-03",63
"2017-12-10",64
"2017-12-17",59
"2017-12-24",57
"2017-12-31",64
"2018-01-07",70
"2018-01-14",93
"2018-01-21",62
"2018-01-28",63
"2018-02-04",66
"2018-02-11",58
"2018-02-18",60
"2018-02-25",61
"2018-03-04",56
"2018-03-11",55
"2018-03-18",58
"2018-03-25",58
"2018-04-01",58
"2018-04-08",63
"2018-04-15",59
"2018-04-22",65
"2018-04-29",60
"2018-05-06",59
"2018-05-13",53
"2018-05-20",55
"2018-05-27",70
"2018-06-03",59
"2018-06-10",59
"2018-06-17",66
"2018-06-24",62
"2018-07-01",56
"2018-07-08",59
"2018-07-15",56
"2018-07-22",64
"2018-07-29",62
"2018-08-05",60
"2018-08-12",58
"2018-08-19",58
"2018-08-26",56
"2018-09-02",62
"2018-09-09",64
"2018-09-16",57
"2018-09-23",63
"2018-09-30",56
"2018-10-07",64
"2018-10-14",56
"2018-10-21",54
"2018-10-28",56
"2018-11-04",57
"2018-11-11",55
"2018-11-18",52
