"date","idaho"
"2013-12-01",84
"2013-12-08",75
"2013-12-15",79
"2013-12-22",80
"2013-12-29",83
"2014-01-05",74
"2014-01-12",68
"2014-01-19",80
"2014-01-26",76
"2014-02-02",79
"2014-02-09",70
"2014-02-16",66
"2014-02-23",65
"2014-03-02",73
"2014-03-09",81
"2014-03-16",73
"2014-03-23",82
"2014-03-30",73
"2014-04-06",70
"2014-04-13",72
"2014-04-20",69
"2014-04-27",77
"2014-05-04",68
"2014-05-11",69
"2014-05-18",75
"2014-05-25",62
"2014-06-01",74
"2014-06-08",84
"2014-06-15",67
"2014-06-22",84
"2014-06-29",73
"2014-07-06",70
"2014-07-13",70
"2014-07-20",74
"2014-07-27",73
"2014-08-03",81
"2014-08-10",75
"2014-08-17",73
"2014-08-24",83
"2014-08-31",80
"2014-09-07",68
"2014-09-14",79
"2014-09-21",72
"2014-09-28",65
"2014-10-05",75
"2014-10-12",72
"2014-10-19",69
"2014-10-26",71
"2014-11-02",78
"2014-11-09",63
"2014-11-16",61
"2014-11-23",71
"2014-11-30",61
"2014-12-07",64
"2014-12-14",61
"2014-12-21",76
"2014-12-28",82
"2015-01-04",75
"2015-01-11",72
"2015-01-18",76
"2015-01-25",65
"2015-02-01",65
"2015-02-08",69
"2015-02-15",70
"2015-02-22",61
"2015-03-01",76
"2015-03-08",77
"2015-03-15",77
"2015-03-22",57
"2015-03-29",71
"2015-04-05",65
"2015-04-12",64
"2015-04-19",75
"2015-04-26",58
"2015-05-03",79
"2015-05-10",57
"2015-05-17",64
"2015-05-24",68
"2015-05-31",62
"2015-06-07",76
"2015-06-14",62
"2015-06-21",78
"2015-06-28",73
"2015-07-05",76
"2015-07-12",71
"2015-07-19",81
"2015-07-26",74
"2015-08-02",69
"2015-08-09",76
"2015-08-16",72
"2015-08-23",78
"2015-08-30",68
"2015-09-06",66
"2015-09-13",61
"2015-09-20",70
"2015-09-27",61
"2015-10-04",66
"2015-10-11",79
"2015-10-18",59
"2015-10-25",62
"2015-11-01",63
"2015-11-08",60
"2015-11-15",59
"2015-11-22",65
"2015-11-29",56
"2015-12-06",65
"2015-12-13",76
"2015-12-20",79
"2015-12-27",60
"2016-01-03",54
"2016-01-10",61
"2016-01-17",61
"2016-01-24",66
"2016-01-31",65
"2016-02-07",65
"2016-02-14",57
"2016-02-21",70
"2016-02-28",69
"2016-03-06",71
"2016-03-13",64
"2016-03-20",72
"2016-03-27",65
"2016-04-03",66
"2016-04-10",56
"2016-04-17",62
"2016-04-24",65
"2016-05-01",47
"2016-05-08",56
"2016-05-15",52
"2016-05-22",49
"2016-05-29",57
"2016-06-05",58
"2016-06-12",66
"2016-06-19",62
"2016-06-26",54
"2016-07-03",67
"2016-07-10",66
"2016-07-17",86
"2016-07-24",76
"2016-07-31",69
"2016-08-07",62
"2016-08-14",60
"2016-08-21",67
"2016-08-28",66
"2016-09-04",55
"2016-09-11",67
"2016-09-18",65
"2016-09-25",67
"2016-10-02",74
"2016-10-09",72
"2016-10-16",80
"2016-10-23",63
"2016-10-30",61
"2016-11-06",100
"2016-11-13",66
"2016-11-20",53
"2016-11-27",56
"2016-12-04",61
"2016-12-11",59
"2016-12-18",52
"2016-12-25",61
"2017-01-01",59
"2017-01-08",72
"2017-01-15",77
"2017-01-22",69
"2017-01-29",77
"2017-02-05",70
"2017-02-12",73
"2017-02-19",68
"2017-02-26",60
"2017-03-05",59
"2017-03-12",65
"2017-03-19",56
"2017-03-26",67
"2017-04-02",65
"2017-04-09",61
"2017-04-16",55
"2017-04-23",61
"2017-04-30",57
"2017-05-07",62
"2017-05-14",56
"2017-05-21",63
"2017-05-28",65
"2017-06-04",65
"2017-06-11",62
"2017-06-18",50
"2017-06-25",57
"2017-07-02",61
"2017-07-09",58
"2017-07-16",62
"2017-07-23",64
"2017-07-30",59
"2017-08-06",64
"2017-08-13",54
"2017-08-20",58
"2017-08-27",67
"2017-09-03",53
"2017-09-10",61
"2017-09-17",58
"2017-09-24",63
"2017-10-01",59
"2017-10-08",62
"2017-10-15",64
"2017-10-22",46
"2017-10-29",62
"2017-11-05",66
"2017-11-12",56
"2017-11-19",54
"2017-11-26",65
"2017-12-03",57
"2017-12-10",61
"2017-12-17",56
"2017-12-24",56
"2017-12-31",65
"2018-01-07",65
"2018-01-14",66
"2018-01-21",59
"2018-01-28",54
"2018-02-04",68
"2018-02-11",61
"2018-02-18",61
"2018-02-25",52
"2018-03-04",58
"2018-03-11",59
"2018-03-18",61
"2018-03-25",62
"2018-04-01",59
"2018-04-08",59
"2018-04-15",60
"2018-04-22",63
"2018-04-29",61
"2018-05-06",61
"2018-05-13",57
"2018-05-20",56
"2018-05-27",70
"2018-06-03",56
"2018-06-10",67
"2018-06-17",67
"2018-06-24",63
"2018-07-01",64
"2018-07-08",63
"2018-07-15",67
"2018-07-22",61
"2018-07-29",62
"2018-08-05",60
"2018-08-12",57
"2018-08-19",56
"2018-08-26",64
"2018-09-02",76
"2018-09-09",72
"2018-09-16",58
"2018-09-23",57
"2018-09-30",64
"2018-10-07",65
"2018-10-14",56
"2018-10-21",61
"2018-10-28",57
"2018-11-04",59
"2018-11-11",53
"2018-11-18",56
