"date","illinois"
"2013-12-01",93
"2013-12-08",88
"2013-12-15",89
"2013-12-22",94
"2013-12-29",96
"2014-01-05",95
"2014-01-12",90
"2014-01-19",94
"2014-01-26",100
"2014-02-02",97
"2014-02-09",88
"2014-02-16",91
"2014-02-23",88
"2014-03-02",97
"2014-03-09",91
"2014-03-16",87
"2014-03-23",90
"2014-03-30",90
"2014-04-06",88
"2014-04-13",93
"2014-04-20",91
"2014-04-27",89
"2014-05-04",90
"2014-05-11",94
"2014-05-18",96
"2014-05-25",89
"2014-06-01",89
"2014-06-08",87
"2014-06-15",86
"2014-06-22",84
"2014-06-29",89
"2014-07-06",92
"2014-07-13",89
"2014-07-20",84
"2014-07-27",86
"2014-08-03",86
"2014-08-10",96
"2014-08-17",89
"2014-08-24",87
"2014-08-31",88
"2014-09-07",85
"2014-09-14",83
"2014-09-21",85
"2014-09-28",76
"2014-10-05",76
"2014-10-12",77
"2014-10-19",77
"2014-10-26",81
"2014-11-02",79
"2014-11-09",78
"2014-11-16",77
"2014-11-23",74
"2014-11-30",73
"2014-12-07",76
"2014-12-14",71
"2014-12-21",76
"2014-12-28",81
"2015-01-04",83
"2015-01-11",75
"2015-01-18",72
"2015-01-25",70
"2015-02-01",82
"2015-02-08",72
"2015-02-15",77
"2015-02-22",75
"2015-03-01",72
"2015-03-08",75
"2015-03-15",75
"2015-03-22",74
"2015-03-29",71
"2015-04-05",75
"2015-04-12",71
"2015-04-19",70
"2015-04-26",69
"2015-05-03",71
"2015-05-10",68
"2015-05-17",70
"2015-05-24",67
"2015-05-31",68
"2015-06-07",69
"2015-06-14",69
"2015-06-21",72
"2015-06-28",67
"2015-07-05",69
"2015-07-12",75
"2015-07-19",78
"2015-07-26",72
"2015-08-02",73
"2015-08-09",67
"2015-08-16",66
"2015-08-23",72
"2015-08-30",70
"2015-09-06",63
"2015-09-13",65
"2015-09-20",64
"2015-09-27",69
"2015-10-04",67
"2015-10-11",66
"2015-10-18",65
"2015-10-25",63
"2015-11-01",67
"2015-11-08",69
"2015-11-15",67
"2015-11-22",59
"2015-11-29",64
"2015-12-06",64
"2015-12-13",61
"2015-12-20",62
"2015-12-27",65
"2016-01-03",67
"2016-01-10",71
"2016-01-17",70
"2016-01-24",75
"2016-01-31",70
"2016-02-07",71
"2016-02-14",75
"2016-02-21",72
"2016-02-28",70
"2016-03-06",77
"2016-03-13",70
"2016-03-20",74
"2016-03-27",68
"2016-04-03",69
"2016-04-10",66
"2016-04-17",67
"2016-04-24",71
"2016-05-01",69
"2016-05-08",67
"2016-05-15",66
"2016-05-22",67
"2016-05-29",69
"2016-06-05",70
"2016-06-12",73
"2016-06-19",72
"2016-06-26",67
"2016-07-03",73
"2016-07-10",69
"2016-07-17",81
"2016-07-24",85
"2016-07-31",75
"2016-08-07",69
"2016-08-14",66
"2016-08-21",65
"2016-08-28",69
"2016-09-04",64
"2016-09-11",67
"2016-09-18",69
"2016-09-25",75
"2016-10-02",78
"2016-10-09",79
"2016-10-16",79
"2016-10-23",71
"2016-10-30",74
"2016-11-06",93
"2016-11-13",66
"2016-11-20",63
"2016-11-27",66
"2016-12-04",64
"2016-12-11",63
"2016-12-18",65
"2016-12-25",63
"2017-01-01",74
"2017-01-08",77
"2017-01-15",81
"2017-01-22",88
"2017-01-29",83
"2017-02-05",83
"2017-02-12",82
"2017-02-19",71
"2017-02-26",80
"2017-03-05",75
"2017-03-12",71
"2017-03-19",75
"2017-03-26",69
"2017-04-02",70
"2017-04-09",68
"2017-04-16",65
"2017-04-23",69
"2017-04-30",68
"2017-05-07",72
"2017-05-14",73
"2017-05-21",67
"2017-05-28",70
"2017-06-04",75
"2017-06-11",71
"2017-06-18",68
"2017-06-25",71
"2017-07-02",76
"2017-07-09",68
"2017-07-16",71
"2017-07-23",77
"2017-07-30",71
"2017-08-06",69
"2017-08-13",83
"2017-08-20",70
"2017-08-27",70
"2017-09-03",63
"2017-09-10",65
"2017-09-17",69
"2017-09-24",78
"2017-10-01",68
"2017-10-08",72
"2017-10-15",66
"2017-10-22",67
"2017-10-29",72
"2017-11-05",68
"2017-11-12",66
"2017-11-19",62
"2017-11-26",67
"2017-12-03",63
"2017-12-10",67
"2017-12-17",61
"2017-12-24",62
"2017-12-31",75
"2018-01-07",72
"2018-01-14",71
"2018-01-21",68
"2018-01-28",71
"2018-02-04",72
"2018-02-11",66
"2018-02-18",68
"2018-02-25",66
"2018-03-04",66
"2018-03-11",70
"2018-03-18",67
"2018-03-25",68
"2018-04-01",68
"2018-04-08",76
"2018-04-15",67
"2018-04-22",76
"2018-04-29",71
"2018-05-06",63
"2018-05-13",63
"2018-05-20",65
"2018-05-27",83
"2018-06-03",68
"2018-06-10",68
"2018-06-17",72
"2018-06-24",72
"2018-07-01",67
"2018-07-08",67
"2018-07-15",73
"2018-07-22",69
"2018-07-29",68
"2018-08-05",67
"2018-08-12",66
"2018-08-19",73
"2018-08-26",67
"2018-09-02",74
"2018-09-09",70
"2018-09-16",67
"2018-09-23",72
"2018-09-30",67
"2018-10-07",60
"2018-10-14",62
"2018-10-21",64
"2018-10-28",65
"2018-11-04",66
"2018-11-11",64
"2018-11-18",60
