"date","indiana"
"2013-12-01",91
"2013-12-08",90
"2013-12-15",93
"2013-12-22",94
"2013-12-29",95
"2014-01-05",100
"2014-01-12",90
"2014-01-19",97
"2014-01-26",97
"2014-02-02",100
"2014-02-09",93
"2014-02-16",93
"2014-02-23",91
"2014-03-02",96
"2014-03-09",86
"2014-03-16",94
"2014-03-23",93
"2014-03-30",87
"2014-04-06",92
"2014-04-13",88
"2014-04-20",94
"2014-04-27",92
"2014-05-04",92
"2014-05-11",85
"2014-05-18",88
"2014-05-25",90
"2014-06-01",88
"2014-06-08",90
"2014-06-15",84
"2014-06-22",88
"2014-06-29",91
"2014-07-06",88
"2014-07-13",87
"2014-07-20",90
"2014-07-27",91
"2014-08-03",94
"2014-08-10",98
"2014-08-17",86
"2014-08-24",91
"2014-08-31",89
"2014-09-07",87
"2014-09-14",85
"2014-09-21",81
"2014-09-28",83
"2014-10-05",76
"2014-10-12",78
"2014-10-19",79
"2014-10-26",84
"2014-11-02",75
"2014-11-09",77
"2014-11-16",77
"2014-11-23",79
"2014-11-30",71
"2014-12-07",74
"2014-12-14",73
"2014-12-21",79
"2014-12-28",86
"2015-01-04",80
"2015-01-11",87
"2015-01-18",75
"2015-01-25",75
"2015-02-01",74
"2015-02-08",70
"2015-02-15",80
"2015-02-22",84
"2015-03-01",78
"2015-03-08",77
"2015-03-15",77
"2015-03-22",80
"2015-03-29",77
"2015-04-05",76
"2015-04-12",72
"2015-04-19",71
"2015-04-26",74
"2015-05-03",74
"2015-05-10",70
"2015-05-17",69
"2015-05-24",69
"2015-05-31",71
"2015-06-07",71
"2015-06-14",72
"2015-06-21",75
"2015-06-28",76
"2015-07-05",74
"2015-07-12",76
"2015-07-19",81
"2015-07-26",75
"2015-08-02",78
"2015-08-09",73
"2015-08-16",68
"2015-08-23",73
"2015-08-30",71
"2015-09-06",66
"2015-09-13",67
"2015-09-20",70
"2015-09-27",66
"2015-10-04",67
"2015-10-11",64
"2015-10-18",67
"2015-10-25",63
"2015-11-01",68
"2015-11-08",67
"2015-11-15",68
"2015-11-22",61
"2015-11-29",55
"2015-12-06",64
"2015-12-13",62
"2015-12-20",61
"2015-12-27",65
"2016-01-03",65
"2016-01-10",70
"2016-01-17",63
"2016-01-24",65
"2016-01-31",63
"2016-02-07",61
"2016-02-14",66
"2016-02-21",65
"2016-02-28",65
"2016-03-06",68
"2016-03-13",64
"2016-03-20",68
"2016-03-27",66
"2016-04-03",61
"2016-04-10",63
"2016-04-17",59
"2016-04-24",65
"2016-05-01",65
"2016-05-08",60
"2016-05-15",62
"2016-05-22",63
"2016-05-29",62
"2016-06-05",70
"2016-06-12",71
"2016-06-19",66
"2016-06-26",60
"2016-07-03",68
"2016-07-10",64
"2016-07-17",69
"2016-07-24",73
"2016-07-31",67
"2016-08-07",70
"2016-08-14",62
"2016-08-21",63
"2016-08-28",63
"2016-09-04",60
"2016-09-11",60
"2016-09-18",60
"2016-09-25",62
"2016-10-02",67
"2016-10-09",70
"2016-10-16",71
"2016-10-23",63
"2016-10-30",63
"2016-11-06",81
"2016-11-13",60
"2016-11-20",59
"2016-11-27",58
"2016-12-04",60
"2016-12-11",57
"2016-12-18",55
"2016-12-25",58
"2017-01-01",65
"2017-01-08",68
"2017-01-15",73
"2017-01-22",69
"2017-01-29",71
"2017-02-05",68
"2017-02-12",65
"2017-02-19",64
"2017-02-26",69
"2017-03-05",63
"2017-03-12",64
"2017-03-19",67
"2017-03-26",60
"2017-04-02",61
"2017-04-09",58
"2017-04-16",62
"2017-04-23",62
"2017-04-30",62
"2017-05-07",58
"2017-05-14",63
"2017-05-21",61
"2017-05-28",60
"2017-06-04",64
"2017-06-11",61
"2017-06-18",59
"2017-06-25",68
"2017-07-02",67
"2017-07-09",61
"2017-07-16",64
"2017-07-23",63
"2017-07-30",58
"2017-08-06",59
"2017-08-13",63
"2017-08-20",56
"2017-08-27",58
"2017-09-03",58
"2017-09-10",59
"2017-09-17",58
"2017-09-24",66
"2017-10-01",57
"2017-10-08",60
"2017-10-15",53
"2017-10-22",57
"2017-10-29",64
"2017-11-05",58
"2017-11-12",55
"2017-11-19",56
"2017-11-26",58
"2017-12-03",58
"2017-12-10",60
"2017-12-17",55
"2017-12-24",49
"2017-12-31",62
"2018-01-07",65
"2018-01-14",64
"2018-01-21",61
"2018-01-28",61
"2018-02-04",62
"2018-02-11",57
"2018-02-18",58
"2018-02-25",61
"2018-03-04",53
"2018-03-11",55
"2018-03-18",59
"2018-03-25",55
"2018-04-01",58
"2018-04-08",61
"2018-04-15",61
"2018-04-22",65
"2018-04-29",59
"2018-05-06",53
"2018-05-13",56
"2018-05-20",60
"2018-05-27",71
"2018-06-03",57
"2018-06-10",58
"2018-06-17",59
"2018-06-24",59
"2018-07-01",54
"2018-07-08",59
"2018-07-15",58
"2018-07-22",55
"2018-07-29",55
"2018-08-05",57
"2018-08-12",54
"2018-08-19",60
"2018-08-26",58
"2018-09-02",60
"2018-09-09",58
"2018-09-16",54
"2018-09-23",62
"2018-09-30",56
"2018-10-07",57
"2018-10-14",55
"2018-10-21",55
"2018-10-28",56
"2018-11-04",55
"2018-11-11",53
"2018-11-18",49
