"date","iowa"
"2013-12-01",88
"2013-12-08",79
"2013-12-15",82
"2013-12-22",85
"2013-12-29",89
"2014-01-05",84
"2014-01-12",89
"2014-01-19",90
"2014-01-26",87
"2014-02-02",91
"2014-02-09",86
"2014-02-16",83
"2014-02-23",89
"2014-03-02",90
"2014-03-09",85
"2014-03-16",89
"2014-03-23",89
"2014-03-30",92
"2014-04-06",95
"2014-04-13",97
"2014-04-20",100
"2014-04-27",90
"2014-05-04",91
"2014-05-11",89
"2014-05-18",91
"2014-05-25",89
"2014-06-01",86
"2014-06-08",88
"2014-06-15",93
"2014-06-22",91
"2014-06-29",88
"2014-07-06",81
"2014-07-13",85
"2014-07-20",81
"2014-07-27",76
"2014-08-03",94
"2014-08-10",91
"2014-08-17",94
"2014-08-24",93
"2014-08-31",93
"2014-09-07",86
"2014-09-14",90
"2014-09-21",86
"2014-09-28",79
"2014-10-05",83
"2014-10-12",83
"2014-10-19",91
"2014-10-26",93
"2014-11-02",86
"2014-11-09",85
"2014-11-16",76
"2014-11-23",75
"2014-11-30",81
"2014-12-07",81
"2014-12-14",71
"2014-12-21",89
"2014-12-28",82
"2015-01-04",81
"2015-01-11",74
"2015-01-18",79
"2015-01-25",77
"2015-02-01",84
"2015-02-08",76
"2015-02-15",76
"2015-02-22",83
"2015-03-01",79
"2015-03-08",76
"2015-03-15",72
"2015-03-22",72
"2015-03-29",74
"2015-04-05",83
"2015-04-12",75
"2015-04-19",72
"2015-04-26",70
"2015-05-03",70
"2015-05-10",70
"2015-05-17",72
"2015-05-24",74
"2015-05-31",73
"2015-06-07",69
"2015-06-14",72
"2015-06-21",70
"2015-06-28",74
"2015-07-05",72
"2015-07-12",78
"2015-07-19",84
"2015-07-26",71
"2015-08-02",75
"2015-08-09",78
"2015-08-16",69
"2015-08-23",85
"2015-08-30",79
"2015-09-06",71
"2015-09-13",74
"2015-09-20",72
"2015-09-27",71
"2015-10-04",71
"2015-10-11",73
"2015-10-18",67
"2015-10-25",71
"2015-11-01",71
"2015-11-08",75
"2015-11-15",72
"2015-11-22",64
"2015-11-29",67
"2015-12-06",69
"2015-12-13",66
"2015-12-20",70
"2015-12-27",65
"2016-01-03",62
"2016-01-10",65
"2016-01-17",61
"2016-01-24",70
"2016-01-31",70
"2016-02-07",67
"2016-02-14",67
"2016-02-21",72
"2016-02-28",65
"2016-03-06",69
"2016-03-13",63
"2016-03-20",70
"2016-03-27",59
"2016-04-03",64
"2016-04-10",59
"2016-04-17",63
"2016-04-24",60
"2016-05-01",64
"2016-05-08",61
"2016-05-15",69
"2016-05-22",63
"2016-05-29",60
"2016-06-05",60
"2016-06-12",68
"2016-06-19",67
"2016-06-26",64
"2016-07-03",65
"2016-07-10",59
"2016-07-17",72
"2016-07-24",68
"2016-07-31",60
"2016-08-07",60
"2016-08-14",55
"2016-08-21",67
"2016-08-28",65
"2016-09-04",58
"2016-09-11",64
"2016-09-18",65
"2016-09-25",71
"2016-10-02",79
"2016-10-09",72
"2016-10-16",74
"2016-10-23",63
"2016-10-30",63
"2016-11-06",82
"2016-11-13",62
"2016-11-20",56
"2016-11-27",53
"2016-12-04",60
"2016-12-11",56
"2016-12-18",57
"2016-12-25",53
"2017-01-01",61
"2017-01-08",70
"2017-01-15",74
"2017-01-22",72
"2017-01-29",73
"2017-02-05",77
"2017-02-12",73
"2017-02-19",66
"2017-02-26",72
"2017-03-05",73
"2017-03-12",66
"2017-03-19",63
"2017-03-26",60
"2017-04-02",60
"2017-04-09",58
"2017-04-16",56
"2017-04-23",61
"2017-04-30",56
"2017-05-07",60
"2017-05-14",61
"2017-05-21",63
"2017-05-28",70
"2017-06-04",66
"2017-06-11",65
"2017-06-18",62
"2017-06-25",71
"2017-07-02",65
"2017-07-09",63
"2017-07-16",63
"2017-07-23",66
"2017-07-30",58
"2017-08-06",58
"2017-08-13",74
"2017-08-20",62
"2017-08-27",62
"2017-09-03",55
"2017-09-10",59
"2017-09-17",58
"2017-09-24",63
"2017-10-01",60
"2017-10-08",58
"2017-10-15",54
"2017-10-22",52
"2017-10-29",61
"2017-11-05",56
"2017-11-12",55
"2017-11-19",52
"2017-11-26",58
"2017-12-03",60
"2017-12-10",62
"2017-12-17",58
"2017-12-24",53
"2017-12-31",58
"2018-01-07",59
"2018-01-14",60
"2018-01-21",60
"2018-01-28",54
"2018-02-04",60
"2018-02-11",56
"2018-02-18",63
"2018-02-25",58
"2018-03-04",55
"2018-03-11",56
"2018-03-18",59
"2018-03-25",58
"2018-04-01",61
"2018-04-08",61
"2018-04-15",59
"2018-04-22",61
"2018-04-29",52
"2018-05-06",52
"2018-05-13",54
"2018-05-20",51
"2018-05-27",69
"2018-06-03",54
"2018-06-10",57
"2018-06-17",59
"2018-06-24",57
"2018-07-01",54
"2018-07-08",59
"2018-07-15",62
"2018-07-22",58
"2018-07-29",58
"2018-08-05",61
"2018-08-12",60
"2018-08-19",74
"2018-08-26",64
"2018-09-02",66
"2018-09-09",62
"2018-09-16",60
"2018-09-23",64
"2018-09-30",59
"2018-10-07",52
"2018-10-14",59
"2018-10-21",55
"2018-10-28",54
"2018-11-04",61
"2018-11-11",54
"2018-11-18",47
