"date","kansas"
"2013-12-01",95
"2013-12-08",77
"2013-12-15",69
"2013-12-22",74
"2013-12-29",69
"2014-01-05",75
"2014-01-12",83
"2014-01-19",84
"2014-01-26",73
"2014-02-02",78
"2014-02-09",72
"2014-02-16",77
"2014-02-23",89
"2014-03-02",100
"2014-03-09",83
"2014-03-16",70
"2014-03-23",80
"2014-03-30",94
"2014-04-06",83
"2014-04-13",84
"2014-04-20",80
"2014-04-27",80
"2014-05-04",65
"2014-05-11",73
"2014-05-18",77
"2014-05-25",83
"2014-06-01",89
"2014-06-08",80
"2014-06-15",80
"2014-06-22",75
"2014-06-29",75
"2014-07-06",84
"2014-07-13",72
"2014-07-20",75
"2014-07-27",83
"2014-08-03",82
"2014-08-10",85
"2014-08-17",86
"2014-08-24",90
"2014-08-31",83
"2014-09-07",85
"2014-09-14",82
"2014-09-21",86
"2014-09-28",87
"2014-10-05",90
"2014-10-12",86
"2014-10-19",91
"2014-10-26",84
"2014-11-02",83
"2014-11-09",77
"2014-11-16",80
"2014-11-23",85
"2014-11-30",75
"2014-12-07",71
"2014-12-14",72
"2014-12-21",80
"2014-12-28",82
"2015-01-04",79
"2015-01-11",79
"2015-01-18",77
"2015-01-25",76
"2015-02-01",74
"2015-02-08",78
"2015-02-15",84
"2015-02-22",81
"2015-03-01",78
"2015-03-08",77
"2015-03-15",81
"2015-03-22",82
"2015-03-29",78
"2015-04-05",75
"2015-04-12",74
"2015-04-19",81
"2015-04-26",81
"2015-05-03",75
"2015-05-10",83
"2015-05-17",72
"2015-05-24",75
"2015-05-31",73
"2015-06-07",71
"2015-06-14",70
"2015-06-21",80
"2015-06-28",67
"2015-07-05",78
"2015-07-12",74
"2015-07-19",77
"2015-07-26",79
"2015-08-02",77
"2015-08-09",76
"2015-08-16",77
"2015-08-23",75
"2015-08-30",77
"2015-09-06",77
"2015-09-13",81
"2015-09-20",69
"2015-09-27",68
"2015-10-04",70
"2015-10-11",77
"2015-10-18",83
"2015-10-25",71
"2015-11-01",76
"2015-11-08",70
"2015-11-15",75
"2015-11-22",79
"2015-11-29",82
"2015-12-06",86
"2015-12-13",95
"2015-12-20",93
"2015-12-27",85
"2016-01-03",63
"2016-01-10",62
"2016-01-17",61
"2016-01-24",64
"2016-01-31",69
"2016-02-07",62
"2016-02-14",67
"2016-02-21",61
"2016-02-28",63
"2016-03-06",68
"2016-03-13",56
"2016-03-20",58
"2016-03-27",58
"2016-04-03",64
"2016-04-10",65
"2016-04-17",60
"2016-04-24",59
"2016-05-01",55
"2016-05-08",57
"2016-05-15",57
"2016-05-22",64
"2016-05-29",56
"2016-06-05",69
"2016-06-12",69
"2016-06-19",69
"2016-06-26",53
"2016-07-03",67
"2016-07-10",57
"2016-07-17",78
"2016-07-24",73
"2016-07-31",68
"2016-08-07",63
"2016-08-14",53
"2016-08-21",53
"2016-08-28",59
"2016-09-04",60
"2016-09-11",57
"2016-09-18",61
"2016-09-25",59
"2016-10-02",64
"2016-10-09",65
"2016-10-16",64
"2016-10-23",59
"2016-10-30",63
"2016-11-06",86
"2016-11-13",60
"2016-11-20",56
"2016-11-27",55
"2016-12-04",62
"2016-12-11",54
"2016-12-18",58
"2016-12-25",55
"2017-01-01",59
"2017-01-08",65
"2017-01-15",67
"2017-01-22",72
"2017-01-29",71
"2017-02-05",71
"2017-02-12",65
"2017-02-19",60
"2017-02-26",61
"2017-03-05",59
"2017-03-12",59
"2017-03-19",64
"2017-03-26",59
"2017-04-02",61
"2017-04-09",60
"2017-04-16",62
"2017-04-23",54
"2017-04-30",59
"2017-05-07",62
"2017-05-14",59
"2017-05-21",62
"2017-05-28",59
"2017-06-04",52
"2017-06-11",51
"2017-06-18",48
"2017-06-25",58
"2017-07-02",58
"2017-07-09",58
"2017-07-16",68
"2017-07-23",69
"2017-07-30",58
"2017-08-06",60
"2017-08-13",59
"2017-08-20",48
"2017-08-27",51
"2017-09-03",51
"2017-09-10",53
"2017-09-17",52
"2017-09-24",53
"2017-10-01",57
"2017-10-08",52
"2017-10-15",47
"2017-10-22",46
"2017-10-29",57
"2017-11-05",52
"2017-11-12",53
"2017-11-19",53
"2017-11-26",56
"2017-12-03",58
"2017-12-10",63
"2017-12-17",55
"2017-12-24",55
"2017-12-31",61
"2018-01-07",66
"2018-01-14",65
"2018-01-21",61
"2018-01-28",60
"2018-02-04",59
"2018-02-11",57
"2018-02-18",69
"2018-02-25",56
"2018-03-04",62
"2018-03-11",60
"2018-03-18",57
"2018-03-25",62
"2018-04-01",60
"2018-04-08",66
"2018-04-15",63
"2018-04-22",63
"2018-04-29",63
"2018-05-06",56
"2018-05-13",58
"2018-05-20",63
"2018-05-27",76
"2018-06-03",57
"2018-06-10",59
"2018-06-17",61
"2018-06-24",70
"2018-07-01",62
"2018-07-08",58
"2018-07-15",60
"2018-07-22",63
"2018-07-29",62
"2018-08-05",61
"2018-08-12",66
"2018-08-19",60
"2018-08-26",62
"2018-09-02",66
"2018-09-09",64
"2018-09-16",53
"2018-09-23",61
"2018-09-30",62
"2018-10-07",58
"2018-10-14",55
"2018-10-21",59
"2018-10-28",58
"2018-11-04",58
"2018-11-11",60
"2018-11-18",51
