"date","kentucky"
"2013-12-01",85
"2013-12-08",81
"2013-12-15",85
"2013-12-22",82
"2013-12-29",86
"2014-01-05",91
"2014-01-12",90
"2014-01-19",90
"2014-01-26",90
"2014-02-02",100
"2014-02-09",90
"2014-02-16",86
"2014-02-23",84
"2014-03-02",96
"2014-03-09",94
"2014-03-16",91
"2014-03-23",85
"2014-03-30",89
"2014-04-06",88
"2014-04-13",90
"2014-04-20",83
"2014-04-27",72
"2014-05-04",72
"2014-05-11",77
"2014-05-18",82
"2014-05-25",79
"2014-06-01",79
"2014-06-08",75
"2014-06-15",80
"2014-06-22",75
"2014-06-29",79
"2014-07-06",80
"2014-07-13",77
"2014-07-20",82
"2014-07-27",82
"2014-08-03",78
"2014-08-10",87
"2014-08-17",74
"2014-08-24",76
"2014-08-31",76
"2014-09-07",71
"2014-09-14",74
"2014-09-21",73
"2014-09-28",74
"2014-10-05",72
"2014-10-12",71
"2014-10-19",64
"2014-10-26",66
"2014-11-02",71
"2014-11-09",70
"2014-11-16",75
"2014-11-23",68
"2014-11-30",69
"2014-12-07",68
"2014-12-14",66
"2014-12-21",70
"2014-12-28",79
"2015-01-04",73
"2015-01-11",72
"2015-01-18",66
"2015-01-25",69
"2015-02-01",74
"2015-02-08",62
"2015-02-15",83
"2015-02-22",76
"2015-03-01",73
"2015-03-08",70
"2015-03-15",72
"2015-03-22",74
"2015-03-29",69
"2015-04-05",74
"2015-04-12",69
"2015-04-19",65
"2015-04-26",66
"2015-05-03",66
"2015-05-10",68
"2015-05-17",67
"2015-05-24",65
"2015-05-31",62
"2015-06-07",60
"2015-06-14",62
"2015-06-21",63
"2015-06-28",72
"2015-07-05",68
"2015-07-12",71
"2015-07-19",77
"2015-07-26",72
"2015-08-02",74
"2015-08-09",67
"2015-08-16",73
"2015-08-23",70
"2015-08-30",68
"2015-09-06",65
"2015-09-13",73
"2015-09-20",62
"2015-09-27",69
"2015-10-04",74
"2015-10-11",67
"2015-10-18",66
"2015-10-25",69
"2015-11-01",64
"2015-11-08",69
"2015-11-15",65
"2015-11-22",58
"2015-11-29",60
"2015-12-06",59
"2015-12-13",61
"2015-12-20",65
"2015-12-27",62
"2016-01-03",61
"2016-01-10",69
"2016-01-17",69
"2016-01-24",69
"2016-01-31",66
"2016-02-07",70
"2016-02-14",65
"2016-02-21",65
"2016-02-28",62
"2016-03-06",68
"2016-03-13",62
"2016-03-20",65
"2016-03-27",61
"2016-04-03",61
"2016-04-10",58
"2016-04-17",57
"2016-04-24",63
"2016-05-01",62
"2016-05-08",63
"2016-05-15",64
"2016-05-22",63
"2016-05-29",57
"2016-06-05",65
"2016-06-12",64
"2016-06-19",58
"2016-06-26",59
"2016-07-03",59
"2016-07-10",56
"2016-07-17",69
"2016-07-24",67
"2016-07-31",61
"2016-08-07",58
"2016-08-14",56
"2016-08-21",57
"2016-08-28",56
"2016-09-04",57
"2016-09-11",61
"2016-09-18",58
"2016-09-25",66
"2016-10-02",63
"2016-10-09",64
"2016-10-16",67
"2016-10-23",61
"2016-10-30",57
"2016-11-06",81
"2016-11-13",59
"2016-11-20",53
"2016-11-27",55
"2016-12-04",54
"2016-12-11",56
"2016-12-18",57
"2016-12-25",52
"2017-01-01",64
"2017-01-08",61
"2017-01-15",62
"2017-01-22",67
"2017-01-29",65
"2017-02-05",61
"2017-02-12",63
"2017-02-19",59
"2017-02-26",60
"2017-03-05",60
"2017-03-12",63
"2017-03-19",66
"2017-03-26",57
"2017-04-02",58
"2017-04-09",58
"2017-04-16",54
"2017-04-23",54
"2017-04-30",53
"2017-05-07",59
"2017-05-14",62
"2017-05-21",60
"2017-05-28",59
"2017-06-04",63
"2017-06-11",57
"2017-06-18",57
"2017-06-25",61
"2017-07-02",66
"2017-07-09",55
"2017-07-16",56
"2017-07-23",60
"2017-07-30",56
"2017-08-06",57
"2017-08-13",62
"2017-08-20",53
"2017-08-27",54
"2017-09-03",52
"2017-09-10",56
"2017-09-17",52
"2017-09-24",72
"2017-10-01",56
"2017-10-08",59
"2017-10-15",57
"2017-10-22",52
"2017-10-29",63
"2017-11-05",58
"2017-11-12",51
"2017-11-19",51
"2017-11-26",53
"2017-12-03",57
"2017-12-10",57
"2017-12-17",54
"2017-12-24",51
"2017-12-31",58
"2018-01-07",65
"2018-01-14",68
"2018-01-21",57
"2018-01-28",61
"2018-02-04",60
"2018-02-11",54
"2018-02-18",64
"2018-02-25",57
"2018-03-04",49
"2018-03-11",57
"2018-03-18",69
"2018-03-25",58
"2018-04-01",59
"2018-04-08",64
"2018-04-15",55
"2018-04-22",56
"2018-04-29",55
"2018-05-06",50
"2018-05-13",56
"2018-05-20",55
"2018-05-27",68
"2018-06-03",54
"2018-06-10",53
"2018-06-17",57
"2018-06-24",52
"2018-07-01",51
"2018-07-08",59
"2018-07-15",54
"2018-07-22",55
"2018-07-29",54
"2018-08-05",55
"2018-08-12",58
"2018-08-19",55
"2018-08-26",57
"2018-09-02",60
"2018-09-09",56
"2018-09-16",57
"2018-09-23",58
"2018-09-30",56
"2018-10-07",52
"2018-10-14",54
"2018-10-21",56
"2018-10-28",54
"2018-11-04",55
"2018-11-11",56
"2018-11-18",49
