"date","louisiana"
"2013-12-01",97
"2013-12-08",95
"2013-12-15",90
"2013-12-22",100
"2013-12-29",100
"2014-01-05",99
"2014-01-12",93
"2014-01-19",94
"2014-01-26",95
"2014-02-02",99
"2014-02-09",89
"2014-02-16",90
"2014-02-23",83
"2014-03-02",94
"2014-03-09",89
"2014-03-16",81
"2014-03-23",90
"2014-03-30",79
"2014-04-06",86
"2014-04-13",95
"2014-04-20",84
"2014-04-27",79
"2014-05-04",86
"2014-05-11",94
"2014-05-18",93
"2014-05-25",90
"2014-06-01",94
"2014-06-08",89
"2014-06-15",86
"2014-06-22",87
"2014-06-29",94
"2014-07-06",87
"2014-07-13",85
"2014-07-20",83
"2014-07-27",83
"2014-08-03",93
"2014-08-10",97
"2014-08-17",86
"2014-08-24",89
"2014-08-31",91
"2014-09-07",81
"2014-09-14",81
"2014-09-21",82
"2014-09-28",79
"2014-10-05",74
"2014-10-12",74
"2014-10-19",76
"2014-10-26",78
"2014-11-02",75
"2014-11-09",81
"2014-11-16",79
"2014-11-23",80
"2014-11-30",77
"2014-12-07",73
"2014-12-14",75
"2014-12-21",72
"2014-12-28",84
"2015-01-04",76
"2015-01-11",78
"2015-01-18",78
"2015-01-25",69
"2015-02-01",77
"2015-02-08",74
"2015-02-15",79
"2015-02-22",77
"2015-03-01",73
"2015-03-08",72
"2015-03-15",76
"2015-03-22",70
"2015-03-29",70
"2015-04-05",71
"2015-04-12",70
"2015-04-19",75
"2015-04-26",72
"2015-05-03",86
"2015-05-10",70
"2015-05-17",72
"2015-05-24",74
"2015-05-31",75
"2015-06-07",76
"2015-06-14",75
"2015-06-21",72
"2015-06-28",84
"2015-07-05",78
"2015-07-12",86
"2015-07-19",93
"2015-07-26",90
"2015-08-02",75
"2015-08-09",76
"2015-08-16",75
"2015-08-23",80
"2015-08-30",71
"2015-09-06",76
"2015-09-13",72
"2015-09-20",73
"2015-09-27",71
"2015-10-04",71
"2015-10-11",77
"2015-10-18",67
"2015-10-25",70
"2015-11-01",70
"2015-11-08",70
"2015-11-15",69
"2015-11-22",73
"2015-11-29",66
"2015-12-06",67
"2015-12-13",64
"2015-12-20",67
"2015-12-27",68
"2016-01-03",68
"2016-01-10",68
"2016-01-17",63
"2016-01-24",74
"2016-01-31",70
"2016-02-07",69
"2016-02-14",73
"2016-02-21",71
"2016-02-28",69
"2016-03-06",73
"2016-03-13",69
"2016-03-20",73
"2016-03-27",73
"2016-04-03",69
"2016-04-10",64
"2016-04-17",65
"2016-04-24",74
"2016-05-01",74
"2016-05-08",71
"2016-05-15",69
"2016-05-22",69
"2016-05-29",70
"2016-06-05",82
"2016-06-12",83
"2016-06-19",71
"2016-06-26",71
"2016-07-03",71
"2016-07-10",72
"2016-07-17",83
"2016-07-24",82
"2016-07-31",74
"2016-08-07",73
"2016-08-14",64
"2016-08-21",67
"2016-08-28",68
"2016-09-04",68
"2016-09-11",70
"2016-09-18",62
"2016-09-25",71
"2016-10-02",69
"2016-10-09",65
"2016-10-16",73
"2016-10-23",63
"2016-10-30",66
"2016-11-06",91
"2016-11-13",61
"2016-11-20",69
"2016-11-27",63
"2016-12-04",59
"2016-12-11",60
"2016-12-18",58
"2016-12-25",61
"2017-01-01",71
"2017-01-08",71
"2017-01-15",70
"2017-01-22",75
"2017-01-29",70
"2017-02-05",70
"2017-02-12",76
"2017-02-19",64
"2017-02-26",71
"2017-03-05",69
"2017-03-12",65
"2017-03-19",61
"2017-03-26",64
"2017-04-02",66
"2017-04-09",60
"2017-04-16",68
"2017-04-23",62
"2017-04-30",69
"2017-05-07",69
"2017-05-14",69
"2017-05-21",66
"2017-05-28",68
"2017-06-04",68
"2017-06-11",66
"2017-06-18",66
"2017-06-25",70
"2017-07-02",72
"2017-07-09",61
"2017-07-16",65
"2017-07-23",67
"2017-07-30",59
"2017-08-06",62
"2017-08-13",70
"2017-08-20",60
"2017-08-27",71
"2017-09-03",59
"2017-09-10",61
"2017-09-17",56
"2017-09-24",67
"2017-10-01",67
"2017-10-08",66
"2017-10-15",59
"2017-10-22",57
"2017-10-29",65
"2017-11-05",63
"2017-11-12",55
"2017-11-19",59
"2017-11-26",60
"2017-12-03",59
"2017-12-10",63
"2017-12-17",59
"2017-12-24",60
"2017-12-31",66
"2018-01-07",63
"2018-01-14",71
"2018-01-21",63
"2018-01-28",65
"2018-02-04",64
"2018-02-11",54
"2018-02-18",63
"2018-02-25",57
"2018-03-04",59
"2018-03-11",60
"2018-03-18",58
"2018-03-25",59
"2018-04-01",65
"2018-04-08",66
"2018-04-15",61
"2018-04-22",65
"2018-04-29",59
"2018-05-06",57
"2018-05-13",58
"2018-05-20",63
"2018-05-27",76
"2018-06-03",60
"2018-06-10",55
"2018-06-17",66
"2018-06-24",62
"2018-07-01",61
"2018-07-08",58
"2018-07-15",58
"2018-07-22",53
"2018-07-29",62
"2018-08-05",57
"2018-08-12",56
"2018-08-19",57
"2018-08-26",60
"2018-09-02",63
"2018-09-09",62
"2018-09-16",60
"2018-09-23",60
"2018-09-30",56
"2018-10-07",58
"2018-10-14",56
"2018-10-21",52
"2018-10-28",56
"2018-11-04",57
"2018-11-11",55
"2018-11-18",50
