"date","maine"
"2013-12-01",89
"2013-12-08",89
"2013-12-15",83
"2013-12-22",72
"2013-12-29",77
"2014-01-05",84
"2014-01-12",79
"2014-01-19",84
"2014-01-26",91
"2014-02-02",91
"2014-02-09",90
"2014-02-16",85
"2014-02-23",85
"2014-03-02",84
"2014-03-09",90
"2014-03-16",89
"2014-03-23",88
"2014-03-30",81
"2014-04-06",90
"2014-04-13",81
"2014-04-20",93
"2014-04-27",80
"2014-05-04",87
"2014-05-11",88
"2014-05-18",93
"2014-05-25",93
"2014-06-01",87
"2014-06-08",68
"2014-06-15",82
"2014-06-22",77
"2014-06-29",86
"2014-07-06",77
"2014-07-13",83
"2014-07-20",81
"2014-07-27",85
"2014-08-03",73
"2014-08-10",81
"2014-08-17",72
"2014-08-24",79
"2014-08-31",82
"2014-09-07",68
"2014-09-14",70
"2014-09-21",78
"2014-09-28",78
"2014-10-05",77
"2014-10-12",72
"2014-10-19",67
"2014-10-26",80
"2014-11-02",79
"2014-11-09",70
"2014-11-16",61
"2014-11-23",77
"2014-11-30",60
"2014-12-07",62
"2014-12-14",74
"2014-12-21",85
"2014-12-28",76
"2015-01-04",69
"2015-01-11",65
"2015-01-18",68
"2015-01-25",73
"2015-02-01",80
"2015-02-08",78
"2015-02-15",77
"2015-02-22",81
"2015-03-01",81
"2015-03-08",64
"2015-03-15",76
"2015-03-22",76
"2015-03-29",68
"2015-04-05",62
"2015-04-12",72
"2015-04-19",73
"2015-04-26",73
"2015-05-03",67
"2015-05-10",66
"2015-05-17",66
"2015-05-24",66
"2015-05-31",60
"2015-06-07",68
"2015-06-14",73
"2015-06-21",66
"2015-06-28",66
"2015-07-05",60
"2015-07-12",66
"2015-07-19",73
"2015-07-26",77
"2015-08-02",77
"2015-08-09",69
"2015-08-16",80
"2015-08-23",73
"2015-08-30",74
"2015-09-06",66
"2015-09-13",67
"2015-09-20",55
"2015-09-27",58
"2015-10-04",59
"2015-10-11",69
"2015-10-18",67
"2015-10-25",63
"2015-11-01",63
"2015-11-08",70
"2015-11-15",69
"2015-11-22",67
"2015-11-29",63
"2015-12-06",66
"2015-12-13",62
"2015-12-20",66
"2015-12-27",58
"2016-01-03",61
"2016-01-10",65
"2016-01-17",60
"2016-01-24",63
"2016-01-31",62
"2016-02-07",59
"2016-02-14",69
"2016-02-21",64
"2016-02-28",66
"2016-03-06",63
"2016-03-13",56
"2016-03-20",59
"2016-03-27",64
"2016-04-03",61
"2016-04-10",58
"2016-04-17",58
"2016-04-24",57
"2016-05-01",66
"2016-05-08",55
"2016-05-15",55
"2016-05-22",63
"2016-05-29",59
"2016-06-05",58
"2016-06-12",67
"2016-06-19",65
"2016-06-26",53
"2016-07-03",69
"2016-07-10",61
"2016-07-17",70
"2016-07-24",73
"2016-07-31",74
"2016-08-07",66
"2016-08-14",59
"2016-08-21",57
"2016-08-28",65
"2016-09-04",58
"2016-09-11",60
"2016-09-18",64
"2016-09-25",74
"2016-10-02",71
"2016-10-09",75
"2016-10-16",78
"2016-10-23",65
"2016-10-30",61
"2016-11-06",87
"2016-11-13",62
"2016-11-20",58
"2016-11-27",59
"2016-12-04",61
"2016-12-11",55
"2016-12-18",49
"2016-12-25",63
"2017-01-01",65
"2017-01-08",68
"2017-01-15",82
"2017-01-22",80
"2017-01-29",73
"2017-02-05",100
"2017-02-12",84
"2017-02-19",73
"2017-02-26",71
"2017-03-05",63
"2017-03-12",71
"2017-03-19",75
"2017-03-26",63
"2017-04-02",57
"2017-04-09",57
"2017-04-16",56
"2017-04-23",56
"2017-04-30",57
"2017-05-07",67
"2017-05-14",60
"2017-05-21",57
"2017-05-28",61
"2017-06-04",73
"2017-06-11",68
"2017-06-18",62
"2017-06-25",66
"2017-07-02",70
"2017-07-09",64
"2017-07-16",62
"2017-07-23",63
"2017-07-30",63
"2017-08-06",67
"2017-08-13",77
"2017-08-20",62
"2017-08-27",78
"2017-09-03",56
"2017-09-10",59
"2017-09-17",57
"2017-09-24",68
"2017-10-01",72
"2017-10-08",59
"2017-10-15",66
"2017-10-22",57
"2017-10-29",66
"2017-11-05",61
"2017-11-12",53
"2017-11-19",53
"2017-11-26",58
"2017-12-03",60
"2017-12-10",70
"2017-12-17",56
"2017-12-24",69
"2017-12-31",76
"2018-01-07",60
"2018-01-14",64
"2018-01-21",65
"2018-01-28",73
"2018-02-04",74
"2018-02-11",67
"2018-02-18",69
"2018-02-25",67
"2018-03-04",61
"2018-03-11",78
"2018-03-18",65
"2018-03-25",62
"2018-04-01",62
"2018-04-08",69
"2018-04-15",63
"2018-04-22",67
"2018-04-29",65
"2018-05-06",61
"2018-05-13",53
"2018-05-20",56
"2018-05-27",78
"2018-06-03",60
"2018-06-10",65
"2018-06-17",63
"2018-06-24",67
"2018-07-01",61
"2018-07-08",54
"2018-07-15",64
"2018-07-22",73
"2018-07-29",60
"2018-08-05",56
"2018-08-12",68
"2018-08-19",71
"2018-08-26",72
"2018-09-02",65
"2018-09-09",61
"2018-09-16",66
"2018-09-23",62
"2018-09-30",66
"2018-10-07",57
"2018-10-14",52
"2018-10-21",65
"2018-10-28",62
"2018-11-04",65
"2018-11-11",50
"2018-11-18",57
