"date","maryland"
"2013-12-01",88
"2013-12-08",91
"2013-12-15",86
"2013-12-22",92
"2013-12-29",92
"2014-01-05",89
"2014-01-12",85
"2014-01-19",94
"2014-01-26",96
"2014-02-02",94
"2014-02-09",96
"2014-02-16",87
"2014-02-23",87
"2014-03-02",97
"2014-03-09",89
"2014-03-16",86
"2014-03-23",91
"2014-03-30",87
"2014-04-06",88
"2014-04-13",88
"2014-04-20",92
"2014-04-27",90
"2014-05-04",88
"2014-05-11",95
"2014-05-18",90
"2014-05-25",89
"2014-06-01",83
"2014-06-08",82
"2014-06-15",87
"2014-06-22",85
"2014-06-29",83
"2014-07-06",91
"2014-07-13",82
"2014-07-20",82
"2014-07-27",79
"2014-08-03",82
"2014-08-10",90
"2014-08-17",90
"2014-08-24",83
"2014-08-31",87
"2014-09-07",86
"2014-09-14",83
"2014-09-21",86
"2014-09-28",79
"2014-10-05",75
"2014-10-12",76
"2014-10-19",71
"2014-10-26",73
"2014-11-02",75
"2014-11-09",79
"2014-11-16",75
"2014-11-23",76
"2014-11-30",74
"2014-12-07",75
"2014-12-14",72
"2014-12-21",81
"2014-12-28",85
"2015-01-04",79
"2015-01-11",80
"2015-01-18",82
"2015-01-25",78
"2015-02-01",78
"2015-02-08",75
"2015-02-15",89
"2015-02-22",85
"2015-03-01",89
"2015-03-08",76
"2015-03-15",78
"2015-03-22",75
"2015-03-29",73
"2015-04-05",75
"2015-04-12",73
"2015-04-19",70
"2015-04-26",100
"2015-05-03",76
"2015-05-10",71
"2015-05-17",73
"2015-05-24",72
"2015-05-31",74
"2015-06-07",73
"2015-06-14",76
"2015-06-21",76
"2015-06-28",78
"2015-07-05",77
"2015-07-12",80
"2015-07-19",87
"2015-07-26",80
"2015-08-02",77
"2015-08-09",77
"2015-08-16",79
"2015-08-23",80
"2015-08-30",72
"2015-09-06",75
"2015-09-13",70
"2015-09-20",70
"2015-09-27",74
"2015-10-04",72
"2015-10-11",72
"2015-10-18",71
"2015-10-25",68
"2015-11-01",70
"2015-11-08",66
"2015-11-15",72
"2015-11-22",65
"2015-11-29",65
"2015-12-06",71
"2015-12-13",67
"2015-12-20",68
"2015-12-27",71
"2016-01-03",66
"2016-01-10",65
"2016-01-17",78
"2016-01-24",94
"2016-01-31",74
"2016-02-07",78
"2016-02-14",83
"2016-02-21",69
"2016-02-28",76
"2016-03-06",74
"2016-03-13",68
"2016-03-20",68
"2016-03-27",73
"2016-04-03",70
"2016-04-10",68
"2016-04-17",66
"2016-04-24",68
"2016-05-01",71
"2016-05-08",66
"2016-05-15",68
"2016-05-22",66
"2016-05-29",66
"2016-06-05",71
"2016-06-12",77
"2016-06-19",72
"2016-06-26",69
"2016-07-03",75
"2016-07-10",75
"2016-07-17",79
"2016-07-24",82
"2016-07-31",71
"2016-08-07",69
"2016-08-14",67
"2016-08-21",64
"2016-08-28",67
"2016-09-04",67
"2016-09-11",72
"2016-09-18",67
"2016-09-25",75
"2016-10-02",76
"2016-10-09",82
"2016-10-16",74
"2016-10-23",66
"2016-10-30",69
"2016-11-06",93
"2016-11-13",64
"2016-11-20",66
"2016-11-27",68
"2016-12-04",65
"2016-12-11",65
"2016-12-18",64
"2016-12-25",60
"2017-01-01",73
"2017-01-08",77
"2017-01-15",85
"2017-01-22",88
"2017-01-29",88
"2017-02-05",87
"2017-02-12",82
"2017-02-19",75
"2017-02-26",80
"2017-03-05",75
"2017-03-12",84
"2017-03-19",76
"2017-03-26",71
"2017-04-02",66
"2017-04-09",62
"2017-04-16",68
"2017-04-23",65
"2017-04-30",66
"2017-05-07",74
"2017-05-14",77
"2017-05-21",68
"2017-05-28",71
"2017-06-04",78
"2017-06-11",74
"2017-06-18",68
"2017-06-25",72
"2017-07-02",77
"2017-07-09",74
"2017-07-16",72
"2017-07-23",78
"2017-07-30",72
"2017-08-06",70
"2017-08-13",85
"2017-08-20",68
"2017-08-27",69
"2017-09-03",63
"2017-09-10",65
"2017-09-17",62
"2017-09-24",77
"2017-10-01",66
"2017-10-08",69
"2017-10-15",68
"2017-10-22",62
"2017-10-29",70
"2017-11-05",69
"2017-11-12",68
"2017-11-19",67
"2017-11-26",67
"2017-12-03",66
"2017-12-10",72
"2017-12-17",62
"2017-12-24",59
"2017-12-31",76
"2018-01-07",75
"2018-01-14",76
"2018-01-21",70
"2018-01-28",72
"2018-02-04",78
"2018-02-11",68
"2018-02-18",68
"2018-02-25",72
"2018-03-04",68
"2018-03-11",71
"2018-03-18",84
"2018-03-25",67
"2018-04-01",66
"2018-04-08",68
"2018-04-15",68
"2018-04-22",74
"2018-04-29",68
"2018-05-06",64
"2018-05-13",65
"2018-05-20",65
"2018-05-27",78
"2018-06-03",67
"2018-06-10",65
"2018-06-17",69
"2018-06-24",68
"2018-07-01",61
"2018-07-08",61
"2018-07-15",64
"2018-07-22",63
"2018-07-29",64
"2018-08-05",65
"2018-08-12",66
"2018-08-19",69
"2018-08-26",73
"2018-09-02",71
"2018-09-09",67
"2018-09-16",64
"2018-09-23",70
"2018-09-30",63
"2018-10-07",60
"2018-10-14",63
"2018-10-21",61
"2018-10-28",66
"2018-11-04",65
"2018-11-11",68
"2018-11-18",56
