"date","massachusetts"
"2013-12-01",88
"2013-12-08",86
"2013-12-15",82
"2013-12-22",83
"2013-12-29",89
"2014-01-05",80
"2014-01-12",86
"2014-01-19",87
"2014-01-26",84
"2014-02-02",89
"2014-02-09",87
"2014-02-16",87
"2014-02-23",81
"2014-03-02",89
"2014-03-09",95
"2014-03-16",85
"2014-03-23",86
"2014-03-30",82
"2014-04-06",84
"2014-04-13",87
"2014-04-20",85
"2014-04-27",85
"2014-05-04",82
"2014-05-11",79
"2014-05-18",79
"2014-05-25",81
"2014-06-01",81
"2014-06-08",77
"2014-06-15",78
"2014-06-22",78
"2014-06-29",75
"2014-07-06",83
"2014-07-13",82
"2014-07-20",80
"2014-07-27",79
"2014-08-03",78
"2014-08-10",87
"2014-08-17",78
"2014-08-24",80
"2014-08-31",87
"2014-09-07",76
"2014-09-14",77
"2014-09-21",77
"2014-09-28",76
"2014-10-05",72
"2014-10-12",71
"2014-10-19",76
"2014-10-26",74
"2014-11-02",75
"2014-11-09",79
"2014-11-16",73
"2014-11-23",72
"2014-11-30",70
"2014-12-07",68
"2014-12-14",68
"2014-12-21",71
"2014-12-28",73
"2015-01-04",73
"2015-01-11",70
"2015-01-18",74
"2015-01-25",84
"2015-02-01",91
"2015-02-08",86
"2015-02-15",84
"2015-02-22",77
"2015-03-01",79
"2015-03-08",75
"2015-03-15",71
"2015-03-22",70
"2015-03-29",72
"2015-04-05",69
"2015-04-12",71
"2015-04-19",69
"2015-04-26",70
"2015-05-03",70
"2015-05-10",74
"2015-05-17",69
"2015-05-24",66
"2015-05-31",68
"2015-06-07",72
"2015-06-14",68
"2015-06-21",72
"2015-06-28",64
"2015-07-05",71
"2015-07-12",68
"2015-07-19",73
"2015-07-26",76
"2015-08-02",72
"2015-08-09",68
"2015-08-16",68
"2015-08-23",72
"2015-08-30",76
"2015-09-06",71
"2015-09-13",69
"2015-09-20",67
"2015-09-27",65
"2015-10-04",66
"2015-10-11",74
"2015-10-18",64
"2015-10-25",70
"2015-11-01",65
"2015-11-08",68
"2015-11-15",66
"2015-11-22",60
"2015-11-29",63
"2015-12-06",64
"2015-12-13",63
"2015-12-20",62
"2015-12-27",57
"2016-01-03",64
"2016-01-10",68
"2016-01-17",68
"2016-01-24",74
"2016-01-31",69
"2016-02-07",74
"2016-02-14",74
"2016-02-21",65
"2016-02-28",70
"2016-03-06",74
"2016-03-13",69
"2016-03-20",73
"2016-03-27",67
"2016-04-03",68
"2016-04-10",62
"2016-04-17",67
"2016-04-24",68
"2016-05-01",64
"2016-05-08",62
"2016-05-15",63
"2016-05-22",63
"2016-05-29",64
"2016-06-05",64
"2016-06-12",68
"2016-06-19",66
"2016-06-26",65
"2016-07-03",67
"2016-07-10",62
"2016-07-17",71
"2016-07-24",73
"2016-07-31",67
"2016-08-07",59
"2016-08-14",60
"2016-08-21",58
"2016-08-28",62
"2016-09-04",59
"2016-09-11",61
"2016-09-18",63
"2016-09-25",71
"2016-10-02",72
"2016-10-09",75
"2016-10-16",71
"2016-10-23",66
"2016-10-30",66
"2016-11-06",90
"2016-11-13",63
"2016-11-20",62
"2016-11-27",62
"2016-12-04",63
"2016-12-11",59
"2016-12-18",58
"2016-12-25",57
"2017-01-01",68
"2017-01-08",74
"2017-01-15",77
"2017-01-22",80
"2017-01-29",83
"2017-02-05",100
"2017-02-12",87
"2017-02-19",75
"2017-02-26",73
"2017-03-05",77
"2017-03-12",83
"2017-03-19",72
"2017-03-26",66
"2017-04-02",64
"2017-04-09",63
"2017-04-16",59
"2017-04-23",61
"2017-04-30",66
"2017-05-07",64
"2017-05-14",72
"2017-05-21",61
"2017-05-28",65
"2017-06-04",73
"2017-06-11",67
"2017-06-18",65
"2017-06-25",67
"2017-07-02",79
"2017-07-09",63
"2017-07-16",67
"2017-07-23",73
"2017-07-30",65
"2017-08-06",67
"2017-08-13",77
"2017-08-20",69
"2017-08-27",64
"2017-09-03",61
"2017-09-10",64
"2017-09-17",63
"2017-09-24",75
"2017-10-01",62
"2017-10-08",65
"2017-10-15",63
"2017-10-22",61
"2017-10-29",76
"2017-11-05",67
"2017-11-12",64
"2017-11-19",59
"2017-11-26",66
"2017-12-03",67
"2017-12-10",69
"2017-12-17",63
"2017-12-24",59
"2017-12-31",82
"2018-01-07",70
"2018-01-14",72
"2018-01-21",65
"2018-01-28",67
"2018-02-04",74
"2018-02-11",62
"2018-02-18",67
"2018-02-25",71
"2018-03-04",78
"2018-03-11",79
"2018-03-18",78
"2018-03-25",61
"2018-04-01",65
"2018-04-08",72
"2018-04-15",66
"2018-04-22",70
"2018-04-29",65
"2018-05-06",61
"2018-05-13",58
"2018-05-20",61
"2018-05-27",70
"2018-06-03",63
"2018-06-10",61
"2018-06-17",63
"2018-06-24",67
"2018-07-01",58
"2018-07-08",58
"2018-07-15",63
"2018-07-22",64
"2018-07-29",63
"2018-08-05",63
"2018-08-12",64
"2018-08-19",64
"2018-08-26",70
"2018-09-02",67
"2018-09-09",67
"2018-09-16",62
"2018-09-23",69
"2018-09-30",62
"2018-10-07",60
"2018-10-14",58
"2018-10-21",60
"2018-10-28",65
"2018-11-04",64
"2018-11-11",59
"2018-11-18",56
