"date","michigan"
"2013-12-01",97
"2013-12-08",95
"2013-12-15",89
"2013-12-22",94
"2013-12-29",100
"2014-01-05",94
"2014-01-12",90
"2014-01-19",95
"2014-01-26",94
"2014-02-02",100
"2014-02-09",91
"2014-02-16",88
"2014-02-23",89
"2014-03-02",94
"2014-03-09",94
"2014-03-16",88
"2014-03-23",87
"2014-03-30",92
"2014-04-06",92
"2014-04-13",91
"2014-04-20",87
"2014-04-27",88
"2014-05-04",88
"2014-05-11",90
"2014-05-18",90
"2014-05-25",87
"2014-06-01",87
"2014-06-08",90
"2014-06-15",85
"2014-06-22",86
"2014-06-29",84
"2014-07-06",86
"2014-07-13",88
"2014-07-20",86
"2014-07-27",83
"2014-08-03",83
"2014-08-10",92
"2014-08-17",89
"2014-08-24",94
"2014-08-31",92
"2014-09-07",81
"2014-09-14",81
"2014-09-21",87
"2014-09-28",80
"2014-10-05",83
"2014-10-12",84
"2014-10-19",83
"2014-10-26",76
"2014-11-02",84
"2014-11-09",76
"2014-11-16",80
"2014-11-23",78
"2014-11-30",79
"2014-12-07",75
"2014-12-14",74
"2014-12-21",81
"2014-12-28",94
"2015-01-04",83
"2015-01-11",77
"2015-01-18",76
"2015-01-25",79
"2015-02-01",82
"2015-02-08",77
"2015-02-15",73
"2015-02-22",75
"2015-03-01",72
"2015-03-08",74
"2015-03-15",76
"2015-03-22",71
"2015-03-29",71
"2015-04-05",72
"2015-04-12",65
"2015-04-19",71
"2015-04-26",72
"2015-05-03",64
"2015-05-10",67
"2015-05-17",65
"2015-05-24",66
"2015-05-31",68
"2015-06-07",64
"2015-06-14",66
"2015-06-21",65
"2015-06-28",66
"2015-07-05",67
"2015-07-12",68
"2015-07-19",74
"2015-07-26",76
"2015-08-02",71
"2015-08-09",69
"2015-08-16",69
"2015-08-23",76
"2015-08-30",71
"2015-09-06",68
"2015-09-13",64
"2015-09-20",66
"2015-09-27",65
"2015-10-04",64
"2015-10-11",67
"2015-10-18",69
"2015-10-25",64
"2015-11-01",68
"2015-11-08",63
"2015-11-15",62
"2015-11-22",59
"2015-11-29",64
"2015-12-06",60
"2015-12-13",60
"2015-12-20",61
"2015-12-27",63
"2016-01-03",64
"2016-01-10",69
"2016-01-17",67
"2016-01-24",74
"2016-01-31",67
"2016-02-07",66
"2016-02-14",68
"2016-02-21",68
"2016-02-28",70
"2016-03-06",70
"2016-03-13",64
"2016-03-20",67
"2016-03-27",66
"2016-04-03",66
"2016-04-10",63
"2016-04-17",65
"2016-04-24",65
"2016-05-01",63
"2016-05-08",64
"2016-05-15",61
"2016-05-22",62
"2016-05-29",63
"2016-06-05",66
"2016-06-12",67
"2016-06-19",65
"2016-06-26",64
"2016-07-03",67
"2016-07-10",61
"2016-07-17",72
"2016-07-24",69
"2016-07-31",65
"2016-08-07",63
"2016-08-14",57
"2016-08-21",63
"2016-08-28",66
"2016-09-04",60
"2016-09-11",63
"2016-09-18",63
"2016-09-25",65
"2016-10-02",70
"2016-10-09",69
"2016-10-16",72
"2016-10-23",63
"2016-10-30",64
"2016-11-06",84
"2016-11-13",62
"2016-11-20",56
"2016-11-27",61
"2016-12-04",62
"2016-12-11",61
"2016-12-18",58
"2016-12-25",57
"2017-01-01",68
"2017-01-08",73
"2017-01-15",75
"2017-01-22",77
"2017-01-29",79
"2017-02-05",78
"2017-02-12",75
"2017-02-19",67
"2017-02-26",70
"2017-03-05",65
"2017-03-12",65
"2017-03-19",68
"2017-03-26",63
"2017-04-02",66
"2017-04-09",63
"2017-04-16",58
"2017-04-23",60
"2017-04-30",59
"2017-05-07",62
"2017-05-14",64
"2017-05-21",58
"2017-05-28",62
"2017-06-04",67
"2017-06-11",64
"2017-06-18",59
"2017-06-25",65
"2017-07-02",71
"2017-07-09",61
"2017-07-16",61
"2017-07-23",65
"2017-07-30",62
"2017-08-06",61
"2017-08-13",69
"2017-08-20",64
"2017-08-27",64
"2017-09-03",57
"2017-09-10",58
"2017-09-17",61
"2017-09-24",70
"2017-10-01",60
"2017-10-08",66
"2017-10-15",56
"2017-10-22",56
"2017-10-29",65
"2017-11-05",58
"2017-11-12",60
"2017-11-19",55
"2017-11-26",61
"2017-12-03",58
"2017-12-10",67
"2017-12-17",56
"2017-12-24",53
"2017-12-31",63
"2018-01-07",65
"2018-01-14",65
"2018-01-21",64
"2018-01-28",61
"2018-02-04",67
"2018-02-11",56
"2018-02-18",63
"2018-02-25",62
"2018-03-04",56
"2018-03-11",61
"2018-03-18",59
"2018-03-25",57
"2018-04-01",59
"2018-04-08",66
"2018-04-15",62
"2018-04-22",63
"2018-04-29",58
"2018-05-06",52
"2018-05-13",57
"2018-05-20",55
"2018-05-27",68
"2018-06-03",54
"2018-06-10",59
"2018-06-17",61
"2018-06-24",61
"2018-07-01",57
"2018-07-08",57
"2018-07-15",57
"2018-07-22",59
"2018-07-29",57
"2018-08-05",58
"2018-08-12",58
"2018-08-19",63
"2018-08-26",63
"2018-09-02",64
"2018-09-09",62
"2018-09-16",58
"2018-09-23",62
"2018-09-30",56
"2018-10-07",56
"2018-10-14",56
"2018-10-21",54
"2018-10-28",56
"2018-11-04",54
"2018-11-11",55
"2018-11-18",53
