"date","minnesota"
"2013-12-01",95
"2013-12-08",88
"2013-12-15",88
"2013-12-22",95
"2013-12-29",99
"2014-01-05",98
"2014-01-12",89
"2014-01-19",92
"2014-01-26",98
"2014-02-02",99
"2014-02-09",89
"2014-02-16",100
"2014-02-23",91
"2014-03-02",99
"2014-03-09",99
"2014-03-16",92
"2014-03-23",91
"2014-03-30",92
"2014-04-06",87
"2014-04-13",91
"2014-04-20",94
"2014-04-27",94
"2014-05-04",94
"2014-05-11",95
"2014-05-18",90
"2014-05-25",92
"2014-06-01",96
"2014-06-08",91
"2014-06-15",91
"2014-06-22",91
"2014-06-29",93
"2014-07-06",88
"2014-07-13",93
"2014-07-20",91
"2014-07-27",85
"2014-08-03",87
"2014-08-10",94
"2014-08-17",92
"2014-08-24",91
"2014-08-31",90
"2014-09-07",91
"2014-09-14",91
"2014-09-21",87
"2014-09-28",84
"2014-10-05",84
"2014-10-12",82
"2014-10-19",83
"2014-10-26",86
"2014-11-02",81
"2014-11-09",83
"2014-11-16",84
"2014-11-23",79
"2014-11-30",75
"2014-12-07",80
"2014-12-14",80
"2014-12-21",82
"2014-12-28",86
"2015-01-04",81
"2015-01-11",82
"2015-01-18",76
"2015-01-25",77
"2015-02-01",79
"2015-02-08",72
"2015-02-15",80
"2015-02-22",80
"2015-03-01",78
"2015-03-08",83
"2015-03-15",74
"2015-03-22",80
"2015-03-29",77
"2015-04-05",81
"2015-04-12",74
"2015-04-19",74
"2015-04-26",80
"2015-05-03",78
"2015-05-10",75
"2015-05-17",74
"2015-05-24",71
"2015-05-31",73
"2015-06-07",69
"2015-06-14",73
"2015-06-21",78
"2015-06-28",72
"2015-07-05",73
"2015-07-12",77
"2015-07-19",73
"2015-07-26",78
"2015-08-02",77
"2015-08-09",72
"2015-08-16",73
"2015-08-23",77
"2015-08-30",74
"2015-09-06",72
"2015-09-13",74
"2015-09-20",71
"2015-09-27",71
"2015-10-04",67
"2015-10-11",77
"2015-10-18",65
"2015-10-25",70
"2015-11-01",73
"2015-11-08",75
"2015-11-15",73
"2015-11-22",63
"2015-11-29",68
"2015-12-06",68
"2015-12-13",61
"2015-12-20",69
"2015-12-27",68
"2016-01-03",62
"2016-01-10",69
"2016-01-17",68
"2016-01-24",73
"2016-01-31",68
"2016-02-07",73
"2016-02-14",70
"2016-02-21",68
"2016-02-28",76
"2016-03-06",75
"2016-03-13",71
"2016-03-20",70
"2016-03-27",70
"2016-04-03",68
"2016-04-10",66
"2016-04-17",76
"2016-04-24",70
"2016-05-01",71
"2016-05-08",66
"2016-05-15",66
"2016-05-22",62
"2016-05-29",64
"2016-06-05",67
"2016-06-12",72
"2016-06-19",67
"2016-06-26",64
"2016-07-03",71
"2016-07-10",71
"2016-07-17",76
"2016-07-24",79
"2016-07-31",72
"2016-08-07",67
"2016-08-14",64
"2016-08-21",63
"2016-08-28",70
"2016-09-04",66
"2016-09-11",66
"2016-09-18",68
"2016-09-25",73
"2016-10-02",76
"2016-10-09",81
"2016-10-16",81
"2016-10-23",71
"2016-10-30",69
"2016-11-06",93
"2016-11-13",66
"2016-11-20",63
"2016-11-27",61
"2016-12-04",66
"2016-12-11",64
"2016-12-18",61
"2016-12-25",61
"2017-01-01",71
"2017-01-08",73
"2017-01-15",81
"2017-01-22",84
"2017-01-29",85
"2017-02-05",91
"2017-02-12",84
"2017-02-19",75
"2017-02-26",83
"2017-03-05",82
"2017-03-12",76
"2017-03-19",75
"2017-03-26",71
"2017-04-02",67
"2017-04-09",65
"2017-04-16",67
"2017-04-23",65
"2017-04-30",67
"2017-05-07",75
"2017-05-14",75
"2017-05-21",67
"2017-05-28",70
"2017-06-04",78
"2017-06-11",75
"2017-06-18",72
"2017-06-25",77
"2017-07-02",77
"2017-07-09",69
"2017-07-16",72
"2017-07-23",76
"2017-07-30",68
"2017-08-06",67
"2017-08-13",82
"2017-08-20",70
"2017-08-27",73
"2017-09-03",62
"2017-09-10",67
"2017-09-17",64
"2017-09-24",74
"2017-10-01",70
"2017-10-08",72
"2017-10-15",66
"2017-10-22",61
"2017-10-29",68
"2017-11-05",65
"2017-11-12",72
"2017-11-19",59
"2017-11-26",71
"2017-12-03",69
"2017-12-10",70
"2017-12-17",60
"2017-12-24",59
"2017-12-31",73
"2018-01-07",71
"2018-01-14",77
"2018-01-21",75
"2018-01-28",79
"2018-02-04",78
"2018-02-11",70
"2018-02-18",71
"2018-02-25",69
"2018-03-04",72
"2018-03-11",69
"2018-03-18",65
"2018-03-25",68
"2018-04-01",72
"2018-04-08",76
"2018-04-15",73
"2018-04-22",73
"2018-04-29",68
"2018-05-06",62
"2018-05-13",64
"2018-05-20",62
"2018-05-27",81
"2018-06-03",71
"2018-06-10",67
"2018-06-17",73
"2018-06-24",72
"2018-07-01",66
"2018-07-08",66
"2018-07-15",67
"2018-07-22",67
"2018-07-29",69
"2018-08-05",69
"2018-08-12",70
"2018-08-19",72
"2018-08-26",70
"2018-09-02",71
"2018-09-09",69
"2018-09-16",68
"2018-09-23",75
"2018-09-30",65
"2018-10-07",63
"2018-10-14",60
"2018-10-21",60
"2018-10-28",67
"2018-11-04",69
"2018-11-11",63
"2018-11-18",57
