"date","mississippi"
"2013-12-01",75
"2013-12-08",81
"2013-12-15",86
"2013-12-22",92
"2013-12-29",94
"2014-01-05",95
"2014-01-12",91
"2014-01-19",95
"2014-01-26",100
"2014-02-02",83
"2014-02-09",87
"2014-02-16",82
"2014-02-23",79
"2014-03-02",81
"2014-03-09",84
"2014-03-16",91
"2014-03-23",87
"2014-03-30",87
"2014-04-06",88
"2014-04-13",89
"2014-04-20",88
"2014-04-27",88
"2014-05-04",88
"2014-05-11",84
"2014-05-18",79
"2014-05-25",81
"2014-06-01",93
"2014-06-08",83
"2014-06-15",84
"2014-06-22",75
"2014-06-29",82
"2014-07-06",90
"2014-07-13",81
"2014-07-20",87
"2014-07-27",76
"2014-08-03",89
"2014-08-10",93
"2014-08-17",88
"2014-08-24",84
"2014-08-31",90
"2014-09-07",68
"2014-09-14",76
"2014-09-21",74
"2014-09-28",86
"2014-10-05",95
"2014-10-12",77
"2014-10-19",72
"2014-10-26",73
"2014-11-02",85
"2014-11-09",77
"2014-11-16",78
"2014-11-23",79
"2014-11-30",73
"2014-12-07",77
"2014-12-14",79
"2014-12-21",87
"2014-12-28",87
"2015-01-04",71
"2015-01-11",68
"2015-01-18",77
"2015-01-25",72
"2015-02-01",75
"2015-02-08",60
"2015-02-15",72
"2015-02-22",80
"2015-03-01",66
"2015-03-08",78
"2015-03-15",69
"2015-03-22",77
"2015-03-29",75
"2015-04-05",74
"2015-04-12",73
"2015-04-19",70
"2015-04-26",72
"2015-05-03",64
"2015-05-10",60
"2015-05-17",76
"2015-05-24",71
"2015-05-31",70
"2015-06-07",68
"2015-06-14",63
"2015-06-21",68
"2015-06-28",65
"2015-07-05",57
"2015-07-12",69
"2015-07-19",77
"2015-07-26",71
"2015-08-02",73
"2015-08-09",71
"2015-08-16",63
"2015-08-23",80
"2015-08-30",61
"2015-09-06",56
"2015-09-13",58
"2015-09-20",62
"2015-09-27",68
"2015-10-04",61
"2015-10-11",60
"2015-10-18",62
"2015-10-25",60
"2015-11-01",68
"2015-11-08",66
"2015-11-15",65
"2015-11-22",60
"2015-11-29",55
"2015-12-06",50
"2015-12-13",66
"2015-12-20",57
"2015-12-27",66
"2016-01-03",58
"2016-01-10",60
"2016-01-17",64
"2016-01-24",69
"2016-01-31",76
"2016-02-07",61
"2016-02-14",66
"2016-02-21",67
"2016-02-28",67
"2016-03-06",65
"2016-03-13",63
"2016-03-20",65
"2016-03-27",59
"2016-04-03",60
"2016-04-10",59
"2016-04-17",62
"2016-04-24",70
"2016-05-01",64
"2016-05-08",59
"2016-05-15",55
"2016-05-22",62
"2016-05-29",68
"2016-06-05",67
"2016-06-12",72
"2016-06-19",64
"2016-06-26",68
"2016-07-03",70
"2016-07-10",65
"2016-07-17",69
"2016-07-24",66
"2016-07-31",68
"2016-08-07",58
"2016-08-14",63
"2016-08-21",57
"2016-08-28",69
"2016-09-04",58
"2016-09-11",67
"2016-09-18",66
"2016-09-25",56
"2016-10-02",62
"2016-10-09",68
"2016-10-16",64
"2016-10-23",68
"2016-10-30",61
"2016-11-06",80
"2016-11-13",57
"2016-11-20",57
"2016-11-27",62
"2016-12-04",51
"2016-12-11",50
"2016-12-18",60
"2016-12-25",59
"2017-01-01",58
"2017-01-08",62
"2017-01-15",70
"2017-01-22",60
"2017-01-29",65
"2017-02-05",64
"2017-02-12",64
"2017-02-19",60
"2017-02-26",64
"2017-03-05",62
"2017-03-12",55
"2017-03-19",55
"2017-03-26",57
"2017-04-02",59
"2017-04-09",57
"2017-04-16",59
"2017-04-23",56
"2017-04-30",59
"2017-05-07",64
"2017-05-14",63
"2017-05-21",62
"2017-05-28",62
"2017-06-04",70
"2017-06-11",60
"2017-06-18",61
"2017-06-25",56
"2017-07-02",67
"2017-07-09",50
"2017-07-16",63
"2017-07-23",63
"2017-07-30",51
"2017-08-06",51
"2017-08-13",61
"2017-08-20",53
"2017-08-27",58
"2017-09-03",52
"2017-09-10",61
"2017-09-17",56
"2017-09-24",65
"2017-10-01",55
"2017-10-08",61
"2017-10-15",49
"2017-10-22",57
"2017-10-29",54
"2017-11-05",53
"2017-11-12",50
"2017-11-19",58
"2017-11-26",74
"2017-12-03",54
"2017-12-10",59
"2017-12-17",56
"2017-12-24",49
"2017-12-31",55
"2018-01-07",59
"2018-01-14",63
"2018-01-21",61
"2018-01-28",57
"2018-02-04",64
"2018-02-11",52
"2018-02-18",61
"2018-02-25",52
"2018-03-04",56
"2018-03-11",53
"2018-03-18",56
"2018-03-25",61
"2018-04-01",59
"2018-04-08",62
"2018-04-15",61
"2018-04-22",66
"2018-04-29",63
"2018-05-06",54
"2018-05-13",56
"2018-05-20",63
"2018-05-27",76
"2018-06-03",60
"2018-06-10",51
"2018-06-17",73
"2018-06-24",63
"2018-07-01",58
"2018-07-08",56
"2018-07-15",55
"2018-07-22",52
"2018-07-29",51
"2018-08-05",51
"2018-08-12",59
"2018-08-19",56
"2018-08-26",50
"2018-09-02",58
"2018-09-09",57
"2018-09-16",56
"2018-09-23",60
"2018-09-30",54
"2018-10-07",53
"2018-10-14",51
"2018-10-21",44
"2018-10-28",58
"2018-11-04",56
"2018-11-11",49
"2018-11-18",53
