"date","missouri"
"2013-12-01",85
"2013-12-08",78
"2013-12-15",80
"2013-12-22",76
"2013-12-29",84
"2014-01-05",83
"2014-01-12",79
"2014-01-19",82
"2014-01-26",77
"2014-02-02",87
"2014-02-09",81
"2014-02-16",77
"2014-02-23",75
"2014-03-02",85
"2014-03-09",78
"2014-03-16",81
"2014-03-23",79
"2014-03-30",81
"2014-04-06",80
"2014-04-13",82
"2014-04-20",79
"2014-04-27",76
"2014-05-04",76
"2014-05-11",84
"2014-05-18",82
"2014-05-25",75
"2014-06-01",78
"2014-06-08",82
"2014-06-15",75
"2014-06-22",78
"2014-06-29",78
"2014-07-06",81
"2014-07-13",74
"2014-07-20",70
"2014-07-27",74
"2014-08-03",82
"2014-08-10",100
"2014-08-17",92
"2014-08-24",83
"2014-08-31",81
"2014-09-07",79
"2014-09-14",76
"2014-09-21",82
"2014-09-28",76
"2014-10-05",76
"2014-10-12",74
"2014-10-19",82
"2014-10-26",79
"2014-11-02",73
"2014-11-09",79
"2014-11-16",81
"2014-11-23",82
"2014-11-30",74
"2014-12-07",67
"2014-12-14",64
"2014-12-21",68
"2014-12-28",80
"2015-01-04",68
"2015-01-11",68
"2015-01-18",65
"2015-01-25",69
"2015-02-01",72
"2015-02-08",65
"2015-02-15",73
"2015-02-22",70
"2015-03-01",69
"2015-03-08",69
"2015-03-15",70
"2015-03-22",63
"2015-03-29",66
"2015-04-05",60
"2015-04-12",64
"2015-04-19",62
"2015-04-26",68
"2015-05-03",66
"2015-05-10",66
"2015-05-17",65
"2015-05-24",59
"2015-05-31",61
"2015-06-07",58
"2015-06-14",63
"2015-06-21",64
"2015-06-28",66
"2015-07-05",63
"2015-07-12",70
"2015-07-19",70
"2015-07-26",70
"2015-08-02",69
"2015-08-09",66
"2015-08-16",66
"2015-08-23",71
"2015-08-30",66
"2015-09-06",64
"2015-09-13",61
"2015-09-20",56
"2015-09-27",59
"2015-10-04",60
"2015-10-11",61
"2015-10-18",56
"2015-10-25",56
"2015-11-01",63
"2015-11-08",68
"2015-11-15",62
"2015-11-22",47
"2015-11-29",57
"2015-12-06",60
"2015-12-13",57
"2015-12-20",59
"2015-12-27",63
"2016-01-03",62
"2016-01-10",61
"2016-01-17",63
"2016-01-24",67
"2016-01-31",62
"2016-02-07",62
"2016-02-14",65
"2016-02-21",64
"2016-02-28",62
"2016-03-06",62
"2016-03-13",59
"2016-03-20",59
"2016-03-27",58
"2016-04-03",55
"2016-04-10",61
"2016-04-17",60
"2016-04-24",57
"2016-05-01",57
"2016-05-08",57
"2016-05-15",56
"2016-05-22",57
"2016-05-29",57
"2016-06-05",58
"2016-06-12",66
"2016-06-19",61
"2016-06-26",57
"2016-07-03",64
"2016-07-10",58
"2016-07-17",68
"2016-07-24",64
"2016-07-31",61
"2016-08-07",60
"2016-08-14",57
"2016-08-21",59
"2016-08-28",57
"2016-09-04",58
"2016-09-11",59
"2016-09-18",58
"2016-09-25",60
"2016-10-02",67
"2016-10-09",69
"2016-10-16",68
"2016-10-23",55
"2016-10-30",56
"2016-11-06",73
"2016-11-13",53
"2016-11-20",52
"2016-11-27",54
"2016-12-04",53
"2016-12-11",57
"2016-12-18",56
"2016-12-25",51
"2017-01-01",66
"2017-01-08",69
"2017-01-15",69
"2017-01-22",72
"2017-01-29",71
"2017-02-05",69
"2017-02-12",63
"2017-02-19",62
"2017-02-26",66
"2017-03-05",61
"2017-03-12",63
"2017-03-19",62
"2017-03-26",57
"2017-04-02",56
"2017-04-09",59
"2017-04-16",55
"2017-04-23",58
"2017-04-30",58
"2017-05-07",60
"2017-05-14",59
"2017-05-21",62
"2017-05-28",58
"2017-06-04",63
"2017-06-11",60
"2017-06-18",53
"2017-06-25",56
"2017-07-02",61
"2017-07-09",54
"2017-07-16",54
"2017-07-23",61
"2017-07-30",58
"2017-08-06",56
"2017-08-13",66
"2017-08-20",55
"2017-08-27",55
"2017-09-03",52
"2017-09-10",61
"2017-09-17",60
"2017-09-24",60
"2017-10-01",60
"2017-10-08",56
"2017-10-15",55
"2017-10-22",52
"2017-10-29",58
"2017-11-05",58
"2017-11-12",53
"2017-11-19",49
"2017-11-26",59
"2017-12-03",56
"2017-12-10",61
"2017-12-17",51
"2017-12-24",49
"2017-12-31",56
"2018-01-07",64
"2018-01-14",62
"2018-01-21",56
"2018-01-28",55
"2018-02-04",63
"2018-02-11",57
"2018-02-18",65
"2018-02-25",55
"2018-03-04",53
"2018-03-11",56
"2018-03-18",52
"2018-03-25",56
"2018-04-01",58
"2018-04-08",63
"2018-04-15",56
"2018-04-22",56
"2018-04-29",57
"2018-05-06",55
"2018-05-13",53
"2018-05-20",53
"2018-05-27",65
"2018-06-03",56
"2018-06-10",51
"2018-06-17",58
"2018-06-24",60
"2018-07-01",55
"2018-07-08",55
"2018-07-15",57
"2018-07-22",57
"2018-07-29",58
"2018-08-05",60
"2018-08-12",55
"2018-08-19",56
"2018-08-26",58
"2018-09-02",62
"2018-09-09",56
"2018-09-16",57
"2018-09-23",60
"2018-09-30",55
"2018-10-07",55
"2018-10-14",53
"2018-10-21",49
"2018-10-28",54
"2018-11-04",55
"2018-11-11",54
"2018-11-18",49
