"date","montana"
"2013-12-01",63
"2013-12-08",85
"2013-12-15",65
"2013-12-22",54
"2013-12-29",72
"2014-01-05",81
"2014-01-12",76
"2014-01-19",65
"2014-01-26",88
"2014-02-02",84
"2014-02-09",73
"2014-02-16",78
"2014-02-23",65
"2014-03-02",72
"2014-03-09",65
"2014-03-16",68
"2014-03-23",65
"2014-03-30",68
"2014-04-06",69
"2014-04-13",61
"2014-04-20",70
"2014-04-27",75
"2014-05-04",71
"2014-05-11",63
"2014-05-18",67
"2014-05-25",67
"2014-06-01",80
"2014-06-08",71
"2014-06-15",72
"2014-06-22",68
"2014-06-29",64
"2014-07-06",69
"2014-07-13",61
"2014-07-20",66
"2014-07-27",62
"2014-08-03",66
"2014-08-10",100
"2014-08-17",76
"2014-08-24",73
"2014-08-31",74
"2014-09-07",67
"2014-09-14",64
"2014-09-21",66
"2014-09-28",73
"2014-10-05",58
"2014-10-12",60
"2014-10-19",57
"2014-10-26",63
"2014-11-02",64
"2014-11-09",63
"2014-11-16",62
"2014-11-23",53
"2014-11-30",62
"2014-12-07",56
"2014-12-14",61
"2014-12-21",60
"2014-12-28",78
"2015-01-04",62
"2015-01-11",63
"2015-01-18",70
"2015-01-25",62
"2015-02-01",56
"2015-02-08",55
"2015-02-15",67
"2015-02-22",71
"2015-03-01",62
"2015-03-08",77
"2015-03-15",64
"2015-03-22",75
"2015-03-29",64
"2015-04-05",60
"2015-04-12",64
"2015-04-19",49
"2015-04-26",55
"2015-05-03",70
"2015-05-10",62
"2015-05-17",57
"2015-05-24",52
"2015-05-31",55
"2015-06-07",48
"2015-06-14",53
"2015-06-21",59
"2015-06-28",60
"2015-07-05",60
"2015-07-12",49
"2015-07-19",53
"2015-07-26",57
"2015-08-02",59
"2015-08-09",61
"2015-08-16",55
"2015-08-23",64
"2015-08-30",64
"2015-09-06",53
"2015-09-13",48
"2015-09-20",43
"2015-09-27",52
"2015-10-04",60
"2015-10-11",52
"2015-10-18",59
"2015-10-25",59
"2015-11-01",56
"2015-11-08",54
"2015-11-15",57
"2015-11-22",52
"2015-11-29",58
"2015-12-06",52
"2015-12-13",57
"2015-12-20",48
"2015-12-27",56
"2016-01-03",63
"2016-01-10",62
"2016-01-17",63
"2016-01-24",56
"2016-01-31",55
"2016-02-07",54
"2016-02-14",62
"2016-02-21",56
"2016-02-28",63
"2016-03-06",69
"2016-03-13",45
"2016-03-20",68
"2016-03-27",52
"2016-04-03",55
"2016-04-10",57
"2016-04-17",59
"2016-04-24",49
"2016-05-01",53
"2016-05-08",51
"2016-05-15",42
"2016-05-22",54
"2016-05-29",46
"2016-06-05",53
"2016-06-12",59
"2016-06-19",52
"2016-06-26",43
"2016-07-03",63
"2016-07-10",56
"2016-07-17",57
"2016-07-24",74
"2016-07-31",54
"2016-08-07",68
"2016-08-14",50
"2016-08-21",62
"2016-08-28",54
"2016-09-04",48
"2016-09-11",51
"2016-09-18",48
"2016-09-25",71
"2016-10-02",64
"2016-10-09",65
"2016-10-16",64
"2016-10-23",56
"2016-10-30",58
"2016-11-06",84
"2016-11-13",46
"2016-11-20",60
"2016-11-27",55
"2016-12-04",42
"2016-12-11",56
"2016-12-18",50
"2016-12-25",59
"2017-01-01",61
"2017-01-08",70
"2017-01-15",73
"2017-01-22",81
"2017-01-29",74
"2017-02-05",94
"2017-02-12",67
"2017-02-19",64
"2017-02-26",57
"2017-03-05",67
"2017-03-12",61
"2017-03-19",58
"2017-03-26",64
"2017-04-02",53
"2017-04-09",45
"2017-04-16",57
"2017-04-23",55
"2017-04-30",58
"2017-05-07",62
"2017-05-14",49
"2017-05-21",52
"2017-05-28",58
"2017-06-04",79
"2017-06-11",63
"2017-06-18",53
"2017-06-25",52
"2017-07-02",67
"2017-07-09",61
"2017-07-16",51
"2017-07-23",67
"2017-07-30",61
"2017-08-06",52
"2017-08-13",59
"2017-08-20",56
"2017-08-27",59
"2017-09-03",58
"2017-09-10",56
"2017-09-17",59
"2017-09-24",61
"2017-10-01",54
"2017-10-08",67
"2017-10-15",47
"2017-10-22",58
"2017-10-29",53
"2017-11-05",56
"2017-11-12",55
"2017-11-19",47
"2017-11-26",63
"2017-12-03",61
"2017-12-10",64
"2017-12-17",43
"2017-12-24",62
"2017-12-31",61
"2018-01-07",56
"2018-01-14",67
"2018-01-21",58
"2018-01-28",59
"2018-02-04",64
"2018-02-11",55
"2018-02-18",59
"2018-02-25",59
"2018-03-04",49
"2018-03-11",55
"2018-03-18",58
"2018-03-25",43
"2018-04-01",63
"2018-04-08",60
"2018-04-15",57
"2018-04-22",57
"2018-04-29",63
"2018-05-06",51
"2018-05-13",43
"2018-05-20",53
"2018-05-27",70
"2018-06-03",51
"2018-06-10",44
"2018-06-17",62
"2018-06-24",57
"2018-07-01",64
"2018-07-08",58
"2018-07-15",58
"2018-07-22",57
"2018-07-29",68
"2018-08-05",55
"2018-08-12",57
"2018-08-19",68
"2018-08-26",55
"2018-09-02",61
"2018-09-09",56
"2018-09-16",61
"2018-09-23",70
"2018-09-30",54
"2018-10-07",56
"2018-10-14",60
"2018-10-21",52
"2018-10-28",57
"2018-11-04",66
"2018-11-11",54
"2018-11-18",53
