"date","nebraska"
"2013-12-01",97
"2013-12-08",92
"2013-12-15",86
"2013-12-22",91
"2013-12-29",90
"2014-01-05",93
"2014-01-12",84
"2014-01-19",96
"2014-01-26",82
"2014-02-02",91
"2014-02-09",86
"2014-02-16",90
"2014-02-23",87
"2014-03-02",100
"2014-03-09",92
"2014-03-16",88
"2014-03-23",81
"2014-03-30",88
"2014-04-06",88
"2014-04-13",83
"2014-04-20",89
"2014-04-27",86
"2014-05-04",81
"2014-05-11",85
"2014-05-18",83
"2014-05-25",84
"2014-06-01",83
"2014-06-08",81
"2014-06-15",80
"2014-06-22",82
"2014-06-29",91
"2014-07-06",85
"2014-07-13",85
"2014-07-20",78
"2014-07-27",86
"2014-08-03",78
"2014-08-10",89
"2014-08-17",83
"2014-08-24",87
"2014-08-31",95
"2014-09-07",74
"2014-09-14",86
"2014-09-21",71
"2014-09-28",78
"2014-10-05",83
"2014-10-12",79
"2014-10-19",79
"2014-10-26",82
"2014-11-02",67
"2014-11-09",72
"2014-11-16",87
"2014-11-23",75
"2014-11-30",97
"2014-12-07",75
"2014-12-14",73
"2014-12-21",79
"2014-12-28",85
"2015-01-04",79
"2015-01-11",82
"2015-01-18",75
"2015-01-25",79
"2015-02-01",75
"2015-02-08",72
"2015-02-15",75
"2015-02-22",85
"2015-03-01",77
"2015-03-08",84
"2015-03-15",76
"2015-03-22",74
"2015-03-29",76
"2015-04-05",76
"2015-04-12",74
"2015-04-19",85
"2015-04-26",80
"2015-05-03",72
"2015-05-10",71
"2015-05-17",73
"2015-05-24",72
"2015-05-31",67
"2015-06-07",68
"2015-06-14",71
"2015-06-21",75
"2015-06-28",70
"2015-07-05",79
"2015-07-12",71
"2015-07-19",71
"2015-07-26",77
"2015-08-02",74
"2015-08-09",75
"2015-08-16",81
"2015-08-23",75
"2015-08-30",77
"2015-09-06",69
"2015-09-13",69
"2015-09-20",70
"2015-09-27",71
"2015-10-04",77
"2015-10-11",67
"2015-10-18",66
"2015-10-25",68
"2015-11-01",67
"2015-11-08",68
"2015-11-15",69
"2015-11-22",59
"2015-11-29",66
"2015-12-06",62
"2015-12-13",64
"2015-12-20",54
"2015-12-27",70
"2016-01-03",67
"2016-01-10",69
"2016-01-17",71
"2016-01-24",75
"2016-01-31",84
"2016-02-07",67
"2016-02-14",67
"2016-02-21",71
"2016-02-28",73
"2016-03-06",75
"2016-03-13",64
"2016-03-20",70
"2016-03-27",68
"2016-04-03",66
"2016-04-10",64
"2016-04-17",69
"2016-04-24",73
"2016-05-01",76
"2016-05-08",64
"2016-05-15",66
"2016-05-22",69
"2016-05-29",64
"2016-06-05",71
"2016-06-12",67
"2016-06-19",72
"2016-06-26",62
"2016-07-03",70
"2016-07-10",63
"2016-07-17",78
"2016-07-24",71
"2016-07-31",74
"2016-08-07",63
"2016-08-14",66
"2016-08-21",71
"2016-08-28",75
"2016-09-04",59
"2016-09-11",69
"2016-09-18",66
"2016-09-25",70
"2016-10-02",74
"2016-10-09",70
"2016-10-16",69
"2016-10-23",69
"2016-10-30",61
"2016-11-06",85
"2016-11-13",59
"2016-11-20",59
"2016-11-27",65
"2016-12-04",68
"2016-12-11",64
"2016-12-18",58
"2016-12-25",59
"2017-01-01",68
"2017-01-08",75
"2017-01-15",85
"2017-01-22",82
"2017-01-29",80
"2017-02-05",80
"2017-02-12",69
"2017-02-19",73
"2017-02-26",74
"2017-03-05",67
"2017-03-12",67
"2017-03-19",64
"2017-03-26",64
"2017-04-02",67
"2017-04-09",65
"2017-04-16",67
"2017-04-23",63
"2017-04-30",65
"2017-05-07",67
"2017-05-14",71
"2017-05-21",66
"2017-05-28",72
"2017-06-04",74
"2017-06-11",68
"2017-06-18",67
"2017-06-25",66
"2017-07-02",69
"2017-07-09",59
"2017-07-16",73
"2017-07-23",75
"2017-07-30",66
"2017-08-06",62
"2017-08-13",71
"2017-08-20",62
"2017-08-27",66
"2017-09-03",64
"2017-09-10",63
"2017-09-17",65
"2017-09-24",62
"2017-10-01",66
"2017-10-08",67
"2017-10-15",58
"2017-10-22",61
"2017-10-29",63
"2017-11-05",61
"2017-11-12",62
"2017-11-19",65
"2017-11-26",68
"2017-12-03",73
"2017-12-10",69
"2017-12-17",64
"2017-12-24",58
"2017-12-31",65
"2018-01-07",70
"2018-01-14",70
"2018-01-21",76
"2018-01-28",68
"2018-02-04",72
"2018-02-11",62
"2018-02-18",82
"2018-02-25",71
"2018-03-04",69
"2018-03-11",66
"2018-03-18",67
"2018-03-25",62
"2018-04-01",66
"2018-04-08",75
"2018-04-15",63
"2018-04-22",74
"2018-04-29",70
"2018-05-06",63
"2018-05-13",60
"2018-05-20",63
"2018-05-27",72
"2018-06-03",62
"2018-06-10",67
"2018-06-17",66
"2018-06-24",68
"2018-07-01",62
"2018-07-08",60
"2018-07-15",58
"2018-07-22",62
"2018-07-29",58
"2018-08-05",68
"2018-08-12",62
"2018-08-19",72
"2018-08-26",69
"2018-09-02",70
"2018-09-09",74
"2018-09-16",66
"2018-09-23",63
"2018-09-30",57
"2018-10-07",66
"2018-10-14",66
"2018-10-21",65
"2018-10-28",64
"2018-11-04",65
"2018-11-11",57
"2018-11-18",60
