"date","nevada"
"2013-12-01",84
"2013-12-08",84
"2013-12-15",87
"2013-12-22",83
"2013-12-29",100
"2014-01-05",94
"2014-01-12",91
"2014-01-19",88
"2014-01-26",83
"2014-02-02",89
"2014-02-09",86
"2014-02-16",90
"2014-02-23",85
"2014-03-02",89
"2014-03-09",84
"2014-03-16",83
"2014-03-23",87
"2014-03-30",85
"2014-04-06",84
"2014-04-13",81
"2014-04-20",84
"2014-04-27",86
"2014-05-04",83
"2014-05-11",95
"2014-05-18",85
"2014-05-25",90
"2014-06-01",94
"2014-06-08",87
"2014-06-15",86
"2014-06-22",91
"2014-06-29",89
"2014-07-06",88
"2014-07-13",87
"2014-07-20",82
"2014-07-27",85
"2014-08-03",82
"2014-08-10",100
"2014-08-17",83
"2014-08-24",97
"2014-08-31",89
"2014-09-07",80
"2014-09-14",82
"2014-09-21",77
"2014-09-28",77
"2014-10-05",77
"2014-10-12",79
"2014-10-19",73
"2014-10-26",76
"2014-11-02",78
"2014-11-09",81
"2014-11-16",82
"2014-11-23",75
"2014-11-30",75
"2014-12-07",80
"2014-12-14",70
"2014-12-21",84
"2014-12-28",90
"2015-01-04",80
"2015-01-11",77
"2015-01-18",71
"2015-01-25",80
"2015-02-01",83
"2015-02-08",71
"2015-02-15",82
"2015-02-22",72
"2015-03-01",75
"2015-03-08",80
"2015-03-15",73
"2015-03-22",73
"2015-03-29",70
"2015-04-05",75
"2015-04-12",78
"2015-04-19",76
"2015-04-26",79
"2015-05-03",72
"2015-05-10",75
"2015-05-17",72
"2015-05-24",69
"2015-05-31",73
"2015-06-07",76
"2015-06-14",79
"2015-06-21",85
"2015-06-28",82
"2015-07-05",85
"2015-07-12",91
"2015-07-19",87
"2015-07-26",85
"2015-08-02",77
"2015-08-09",87
"2015-08-16",77
"2015-08-23",78
"2015-08-30",69
"2015-09-06",68
"2015-09-13",76
"2015-09-20",62
"2015-09-27",63
"2015-10-04",69
"2015-10-11",80
"2015-10-18",72
"2015-10-25",67
"2015-11-01",75
"2015-11-08",77
"2015-11-15",68
"2015-11-22",64
"2015-11-29",60
"2015-12-06",63
"2015-12-13",64
"2015-12-20",62
"2015-12-27",68
"2016-01-03",72
"2016-01-10",63
"2016-01-17",65
"2016-01-24",67
"2016-01-31",70
"2016-02-07",62
"2016-02-14",65
"2016-02-21",68
"2016-02-28",70
"2016-03-06",76
"2016-03-13",65
"2016-03-20",74
"2016-03-27",71
"2016-04-03",68
"2016-04-10",66
"2016-04-17",63
"2016-04-24",63
"2016-05-01",68
"2016-05-08",65
"2016-05-15",70
"2016-05-22",60
"2016-05-29",66
"2016-06-05",74
"2016-06-12",77
"2016-06-19",75
"2016-06-26",70
"2016-07-03",79
"2016-07-10",64
"2016-07-17",80
"2016-07-24",78
"2016-07-31",74
"2016-08-07",62
"2016-08-14",67
"2016-08-21",60
"2016-08-28",65
"2016-09-04",62
"2016-09-11",63
"2016-09-18",69
"2016-09-25",63
"2016-10-02",68
"2016-10-09",68
"2016-10-16",75
"2016-10-23",60
"2016-10-30",64
"2016-11-06",90
"2016-11-13",63
"2016-11-20",60
"2016-11-27",58
"2016-12-04",62
"2016-12-11",59
"2016-12-18",64
"2016-12-25",60
"2017-01-01",72
"2017-01-08",68
"2017-01-15",76
"2017-01-22",75
"2017-01-29",74
"2017-02-05",75
"2017-02-12",69
"2017-02-19",71
"2017-02-26",69
"2017-03-05",67
"2017-03-12",67
"2017-03-19",67
"2017-03-26",66
"2017-04-02",63
"2017-04-09",60
"2017-04-16",54
"2017-04-23",61
"2017-04-30",62
"2017-05-07",64
"2017-05-14",63
"2017-05-21",66
"2017-05-28",63
"2017-06-04",70
"2017-06-11",66
"2017-06-18",66
"2017-06-25",71
"2017-07-02",73
"2017-07-09",69
"2017-07-16",65
"2017-07-23",71
"2017-07-30",61
"2017-08-06",59
"2017-08-13",69
"2017-08-20",57
"2017-08-27",61
"2017-09-03",57
"2017-09-10",60
"2017-09-17",68
"2017-09-24",74
"2017-10-01",79
"2017-10-08",58
"2017-10-15",59
"2017-10-22",53
"2017-10-29",66
"2017-11-05",56
"2017-11-12",59
"2017-11-19",61
"2017-11-26",62
"2017-12-03",61
"2017-12-10",63
"2017-12-17",59
"2017-12-24",51
"2017-12-31",65
"2018-01-07",66
"2018-01-14",63
"2018-01-21",59
"2018-01-28",64
"2018-02-04",63
"2018-02-11",57
"2018-02-18",62
"2018-02-25",60
"2018-03-04",63
"2018-03-11",61
"2018-03-18",65
"2018-03-25",57
"2018-04-01",61
"2018-04-08",65
"2018-04-15",60
"2018-04-22",68
"2018-04-29",59
"2018-05-06",58
"2018-05-13",58
"2018-05-20",62
"2018-05-27",78
"2018-06-03",62
"2018-06-10",66
"2018-06-17",71
"2018-06-24",68
"2018-07-01",67
"2018-07-08",65
"2018-07-15",64
"2018-07-22",67
"2018-07-29",60
"2018-08-05",67
"2018-08-12",60
"2018-08-19",61
"2018-08-26",67
"2018-09-02",66
"2018-09-09",60
"2018-09-16",61
"2018-09-23",63
"2018-09-30",60
"2018-10-07",56
"2018-10-14",57
"2018-10-21",55
"2018-10-28",52
"2018-11-04",59
"2018-11-11",57
"2018-11-18",52
