"date","new hampshire"
"2013-12-01",88
"2013-12-08",84
"2013-12-15",93
"2013-12-22",91
"2013-12-29",93
"2014-01-05",82
"2014-01-12",87
"2014-01-19",86
"2014-01-26",93
"2014-02-02",93
"2014-02-09",86
"2014-02-16",87
"2014-02-23",78
"2014-03-02",82
"2014-03-09",99
"2014-03-16",86
"2014-03-23",83
"2014-03-30",84
"2014-04-06",91
"2014-04-13",93
"2014-04-20",94
"2014-04-27",95
"2014-05-04",90
"2014-05-11",77
"2014-05-18",80
"2014-05-25",100
"2014-06-01",81
"2014-06-08",90
"2014-06-15",79
"2014-06-22",76
"2014-06-29",84
"2014-07-06",83
"2014-07-13",92
"2014-07-20",80
"2014-07-27",88
"2014-08-03",90
"2014-08-10",94
"2014-08-17",81
"2014-08-24",91
"2014-08-31",87
"2014-09-07",84
"2014-09-14",89
"2014-09-21",81
"2014-09-28",84
"2014-10-05",85
"2014-10-12",76
"2014-10-19",81
"2014-10-26",92
"2014-11-02",80
"2014-11-09",83
"2014-11-16",81
"2014-11-23",78
"2014-11-30",75
"2014-12-07",76
"2014-12-14",70
"2014-12-21",77
"2014-12-28",83
"2015-01-04",77
"2015-01-11",73
"2015-01-18",70
"2015-01-25",84
"2015-02-01",85
"2015-02-08",74
"2015-02-15",73
"2015-02-22",82
"2015-03-01",91
"2015-03-08",74
"2015-03-15",78
"2015-03-22",77
"2015-03-29",71
"2015-04-05",76
"2015-04-12",70
"2015-04-19",74
"2015-04-26",77
"2015-05-03",62
"2015-05-10",78
"2015-05-17",69
"2015-05-24",72
"2015-05-31",72
"2015-06-07",71
"2015-06-14",71
"2015-06-21",74
"2015-06-28",80
"2015-07-05",78
"2015-07-12",63
"2015-07-19",72
"2015-07-26",63
"2015-08-02",79
"2015-08-09",75
"2015-08-16",69
"2015-08-23",83
"2015-08-30",76
"2015-09-06",73
"2015-09-13",74
"2015-09-20",59
"2015-09-27",66
"2015-10-04",73
"2015-10-11",57
"2015-10-18",66
"2015-10-25",59
"2015-11-01",73
"2015-11-08",59
"2015-11-15",64
"2015-11-22",57
"2015-11-29",65
"2015-12-06",67
"2015-12-13",63
"2015-12-20",67
"2015-12-27",63
"2016-01-03",76
"2016-01-10",65
"2016-01-17",62
"2016-01-24",76
"2016-01-31",69
"2016-02-07",61
"2016-02-14",74
"2016-02-21",71
"2016-02-28",71
"2016-03-06",78
"2016-03-13",68
"2016-03-20",70
"2016-03-27",66
"2016-04-03",63
"2016-04-10",61
"2016-04-17",56
"2016-04-24",68
"2016-05-01",63
"2016-05-08",60
"2016-05-15",50
"2016-05-22",65
"2016-05-29",60
"2016-06-05",57
"2016-06-12",72
"2016-06-19",68
"2016-06-26",72
"2016-07-03",75
"2016-07-10",62
"2016-07-17",72
"2016-07-24",83
"2016-07-31",61
"2016-08-07",61
"2016-08-14",55
"2016-08-21",66
"2016-08-28",61
"2016-09-04",66
"2016-09-11",67
"2016-09-18",73
"2016-09-25",63
"2016-10-02",75
"2016-10-09",82
"2016-10-16",70
"2016-10-23",63
"2016-10-30",64
"2016-11-06",94
"2016-11-13",63
"2016-11-20",58
"2016-11-27",63
"2016-12-04",57
"2016-12-11",58
"2016-12-18",63
"2016-12-25",64
"2017-01-01",66
"2017-01-08",81
"2017-01-15",73
"2017-01-22",89
"2017-01-29",80
"2017-02-05",86
"2017-02-12",73
"2017-02-19",71
"2017-02-26",78
"2017-03-05",74
"2017-03-12",73
"2017-03-19",62
"2017-03-26",73
"2017-04-02",58
"2017-04-09",61
"2017-04-16",63
"2017-04-23",58
"2017-04-30",57
"2017-05-07",68
"2017-05-14",69
"2017-05-21",57
"2017-05-28",61
"2017-06-04",75
"2017-06-11",62
"2017-06-18",62
"2017-06-25",64
"2017-07-02",74
"2017-07-09",62
"2017-07-16",59
"2017-07-23",64
"2017-07-30",63
"2017-08-06",59
"2017-08-13",69
"2017-08-20",62
"2017-08-27",66
"2017-09-03",64
"2017-09-10",56
"2017-09-17",63
"2017-09-24",67
"2017-10-01",57
"2017-10-08",63
"2017-10-15",54
"2017-10-22",60
"2017-10-29",77
"2017-11-05",67
"2017-11-12",54
"2017-11-19",60
"2017-11-26",63
"2017-12-03",58
"2017-12-10",60
"2017-12-17",54
"2017-12-24",55
"2017-12-31",64
"2018-01-07",66
"2018-01-14",64
"2018-01-21",66
"2018-01-28",66
"2018-02-04",67
"2018-02-11",65
"2018-02-18",65
"2018-02-25",64
"2018-03-04",59
"2018-03-11",59
"2018-03-18",71
"2018-03-25",66
"2018-04-01",61
"2018-04-08",72
"2018-04-15",66
"2018-04-22",62
"2018-04-29",63
"2018-05-06",53
"2018-05-13",60
"2018-05-20",51
"2018-05-27",77
"2018-06-03",59
"2018-06-10",60
"2018-06-17",63
"2018-06-24",62
"2018-07-01",57
"2018-07-08",59
"2018-07-15",61
"2018-07-22",60
"2018-07-29",54
"2018-08-05",68
"2018-08-12",66
"2018-08-19",65
"2018-08-26",57
"2018-09-02",63
"2018-09-09",72
"2018-09-16",58
"2018-09-23",68
"2018-09-30",59
"2018-10-07",57
"2018-10-14",58
"2018-10-21",48
"2018-10-28",65
"2018-11-04",56
"2018-11-11",58
"2018-11-18",55
