"date","new jersey"
"2013-12-01",89
"2013-12-08",85
"2013-12-15",85
"2013-12-22",92
"2013-12-29",100
"2014-01-05",91
"2014-01-12",86
"2014-01-19",93
"2014-01-26",86
"2014-02-02",94
"2014-02-09",87
"2014-02-16",86
"2014-02-23",85
"2014-03-02",95
"2014-03-09",92
"2014-03-16",85
"2014-03-23",84
"2014-03-30",87
"2014-04-06",82
"2014-04-13",88
"2014-04-20",85
"2014-04-27",85
"2014-05-04",85
"2014-05-11",86
"2014-05-18",87
"2014-05-25",85
"2014-06-01",84
"2014-06-08",82
"2014-06-15",84
"2014-06-22",83
"2014-06-29",89
"2014-07-06",91
"2014-07-13",85
"2014-07-20",86
"2014-07-27",86
"2014-08-03",86
"2014-08-10",95
"2014-08-17",86
"2014-08-24",86
"2014-08-31",91
"2014-09-07",82
"2014-09-14",81
"2014-09-21",81
"2014-09-28",76
"2014-10-05",72
"2014-10-12",73
"2014-10-19",74
"2014-10-26",77
"2014-11-02",73
"2014-11-09",76
"2014-11-16",71
"2014-11-23",77
"2014-11-30",69
"2014-12-07",69
"2014-12-14",68
"2014-12-21",74
"2014-12-28",83
"2015-01-04",76
"2015-01-11",71
"2015-01-18",68
"2015-01-25",77
"2015-02-01",74
"2015-02-08",72
"2015-02-15",79
"2015-02-22",76
"2015-03-01",77
"2015-03-08",74
"2015-03-15",74
"2015-03-22",69
"2015-03-29",68
"2015-04-05",68
"2015-04-12",67
"2015-04-19",64
"2015-04-26",68
"2015-05-03",67
"2015-05-10",67
"2015-05-17",66
"2015-05-24",66
"2015-05-31",66
"2015-06-07",65
"2015-06-14",65
"2015-06-21",70
"2015-06-28",66
"2015-07-05",71
"2015-07-12",71
"2015-07-19",78
"2015-07-26",78
"2015-08-02",71
"2015-08-09",71
"2015-08-16",71
"2015-08-23",72
"2015-08-30",74
"2015-09-06",65
"2015-09-13",65
"2015-09-20",63
"2015-09-27",65
"2015-10-04",64
"2015-10-11",67
"2015-10-18",63
"2015-10-25",62
"2015-11-01",66
"2015-11-08",65
"2015-11-15",64
"2015-11-22",57
"2015-11-29",61
"2015-12-06",63
"2015-12-13",61
"2015-12-20",64
"2015-12-27",64
"2016-01-03",57
"2016-01-10",59
"2016-01-17",65
"2016-01-24",74
"2016-01-31",65
"2016-02-07",63
"2016-02-14",69
"2016-02-21",63
"2016-02-28",64
"2016-03-06",69
"2016-03-13",59
"2016-03-20",62
"2016-03-27",60
"2016-04-03",57
"2016-04-10",59
"2016-04-17",60
"2016-04-24",58
"2016-05-01",56
"2016-05-08",58
"2016-05-15",56
"2016-05-22",58
"2016-05-29",60
"2016-06-05",62
"2016-06-12",66
"2016-06-19",64
"2016-06-26",60
"2016-07-03",66
"2016-07-10",63
"2016-07-17",71
"2016-07-24",74
"2016-07-31",64
"2016-08-07",62
"2016-08-14",58
"2016-08-21",60
"2016-08-28",64
"2016-09-04",59
"2016-09-11",58
"2016-09-18",59
"2016-09-25",63
"2016-10-02",67
"2016-10-09",71
"2016-10-16",71
"2016-10-23",61
"2016-10-30",60
"2016-11-06",83
"2016-11-13",61
"2016-11-20",59
"2016-11-27",54
"2016-12-04",57
"2016-12-11",55
"2016-12-18",53
"2016-12-25",57
"2017-01-01",62
"2017-01-08",64
"2017-01-15",73
"2017-01-22",71
"2017-01-29",70
"2017-02-05",75
"2017-02-12",71
"2017-02-19",62
"2017-02-26",69
"2017-03-05",67
"2017-03-12",67
"2017-03-19",62
"2017-03-26",58
"2017-04-02",58
"2017-04-09",56
"2017-04-16",55
"2017-04-23",57
"2017-04-30",58
"2017-05-07",61
"2017-05-14",60
"2017-05-21",57
"2017-05-28",60
"2017-06-04",62
"2017-06-11",58
"2017-06-18",58
"2017-06-25",65
"2017-07-02",68
"2017-07-09",60
"2017-07-16",61
"2017-07-23",61
"2017-07-30",61
"2017-08-06",59
"2017-08-13",67
"2017-08-20",61
"2017-08-27",61
"2017-09-03",53
"2017-09-10",53
"2017-09-17",55
"2017-09-24",65
"2017-10-01",56
"2017-10-08",57
"2017-10-15",53
"2017-10-22",53
"2017-10-29",62
"2017-11-05",57
"2017-11-12",54
"2017-11-19",52
"2017-11-26",56
"2017-12-03",54
"2017-12-10",61
"2017-12-17",53
"2017-12-24",55
"2017-12-31",66
"2018-01-07",61
"2018-01-14",61
"2018-01-21",57
"2018-01-28",61
"2018-02-04",64
"2018-02-11",55
"2018-02-18",57
"2018-02-25",58
"2018-03-04",63
"2018-03-11",58
"2018-03-18",62
"2018-03-25",55
"2018-04-01",60
"2018-04-08",59
"2018-04-15",57
"2018-04-22",61
"2018-04-29",57
"2018-05-06",52
"2018-05-13",55
"2018-05-20",52
"2018-05-27",65
"2018-06-03",53
"2018-06-10",55
"2018-06-17",57
"2018-06-24",58
"2018-07-01",59
"2018-07-08",52
"2018-07-15",58
"2018-07-22",58
"2018-07-29",55
"2018-08-05",59
"2018-08-12",54
"2018-08-19",58
"2018-08-26",57
"2018-09-02",60
"2018-09-09",59
"2018-09-16",55
"2018-09-23",59
"2018-09-30",55
"2018-10-07",53
"2018-10-14",50
"2018-10-21",55
"2018-10-28",53
"2018-11-04",54
"2018-11-11",54
"2018-11-18",47
