"date","new mexico"
"2013-12-01",100
"2013-12-08",87
"2013-12-15",75
"2013-12-22",87
"2013-12-29",85
"2014-01-05",84
"2014-01-12",90
"2014-01-19",84
"2014-01-26",82
"2014-02-02",82
"2014-02-09",85
"2014-02-16",78
"2014-02-23",77
"2014-03-02",80
"2014-03-09",76
"2014-03-16",90
"2014-03-23",78
"2014-03-30",77
"2014-04-06",92
"2014-04-13",81
"2014-04-20",92
"2014-04-27",86
"2014-05-04",79
"2014-05-11",85
"2014-05-18",83
"2014-05-25",83
"2014-06-01",94
"2014-06-08",85
"2014-06-15",78
"2014-06-22",83
"2014-06-29",90
"2014-07-06",93
"2014-07-13",86
"2014-07-20",94
"2014-07-27",94
"2014-08-03",83
"2014-08-10",94
"2014-08-17",87
"2014-08-24",85
"2014-08-31",89
"2014-09-07",75
"2014-09-14",83
"2014-09-21",81
"2014-09-28",86
"2014-10-05",79
"2014-10-12",75
"2014-10-19",81
"2014-10-26",76
"2014-11-02",75
"2014-11-09",67
"2014-11-16",71
"2014-11-23",75
"2014-11-30",73
"2014-12-07",80
"2014-12-14",70
"2014-12-21",84
"2014-12-28",86
"2015-01-04",86
"2015-01-11",78
"2015-01-18",70
"2015-01-25",82
"2015-02-01",84
"2015-02-08",77
"2015-02-15",74
"2015-02-22",72
"2015-03-01",70
"2015-03-08",70
"2015-03-15",66
"2015-03-22",76
"2015-03-29",74
"2015-04-05",75
"2015-04-12",71
"2015-04-19",60
"2015-04-26",66
"2015-05-03",77
"2015-05-10",64
"2015-05-17",85
"2015-05-24",66
"2015-05-31",75
"2015-06-07",67
"2015-06-14",64
"2015-06-21",72
"2015-06-28",87
"2015-07-05",83
"2015-07-12",83
"2015-07-19",80
"2015-07-26",81
"2015-08-02",71
"2015-08-09",61
"2015-08-16",66
"2015-08-23",67
"2015-08-30",66
"2015-09-06",73
"2015-09-13",70
"2015-09-20",53
"2015-09-27",59
"2015-10-04",57
"2015-10-11",72
"2015-10-18",56
"2015-10-25",55
"2015-11-01",62
"2015-11-08",64
"2015-11-15",67
"2015-11-22",64
"2015-11-29",57
"2015-12-06",56
"2015-12-13",61
"2015-12-20",69
"2015-12-27",67
"2016-01-03",62
"2016-01-10",62
"2016-01-17",62
"2016-01-24",66
"2016-01-31",60
"2016-02-07",57
"2016-02-14",57
"2016-02-21",61
"2016-02-28",61
"2016-03-06",65
"2016-03-13",57
"2016-03-20",60
"2016-03-27",63
"2016-04-03",57
"2016-04-10",58
"2016-04-17",60
"2016-04-24",61
"2016-05-01",67
"2016-05-08",58
"2016-05-15",58
"2016-05-22",62
"2016-05-29",65
"2016-06-05",65
"2016-06-12",74
"2016-06-19",68
"2016-06-26",65
"2016-07-03",68
"2016-07-10",55
"2016-07-17",79
"2016-07-24",77
"2016-07-31",67
"2016-08-07",60
"2016-08-14",59
"2016-08-21",61
"2016-08-28",63
"2016-09-04",64
"2016-09-11",60
"2016-09-18",54
"2016-09-25",66
"2016-10-02",66
"2016-10-09",67
"2016-10-16",70
"2016-10-23",61
"2016-10-30",62
"2016-11-06",100
"2016-11-13",62
"2016-11-20",59
"2016-11-27",55
"2016-12-04",54
"2016-12-11",61
"2016-12-18",60
"2016-12-25",63
"2017-01-01",71
"2017-01-08",59
"2017-01-15",70
"2017-01-22",79
"2017-01-29",71
"2017-02-05",76
"2017-02-12",72
"2017-02-19",66
"2017-02-26",66
"2017-03-05",69
"2017-03-12",74
"2017-03-19",65
"2017-03-26",67
"2017-04-02",61
"2017-04-09",66
"2017-04-16",63
"2017-04-23",61
"2017-04-30",59
"2017-05-07",68
"2017-05-14",59
"2017-05-21",65
"2017-05-28",65
"2017-06-04",74
"2017-06-11",58
"2017-06-18",67
"2017-06-25",62
"2017-07-02",81
"2017-07-09",69
"2017-07-16",70
"2017-07-23",68
"2017-07-30",61
"2017-08-06",62
"2017-08-13",75
"2017-08-20",65
"2017-08-27",61
"2017-09-03",54
"2017-09-10",51
"2017-09-17",60
"2017-09-24",76
"2017-10-01",61
"2017-10-08",57
"2017-10-15",56
"2017-10-22",54
"2017-10-29",62
"2017-11-05",61
"2017-11-12",65
"2017-11-19",54
"2017-11-26",66
"2017-12-03",58
"2017-12-10",70
"2017-12-17",59
"2017-12-24",58
"2017-12-31",67
"2018-01-07",76
"2018-01-14",64
"2018-01-21",61
"2018-01-28",60
"2018-02-04",68
"2018-02-11",60
"2018-02-18",72
"2018-02-25",65
"2018-03-04",60
"2018-03-11",65
"2018-03-18",63
"2018-03-25",68
"2018-04-01",61
"2018-04-08",68
"2018-04-15",61
"2018-04-22",72
"2018-04-29",63
"2018-05-06",65
"2018-05-13",58
"2018-05-20",55
"2018-05-27",85
"2018-06-03",67
"2018-06-10",65
"2018-06-17",65
"2018-06-24",71
"2018-07-01",63
"2018-07-08",65
"2018-07-15",67
"2018-07-22",72
"2018-07-29",66
"2018-08-05",61
"2018-08-12",64
"2018-08-19",67
"2018-08-26",66
"2018-09-02",67
"2018-09-09",64
"2018-09-16",69
"2018-09-23",63
"2018-09-30",59
"2018-10-07",67
"2018-10-14",63
"2018-10-21",57
"2018-10-28",68
"2018-11-04",64
"2018-11-11",65
"2018-11-18",53
