"date","north carolina"
"2013-12-01",94
"2013-12-08",88
"2013-12-15",92
"2013-12-22",93
"2013-12-29",96
"2014-01-05",88
"2014-01-12",88
"2014-01-19",91
"2014-01-26",100
"2014-02-02",91
"2014-02-09",99
"2014-02-16",88
"2014-02-23",89
"2014-03-02",93
"2014-03-09",91
"2014-03-16",90
"2014-03-23",86
"2014-03-30",89
"2014-04-06",82
"2014-04-13",87
"2014-04-20",87
"2014-04-27",87
"2014-05-04",86
"2014-05-11",91
"2014-05-18",87
"2014-05-25",89
"2014-06-01",88
"2014-06-08",84
"2014-06-15",87
"2014-06-22",83
"2014-06-29",85
"2014-07-06",89
"2014-07-13",90
"2014-07-20",86
"2014-07-27",88
"2014-08-03",84
"2014-08-10",94
"2014-08-17",90
"2014-08-24",83
"2014-08-31",84
"2014-09-07",79
"2014-09-14",79
"2014-09-21",80
"2014-09-28",76
"2014-10-05",81
"2014-10-12",81
"2014-10-19",77
"2014-10-26",74
"2014-11-02",75
"2014-11-09",76
"2014-11-16",76
"2014-11-23",75
"2014-11-30",71
"2014-12-07",68
"2014-12-14",68
"2014-12-21",77
"2014-12-28",80
"2015-01-04",79
"2015-01-11",79
"2015-01-18",75
"2015-01-25",71
"2015-02-01",78
"2015-02-08",71
"2015-02-15",91
"2015-02-22",90
"2015-03-01",79
"2015-03-08",74
"2015-03-15",71
"2015-03-22",71
"2015-03-29",68
"2015-04-05",68
"2015-04-12",65
"2015-04-19",68
"2015-04-26",66
"2015-05-03",70
"2015-05-10",66
"2015-05-17",65
"2015-05-24",62
"2015-05-31",64
"2015-06-07",67
"2015-06-14",68
"2015-06-21",67
"2015-06-28",66
"2015-07-05",68
"2015-07-12",75
"2015-07-19",79
"2015-07-26",75
"2015-08-02",71
"2015-08-09",66
"2015-08-16",69
"2015-08-23",72
"2015-08-30",70
"2015-09-06",63
"2015-09-13",62
"2015-09-20",62
"2015-09-27",65
"2015-10-04",63
"2015-10-11",67
"2015-10-18",62
"2015-10-25",61
"2015-11-01",64
"2015-11-08",64
"2015-11-15",64
"2015-11-22",58
"2015-11-29",59
"2015-12-06",59
"2015-12-13",55
"2015-12-20",62
"2015-12-27",62
"2016-01-03",60
"2016-01-10",60
"2016-01-17",71
"2016-01-24",77
"2016-01-31",65
"2016-02-07",66
"2016-02-14",76
"2016-02-21",62
"2016-02-28",66
"2016-03-06",63
"2016-03-13",62
"2016-03-20",63
"2016-03-27",65
"2016-04-03",65
"2016-04-10",59
"2016-04-17",60
"2016-04-24",63
"2016-05-01",61
"2016-05-08",56
"2016-05-15",61
"2016-05-22",61
"2016-05-29",58
"2016-06-05",63
"2016-06-12",69
"2016-06-19",65
"2016-06-26",61
"2016-07-03",66
"2016-07-10",63
"2016-07-17",74
"2016-07-24",73
"2016-07-31",66
"2016-08-07",61
"2016-08-14",59
"2016-08-21",61
"2016-08-28",63
"2016-09-04",57
"2016-09-11",58
"2016-09-18",62
"2016-09-25",66
"2016-10-02",67
"2016-10-09",76
"2016-10-16",69
"2016-10-23",59
"2016-10-30",61
"2016-11-06",81
"2016-11-13",56
"2016-11-20",56
"2016-11-27",59
"2016-12-04",56
"2016-12-11",57
"2016-12-18",55
"2016-12-25",53
"2017-01-01",66
"2017-01-08",78
"2017-01-15",71
"2017-01-22",74
"2017-01-29",74
"2017-02-05",70
"2017-02-12",69
"2017-02-19",62
"2017-02-26",66
"2017-03-05",65
"2017-03-12",63
"2017-03-19",61
"2017-03-26",60
"2017-04-02",60
"2017-04-09",60
"2017-04-16",57
"2017-04-23",58
"2017-04-30",59
"2017-05-07",65
"2017-05-14",63
"2017-05-21",60
"2017-05-28",58
"2017-06-04",66
"2017-06-11",59
"2017-06-18",59
"2017-06-25",63
"2017-07-02",68
"2017-07-09",57
"2017-07-16",63
"2017-07-23",67
"2017-07-30",63
"2017-08-06",64
"2017-08-13",70
"2017-08-20",64
"2017-08-27",62
"2017-09-03",57
"2017-09-10",60
"2017-09-17",56
"2017-09-24",64
"2017-10-01",60
"2017-10-08",60
"2017-10-15",56
"2017-10-22",55
"2017-10-29",64
"2017-11-05",58
"2017-11-12",57
"2017-11-19",53
"2017-11-26",60
"2017-12-03",58
"2017-12-10",59
"2017-12-17",58
"2017-12-24",53
"2017-12-31",70
"2018-01-07",66
"2018-01-14",73
"2018-01-21",60
"2018-01-28",63
"2018-02-04",60
"2018-02-11",57
"2018-02-18",59
"2018-02-25",57
"2018-03-04",54
"2018-03-11",67
"2018-03-18",66
"2018-03-25",56
"2018-04-01",59
"2018-04-08",63
"2018-04-15",61
"2018-04-22",64
"2018-04-29",58
"2018-05-06",54
"2018-05-13",56
"2018-05-20",57
"2018-05-27",72
"2018-06-03",58
"2018-06-10",61
"2018-06-17",61
"2018-06-24",62
"2018-07-01",58
"2018-07-08",58
"2018-07-15",59
"2018-07-22",60
"2018-07-29",59
"2018-08-05",60
"2018-08-12",61
"2018-08-19",64
"2018-08-26",64
"2018-09-02",66
"2018-09-09",74
"2018-09-16",70
"2018-09-23",62
"2018-09-30",56
"2018-10-07",65
"2018-10-14",56
"2018-10-21",54
"2018-10-28",57
"2018-11-04",56
"2018-11-11",56
"2018-11-18",49
