"date","north dakota"
"2013-12-01",69
"2013-12-08",93
"2013-12-15",71
"2013-12-22",74
"2013-12-29",90
"2014-01-05",83
"2014-01-12",69
"2014-01-19",83
"2014-01-26",89
"2014-02-02",85
"2014-02-09",71
"2014-02-16",76
"2014-02-23",89
"2014-03-02",76
"2014-03-09",84
"2014-03-16",83
"2014-03-23",74
"2014-03-30",69
"2014-04-06",76
"2014-04-13",81
"2014-04-20",65
"2014-04-27",81
"2014-05-04",85
"2014-05-11",69
"2014-05-18",64
"2014-05-25",77
"2014-06-01",69
"2014-06-08",83
"2014-06-15",66
"2014-06-22",71
"2014-06-29",79
"2014-07-06",68
"2014-07-13",75
"2014-07-20",85
"2014-07-27",80
"2014-08-03",81
"2014-08-10",100
"2014-08-17",74
"2014-08-24",76
"2014-08-31",92
"2014-09-07",70
"2014-09-14",63
"2014-09-21",75
"2014-09-28",76
"2014-10-05",67
"2014-10-12",68
"2014-10-19",70
"2014-10-26",64
"2014-11-02",66
"2014-11-09",87
"2014-11-16",70
"2014-11-23",56
"2014-11-30",52
"2014-12-07",68
"2014-12-14",60
"2014-12-21",54
"2014-12-28",83
"2015-01-04",76
"2015-01-11",69
"2015-01-18",82
"2015-01-25",76
"2015-02-01",82
"2015-02-08",68
"2015-02-15",78
"2015-02-22",66
"2015-03-01",63
"2015-03-08",62
"2015-03-15",75
"2015-03-22",83
"2015-03-29",61
"2015-04-05",51
"2015-04-12",68
"2015-04-19",67
"2015-04-26",62
"2015-05-03",64
"2015-05-10",57
"2015-05-17",57
"2015-05-24",65
"2015-05-31",61
"2015-06-07",67
"2015-06-14",46
"2015-06-21",61
"2015-06-28",60
"2015-07-05",48
"2015-07-12",55
"2015-07-19",72
"2015-07-26",59
"2015-08-02",55
"2015-08-09",64
"2015-08-16",67
"2015-08-23",65
"2015-08-30",63
"2015-09-06",63
"2015-09-13",54
"2015-09-20",52
"2015-09-27",66
"2015-10-04",52
"2015-10-11",55
"2015-10-18",56
"2015-10-25",51
"2015-11-01",66
"2015-11-08",69
"2015-11-15",60
"2015-11-22",58
"2015-11-29",48
"2015-12-06",48
"2015-12-13",45
"2015-12-20",51
"2015-12-27",57
"2016-01-03",51
"2016-01-10",62
"2016-01-17",63
"2016-01-24",61
"2016-01-31",56
"2016-02-07",58
"2016-02-14",60
"2016-02-21",69
"2016-02-28",63
"2016-03-06",67
"2016-03-13",55
"2016-03-20",58
"2016-03-27",60
"2016-04-03",62
"2016-04-10",47
"2016-04-17",56
"2016-04-24",68
"2016-05-01",51
"2016-05-08",42
"2016-05-15",50
"2016-05-22",49
"2016-05-29",48
"2016-06-05",50
"2016-06-12",56
"2016-06-19",57
"2016-06-26",63
"2016-07-03",62
"2016-07-10",51
"2016-07-17",56
"2016-07-24",60
"2016-07-31",63
"2016-08-07",49
"2016-08-14",50
"2016-08-21",62
"2016-08-28",53
"2016-09-04",45
"2016-09-11",60
"2016-09-18",57
"2016-09-25",54
"2016-10-02",58
"2016-10-09",62
"2016-10-16",54
"2016-10-23",58
"2016-10-30",49
"2016-11-06",66
"2016-11-13",50
"2016-11-20",56
"2016-11-27",54
"2016-12-04",50
"2016-12-11",49
"2016-12-18",44
"2016-12-25",47
"2017-01-01",53
"2017-01-08",61
"2017-01-15",47
"2017-01-22",62
"2017-01-29",66
"2017-02-05",70
"2017-02-12",68
"2017-02-19",54
"2017-02-26",64
"2017-03-05",60
"2017-03-12",53
"2017-03-19",58
"2017-03-26",64
"2017-04-02",52
"2017-04-09",51
"2017-04-16",46
"2017-04-23",49
"2017-04-30",60
"2017-05-07",52
"2017-05-14",57
"2017-05-21",46
"2017-05-28",56
"2017-06-04",47
"2017-06-11",51
"2017-06-18",43
"2017-06-25",48
"2017-07-02",60
"2017-07-09",50
"2017-07-16",47
"2017-07-23",61
"2017-07-30",58
"2017-08-06",54
"2017-08-13",64
"2017-08-20",48
"2017-08-27",55
"2017-09-03",52
"2017-09-10",50
"2017-09-17",47
"2017-09-24",55
"2017-10-01",50
"2017-10-08",44
"2017-10-15",45
"2017-10-22",48
"2017-10-29",60
"2017-11-05",58
"2017-11-12",45
"2017-11-19",39
"2017-11-26",49
"2017-12-03",49
"2017-12-10",55
"2017-12-17",44
"2017-12-24",48
"2017-12-31",62
"2018-01-07",59
"2018-01-14",58
"2018-01-21",62
"2018-01-28",55
"2018-02-04",55
"2018-02-11",47
"2018-02-18",55
"2018-02-25",48
"2018-03-04",58
"2018-03-11",50
"2018-03-18",52
"2018-03-25",44
"2018-04-01",50
"2018-04-08",54
"2018-04-15",46
"2018-04-22",57
"2018-04-29",48
"2018-05-06",41
"2018-05-13",48
"2018-05-20",51
"2018-05-27",62
"2018-06-03",37
"2018-06-10",47
"2018-06-17",46
"2018-06-24",54
"2018-07-01",48
"2018-07-08",40
"2018-07-15",52
"2018-07-22",39
"2018-07-29",38
"2018-08-05",54
"2018-08-12",47
"2018-08-19",53
"2018-08-26",50
"2018-09-02",50
"2018-09-09",50
"2018-09-16",47
"2018-09-23",50
"2018-09-30",48
"2018-10-07",40
"2018-10-14",47
"2018-10-21",41
"2018-10-28",56
"2018-11-04",50
"2018-11-11",51
"2018-11-18",36
