"date","oregon"
"2013-12-01",72
"2013-12-08",79
"2013-12-15",92
"2013-12-22",80
"2013-12-29",81
"2014-01-05",73
"2014-01-12",69
"2014-01-19",71
"2014-01-26",71
"2014-02-02",78
"2014-02-09",79
"2014-02-16",75
"2014-02-23",82
"2014-03-02",65
"2014-03-09",65
"2014-03-16",62
"2014-03-23",62
"2014-03-30",82
"2014-04-06",81
"2014-04-13",72
"2014-04-20",70
"2014-04-27",72
"2014-05-04",68
"2014-05-11",68
"2014-05-18",67
"2014-05-25",65
"2014-06-01",69
"2014-06-08",72
"2014-06-15",68
"2014-06-22",66
"2014-06-29",72
"2014-07-06",74
"2014-07-13",77
"2014-07-20",79
"2014-07-27",74
"2014-08-03",72
"2014-08-10",68
"2014-08-17",68
"2014-08-24",73
"2014-08-31",72
"2014-09-07",67
"2014-09-14",66
"2014-09-21",64
"2014-09-28",83
"2014-10-05",93
"2014-10-12",94
"2014-10-19",90
"2014-10-26",97
"2014-11-02",95
"2014-11-09",86
"2014-11-16",85
"2014-11-23",87
"2014-11-30",88
"2014-12-07",91
"2014-12-14",92
"2014-12-21",96
"2014-12-28",100
"2015-01-04",91
"2015-01-11",84
"2015-01-18",85
"2015-01-25",87
"2015-02-01",89
"2015-02-08",77
"2015-02-15",80
"2015-02-22",77
"2015-03-01",76
"2015-03-08",71
"2015-03-15",74
"2015-03-22",76
"2015-03-29",75
"2015-04-05",73
"2015-04-12",72
"2015-04-19",68
"2015-04-26",72
"2015-05-03",69
"2015-05-10",58
"2015-05-17",54
"2015-05-24",57
"2015-05-31",55
"2015-06-07",53
"2015-06-14",57
"2015-06-21",56
"2015-06-28",61
"2015-07-05",60
"2015-07-12",58
"2015-07-19",55
"2015-07-26",53
"2015-08-02",56
"2015-08-09",53
"2015-08-16",53
"2015-08-23",52
"2015-08-30",52
"2015-09-06",51
"2015-09-13",49
"2015-09-20",46
"2015-09-27",52
"2015-10-04",48
"2015-10-11",52
"2015-10-18",51
"2015-10-25",51
"2015-11-01",54
"2015-11-08",54
"2015-11-15",53
"2015-11-22",50
"2015-11-29",49
"2015-12-06",49
"2015-12-13",51
"2015-12-20",48
"2015-12-27",48
"2016-01-03",51
"2016-01-10",50
"2016-01-17",51
"2016-01-24",52
"2016-01-31",48
"2016-02-07",49
"2016-02-14",53
"2016-02-21",50
"2016-02-28",54
"2016-03-06",55
"2016-03-13",46
"2016-03-20",51
"2016-03-27",49
"2016-04-03",50
"2016-04-10",47
"2016-04-17",47
"2016-04-24",47
"2016-05-01",48
"2016-05-08",47
"2016-05-15",51
"2016-05-22",50
"2016-05-29",50
"2016-06-05",55
"2016-06-12",59
"2016-06-19",53
"2016-06-26",51
"2016-07-03",55
"2016-07-10",51
"2016-07-17",55
"2016-07-24",55
"2016-07-31",49
"2016-08-07",44
"2016-08-14",41
"2016-08-21",43
"2016-08-28",43
"2016-09-04",39
"2016-09-11",39
"2016-09-18",43
"2016-09-25",50
"2016-10-02",51
"2016-10-09",58
"2016-10-16",58
"2016-10-23",48
"2016-10-30",47
"2016-11-06",83
"2016-11-13",58
"2016-11-20",47
"2016-11-27",50
"2016-12-04",55
"2016-12-11",48
"2016-12-18",47
"2016-12-25",44
"2017-01-01",54
"2017-01-08",71
"2017-01-15",75
"2017-01-22",72
"2017-01-29",71
"2017-02-05",69
"2017-02-12",60
"2017-02-19",58
"2017-02-26",60
"2017-03-05",58
"2017-03-12",52
"2017-03-19",53
"2017-03-26",55
"2017-04-02",50
"2017-04-09",51
"2017-04-16",46
"2017-04-23",46
"2017-04-30",51
"2017-05-07",57
"2017-05-14",56
"2017-05-21",49
"2017-05-28",52
"2017-06-04",62
"2017-06-11",50
"2017-06-18",48
"2017-06-25",51
"2017-07-02",55
"2017-07-09",52
"2017-07-16",57
"2017-07-23",55
"2017-07-30",51
"2017-08-06",50
"2017-08-13",59
"2017-08-20",50
"2017-08-27",49
"2017-09-03",49
"2017-09-10",48
"2017-09-17",47
"2017-09-24",52
"2017-10-01",52
"2017-10-08",53
"2017-10-15",44
"2017-10-22",41
"2017-10-29",51
"2017-11-05",48
"2017-11-12",50
"2017-11-19",44
"2017-11-26",55
"2017-12-03",56
"2017-12-10",56
"2017-12-17",49
"2017-12-24",43
"2017-12-31",51
"2018-01-07",52
"2018-01-14",51
"2018-01-21",52
"2018-01-28",50
"2018-02-04",56
"2018-02-11",43
"2018-02-18",58
"2018-02-25",50
"2018-03-04",45
"2018-03-11",48
"2018-03-18",46
"2018-03-25",48
"2018-04-01",48
"2018-04-08",52
"2018-04-15",52
"2018-04-22",51
"2018-04-29",49
"2018-05-06",45
"2018-05-13",48
"2018-05-20",47
"2018-05-27",60
"2018-06-03",45
"2018-06-10",47
"2018-06-17",52
"2018-06-24",54
"2018-07-01",46
"2018-07-08",48
"2018-07-15",53
"2018-07-22",55
"2018-07-29",50
"2018-08-05",53
"2018-08-12",54
"2018-08-19",60
"2018-08-26",56
"2018-09-02",61
"2018-09-09",52
"2018-09-16",53
"2018-09-23",58
"2018-09-30",51
"2018-10-07",49
"2018-10-14",51
"2018-10-21",49
"2018-10-28",53
"2018-11-04",53
"2018-11-11",50
"2018-11-18",50
