"date","pennsylvania"
"2013-12-01",94
"2013-12-08",89
"2013-12-15",92
"2013-12-22",93
"2013-12-29",97
"2014-01-05",90
"2014-01-12",93
"2014-01-19",95
"2014-01-26",95
"2014-02-02",100
"2014-02-09",98
"2014-02-16",92
"2014-02-23",91
"2014-03-02",94
"2014-03-09",91
"2014-03-16",86
"2014-03-23",92
"2014-03-30",88
"2014-04-06",89
"2014-04-13",90
"2014-04-20",87
"2014-04-27",88
"2014-05-04",86
"2014-05-11",94
"2014-05-18",88
"2014-05-25",89
"2014-06-01",90
"2014-06-08",91
"2014-06-15",85
"2014-06-22",91
"2014-06-29",93
"2014-07-06",94
"2014-07-13",87
"2014-07-20",83
"2014-07-27",86
"2014-08-03",89
"2014-08-10",92
"2014-08-17",89
"2014-08-24",90
"2014-08-31",91
"2014-09-07",86
"2014-09-14",87
"2014-09-21",89
"2014-09-28",83
"2014-10-05",81
"2014-10-12",85
"2014-10-19",83
"2014-10-26",81
"2014-11-02",77
"2014-11-09",82
"2014-11-16",79
"2014-11-23",79
"2014-11-30",75
"2014-12-07",76
"2014-12-14",74
"2014-12-21",81
"2014-12-28",85
"2015-01-04",77
"2015-01-11",74
"2015-01-18",78
"2015-01-25",80
"2015-02-01",78
"2015-02-08",75
"2015-02-15",84
"2015-02-22",78
"2015-03-01",81
"2015-03-08",81
"2015-03-15",77
"2015-03-22",77
"2015-03-29",76
"2015-04-05",75
"2015-04-12",71
"2015-04-19",74
"2015-04-26",78
"2015-05-03",73
"2015-05-10",73
"2015-05-17",70
"2015-05-24",68
"2015-05-31",71
"2015-06-07",68
"2015-06-14",70
"2015-06-21",77
"2015-06-28",77
"2015-07-05",74
"2015-07-12",76
"2015-07-19",82
"2015-07-26",78
"2015-08-02",75
"2015-08-09",74
"2015-08-16",76
"2015-08-23",76
"2015-08-30",73
"2015-09-06",71
"2015-09-13",71
"2015-09-20",69
"2015-09-27",69
"2015-10-04",69
"2015-10-11",71
"2015-10-18",64
"2015-10-25",69
"2015-11-01",70
"2015-11-08",72
"2015-11-15",70
"2015-11-22",64
"2015-11-29",66
"2015-12-06",70
"2015-12-13",65
"2015-12-20",68
"2015-12-27",67
"2016-01-03",66
"2016-01-10",71
"2016-01-17",74
"2016-01-24",81
"2016-01-31",69
"2016-02-07",71
"2016-02-14",77
"2016-02-21",69
"2016-02-28",69
"2016-03-06",74
"2016-03-13",67
"2016-03-20",70
"2016-03-27",65
"2016-04-03",68
"2016-04-10",66
"2016-04-17",64
"2016-04-24",68
"2016-05-01",65
"2016-05-08",66
"2016-05-15",61
"2016-05-22",68
"2016-05-29",65
"2016-06-05",67
"2016-06-12",76
"2016-06-19",74
"2016-06-26",68
"2016-07-03",72
"2016-07-10",66
"2016-07-17",77
"2016-07-24",81
"2016-07-31",69
"2016-08-07",64
"2016-08-14",62
"2016-08-21",66
"2016-08-28",66
"2016-09-04",64
"2016-09-11",67
"2016-09-18",63
"2016-09-25",73
"2016-10-02",71
"2016-10-09",78
"2016-10-16",76
"2016-10-23",68
"2016-10-30",68
"2016-11-06",86
"2016-11-13",62
"2016-11-20",60
"2016-11-27",61
"2016-12-04",62
"2016-12-11",59
"2016-12-18",61
"2016-12-25",60
"2017-01-01",68
"2017-01-08",75
"2017-01-15",80
"2017-01-22",79
"2017-01-29",79
"2017-02-05",83
"2017-02-12",76
"2017-02-19",69
"2017-02-26",73
"2017-03-05",69
"2017-03-12",71
"2017-03-19",70
"2017-03-26",64
"2017-04-02",65
"2017-04-09",63
"2017-04-16",62
"2017-04-23",65
"2017-04-30",61
"2017-05-07",64
"2017-05-14",68
"2017-05-21",64
"2017-05-28",67
"2017-06-04",72
"2017-06-11",69
"2017-06-18",65
"2017-06-25",69
"2017-07-02",74
"2017-07-09",67
"2017-07-16",67
"2017-07-23",68
"2017-07-30",64
"2017-08-06",63
"2017-08-13",74
"2017-08-20",65
"2017-08-27",66
"2017-09-03",59
"2017-09-10",64
"2017-09-17",60
"2017-09-24",73
"2017-10-01",65
"2017-10-08",63
"2017-10-15",59
"2017-10-22",61
"2017-10-29",66
"2017-11-05",66
"2017-11-12",61
"2017-11-19",58
"2017-11-26",65
"2017-12-03",59
"2017-12-10",70
"2017-12-17",60
"2017-12-24",56
"2017-12-31",71
"2018-01-07",69
"2018-01-14",67
"2018-01-21",65
"2018-01-28",67
"2018-02-04",77
"2018-02-11",63
"2018-02-18",64
"2018-02-25",66
"2018-03-04",68
"2018-03-11",63
"2018-03-18",73
"2018-03-25",65
"2018-04-01",63
"2018-04-08",71
"2018-04-15",63
"2018-04-22",68
"2018-04-29",63
"2018-05-06",59
"2018-05-13",58
"2018-05-20",60
"2018-05-27",76
"2018-06-03",64
"2018-06-10",60
"2018-06-17",67
"2018-06-24",67
"2018-07-01",62
"2018-07-08",59
"2018-07-15",63
"2018-07-22",64
"2018-07-29",58
"2018-08-05",63
"2018-08-12",63
"2018-08-19",68
"2018-08-26",64
"2018-09-02",72
"2018-09-09",67
"2018-09-16",64
"2018-09-23",67
"2018-09-30",59
"2018-10-07",60
"2018-10-14",60
"2018-10-21",59
"2018-10-28",64
"2018-11-04",61
"2018-11-11",65
"2018-11-18",55
