"date","rhode island"
"2013-12-01",95
"2013-12-08",98
"2013-12-15",82
"2013-12-22",99
"2013-12-29",87
"2014-01-05",90
"2014-01-12",89
"2014-01-19",81
"2014-01-26",84
"2014-02-02",94
"2014-02-09",93
"2014-02-16",89
"2014-02-23",81
"2014-03-02",94
"2014-03-09",88
"2014-03-16",90
"2014-03-23",91
"2014-03-30",91
"2014-04-06",88
"2014-04-13",89
"2014-04-20",87
"2014-04-27",86
"2014-05-04",93
"2014-05-11",94
"2014-05-18",91
"2014-05-25",85
"2014-06-01",87
"2014-06-08",90
"2014-06-15",94
"2014-06-22",95
"2014-06-29",92
"2014-07-06",97
"2014-07-13",100
"2014-07-20",89
"2014-07-27",85
"2014-08-03",86
"2014-08-10",83
"2014-08-17",92
"2014-08-24",87
"2014-08-31",95
"2014-09-07",82
"2014-09-14",90
"2014-09-21",86
"2014-09-28",84
"2014-10-05",83
"2014-10-12",77
"2014-10-19",74
"2014-10-26",80
"2014-11-02",73
"2014-11-09",78
"2014-11-16",78
"2014-11-23",88
"2014-11-30",66
"2014-12-07",73
"2014-12-14",71
"2014-12-21",78
"2014-12-28",78
"2015-01-04",78
"2015-01-11",74
"2015-01-18",78
"2015-01-25",83
"2015-02-01",77
"2015-02-08",73
"2015-02-15",80
"2015-02-22",78
"2015-03-01",86
"2015-03-08",70
"2015-03-15",70
"2015-03-22",68
"2015-03-29",70
"2015-04-05",71
"2015-04-12",73
"2015-04-19",69
"2015-04-26",61
"2015-05-03",69
"2015-05-10",72
"2015-05-17",59
"2015-05-24",64
"2015-05-31",63
"2015-06-07",62
"2015-06-14",66
"2015-06-21",68
"2015-06-28",68
"2015-07-05",63
"2015-07-12",65
"2015-07-19",68
"2015-07-26",65
"2015-08-02",68
"2015-08-09",67
"2015-08-16",62
"2015-08-23",70
"2015-08-30",70
"2015-09-06",66
"2015-09-13",76
"2015-09-20",61
"2015-09-27",63
"2015-10-04",65
"2015-10-11",65
"2015-10-18",60
"2015-10-25",69
"2015-11-01",57
"2015-11-08",59
"2015-11-15",64
"2015-11-22",67
"2015-11-29",55
"2015-12-06",58
"2015-12-13",58
"2015-12-20",72
"2015-12-27",60
"2016-01-03",63
"2016-01-10",74
"2016-01-17",72
"2016-01-24",65
"2016-01-31",64
"2016-02-07",70
"2016-02-14",66
"2016-02-21",66
"2016-02-28",63
"2016-03-06",70
"2016-03-13",61
"2016-03-20",74
"2016-03-27",65
"2016-04-03",62
"2016-04-10",57
"2016-04-17",58
"2016-04-24",64
"2016-05-01",53
"2016-05-08",62
"2016-05-15",55
"2016-05-22",52
"2016-05-29",55
"2016-06-05",57
"2016-06-12",56
"2016-06-19",58
"2016-06-26",60
"2016-07-03",68
"2016-07-10",61
"2016-07-17",71
"2016-07-24",68
"2016-07-31",59
"2016-08-07",62
"2016-08-14",63
"2016-08-21",56
"2016-08-28",61
"2016-09-04",52
"2016-09-11",69
"2016-09-18",63
"2016-09-25",67
"2016-10-02",69
"2016-10-09",70
"2016-10-16",66
"2016-10-23",53
"2016-10-30",60
"2016-11-06",73
"2016-11-13",59
"2016-11-20",61
"2016-11-27",53
"2016-12-04",57
"2016-12-11",60
"2016-12-18",56
"2016-12-25",50
"2017-01-01",59
"2017-01-08",61
"2017-01-15",71
"2017-01-22",67
"2017-01-29",73
"2017-02-05",80
"2017-02-12",72
"2017-02-19",63
"2017-02-26",57
"2017-03-05",71
"2017-03-12",66
"2017-03-19",60
"2017-03-26",53
"2017-04-02",53
"2017-04-09",53
"2017-04-16",50
"2017-04-23",58
"2017-04-30",56
"2017-05-07",57
"2017-05-14",54
"2017-05-21",55
"2017-05-28",60
"2017-06-04",61
"2017-06-11",54
"2017-06-18",50
"2017-06-25",59
"2017-07-02",65
"2017-07-09",55
"2017-07-16",58
"2017-07-23",59
"2017-07-30",52
"2017-08-06",57
"2017-08-13",63
"2017-08-20",59
"2017-08-27",54
"2017-09-03",53
"2017-09-10",52
"2017-09-17",54
"2017-09-24",61
"2017-10-01",48
"2017-10-08",56
"2017-10-15",54
"2017-10-22",46
"2017-10-29",58
"2017-11-05",54
"2017-11-12",50
"2017-11-19",47
"2017-11-26",48
"2017-12-03",48
"2017-12-10",58
"2017-12-17",50
"2017-12-24",44
"2017-12-31",70
"2018-01-07",51
"2018-01-14",58
"2018-01-21",55
"2018-01-28",52
"2018-02-04",56
"2018-02-11",57
"2018-02-18",57
"2018-02-25",56
"2018-03-04",54
"2018-03-11",58
"2018-03-18",61
"2018-03-25",53
"2018-04-01",58
"2018-04-08",63
"2018-04-15",60
"2018-04-22",57
"2018-04-29",60
"2018-05-06",49
"2018-05-13",56
"2018-05-20",46
"2018-05-27",63
"2018-06-03",52
"2018-06-10",56
"2018-06-17",61
"2018-06-24",65
"2018-07-01",60
"2018-07-08",41
"2018-07-15",47
"2018-07-22",55
"2018-07-29",55
"2018-08-05",53
"2018-08-12",53
"2018-08-19",58
"2018-08-26",54
"2018-09-02",61
"2018-09-09",63
"2018-09-16",54
"2018-09-23",58
"2018-09-30",50
"2018-10-07",54
"2018-10-14",59
"2018-10-21",47
"2018-10-28",51
"2018-11-04",54
"2018-11-11",50
"2018-11-18",50
