"date","south carolina"
"2013-12-01",99
"2013-12-08",93
"2013-12-15",95
"2013-12-22",99
"2013-12-29",89
"2014-01-05",90
"2014-01-12",89
"2014-01-19",92
"2014-01-26",100
"2014-02-02",97
"2014-02-09",97
"2014-02-16",88
"2014-02-23",91
"2014-03-02",97
"2014-03-09",91
"2014-03-16",86
"2014-03-23",88
"2014-03-30",84
"2014-04-06",87
"2014-04-13",94
"2014-04-20",90
"2014-04-27",94
"2014-05-04",89
"2014-05-11",92
"2014-05-18",85
"2014-05-25",91
"2014-06-01",85
"2014-06-08",83
"2014-06-15",89
"2014-06-22",84
"2014-06-29",87
"2014-07-06",89
"2014-07-13",83
"2014-07-20",78
"2014-07-27",82
"2014-08-03",86
"2014-08-10",96
"2014-08-17",85
"2014-08-24",85
"2014-08-31",85
"2014-09-07",79
"2014-09-14",78
"2014-09-21",72
"2014-09-28",74
"2014-10-05",75
"2014-10-12",76
"2014-10-19",73
"2014-10-26",76
"2014-11-02",72
"2014-11-09",76
"2014-11-16",73
"2014-11-23",76
"2014-11-30",77
"2014-12-07",68
"2014-12-14",66
"2014-12-21",70
"2014-12-28",79
"2015-01-04",75
"2015-01-11",70
"2015-01-18",73
"2015-01-25",70
"2015-02-01",77
"2015-02-08",65
"2015-02-15",76
"2015-02-22",75
"2015-03-01",66
"2015-03-08",70
"2015-03-15",71
"2015-03-22",74
"2015-03-29",72
"2015-04-05",73
"2015-04-12",70
"2015-04-19",72
"2015-04-26",62
"2015-05-03",67
"2015-05-10",66
"2015-05-17",62
"2015-05-24",62
"2015-05-31",70
"2015-06-07",63
"2015-06-14",78
"2015-06-21",54
"2015-06-28",48
"2015-07-05",49
"2015-07-12",53
"2015-07-19",63
"2015-07-26",56
"2015-08-02",51
"2015-08-09",51
"2015-08-16",48
"2015-08-23",58
"2015-08-30",57
"2015-09-06",53
"2015-09-13",48
"2015-09-20",51
"2015-09-27",55
"2015-10-04",66
"2015-10-11",63
"2015-10-18",59
"2015-10-25",61
"2015-11-01",56
"2015-11-08",59
"2015-11-15",60
"2015-11-22",55
"2015-11-29",58
"2015-12-06",60
"2015-12-13",64
"2015-12-20",64
"2015-12-27",65
"2016-01-03",52
"2016-01-10",59
"2016-01-17",59
"2016-01-24",67
"2016-01-31",64
"2016-02-07",57
"2016-02-14",67
"2016-02-21",59
"2016-02-28",64
"2016-03-06",65
"2016-03-13",62
"2016-03-20",61
"2016-03-27",62
"2016-04-03",61
"2016-04-10",58
"2016-04-17",62
"2016-04-24",61
"2016-05-01",62
"2016-05-08",59
"2016-05-15",59
"2016-05-22",57
"2016-05-29",56
"2016-06-05",61
"2016-06-12",69
"2016-06-19",64
"2016-06-26",65
"2016-07-03",71
"2016-07-10",63
"2016-07-17",75
"2016-07-24",71
"2016-07-31",67
"2016-08-07",62
"2016-08-14",57
"2016-08-21",55
"2016-08-28",59
"2016-09-04",55
"2016-09-11",64
"2016-09-18",54
"2016-09-25",59
"2016-10-02",65
"2016-10-09",67
"2016-10-16",59
"2016-10-23",55
"2016-10-30",58
"2016-11-06",77
"2016-11-13",55
"2016-11-20",51
"2016-11-27",59
"2016-12-04",51
"2016-12-11",46
"2016-12-18",53
"2016-12-25",55
"2017-01-01",57
"2017-01-08",62
"2017-01-15",62
"2017-01-22",71
"2017-01-29",66
"2017-02-05",60
"2017-02-12",60
"2017-02-19",56
"2017-02-26",57
"2017-03-05",63
"2017-03-12",54
"2017-03-19",54
"2017-03-26",56
"2017-04-02",56
"2017-04-09",57
"2017-04-16",53
"2017-04-23",58
"2017-04-30",53
"2017-05-07",60
"2017-05-14",62
"2017-05-21",52
"2017-05-28",58
"2017-06-04",60
"2017-06-11",59
"2017-06-18",57
"2017-06-25",58
"2017-07-02",61
"2017-07-09",58
"2017-07-16",60
"2017-07-23",62
"2017-07-30",55
"2017-08-06",54
"2017-08-13",64
"2017-08-20",58
"2017-08-27",52
"2017-09-03",55
"2017-09-10",64
"2017-09-17",53
"2017-09-24",57
"2017-10-01",56
"2017-10-08",53
"2017-10-15",51
"2017-10-22",49
"2017-10-29",55
"2017-11-05",53
"2017-11-12",48
"2017-11-19",49
"2017-11-26",54
"2017-12-03",52
"2017-12-10",55
"2017-12-17",53
"2017-12-24",46
"2017-12-31",59
"2018-01-07",58
"2018-01-14",61
"2018-01-21",56
"2018-01-28",56
"2018-02-04",54
"2018-02-11",50
"2018-02-18",54
"2018-02-25",49
"2018-03-04",51
"2018-03-11",51
"2018-03-18",49
"2018-03-25",51
"2018-04-01",52
"2018-04-08",53
"2018-04-15",52
"2018-04-22",56
"2018-04-29",55
"2018-05-06",50
"2018-05-13",54
"2018-05-20",55
"2018-05-27",64
"2018-06-03",57
"2018-06-10",60
"2018-06-17",57
"2018-06-24",59
"2018-07-01",56
"2018-07-08",53
"2018-07-15",57
"2018-07-22",55
"2018-07-29",53
"2018-08-05",54
"2018-08-12",57
"2018-08-19",58
"2018-08-26",54
"2018-09-02",58
"2018-09-09",64
"2018-09-16",55
"2018-09-23",57
"2018-09-30",51
"2018-10-07",54
"2018-10-14",47
"2018-10-21",49
"2018-10-28",53
"2018-11-04",51
"2018-11-11",47
"2018-11-18",47
