"date","south dakota"
"2013-12-01",79
"2013-12-08",89
"2013-12-15",91
"2013-12-22",73
"2013-12-29",92
"2014-01-05",86
"2014-01-12",73
"2014-01-19",82
"2014-01-26",77
"2014-02-02",70
"2014-02-09",83
"2014-02-16",96
"2014-02-23",87
"2014-03-02",100
"2014-03-09",71
"2014-03-16",75
"2014-03-23",73
"2014-03-30",76
"2014-04-06",76
"2014-04-13",71
"2014-04-20",72
"2014-04-27",78
"2014-05-04",91
"2014-05-11",77
"2014-05-18",72
"2014-05-25",95
"2014-06-01",87
"2014-06-08",82
"2014-06-15",90
"2014-06-22",85
"2014-06-29",95
"2014-07-06",70
"2014-07-13",75
"2014-07-20",71
"2014-07-27",88
"2014-08-03",89
"2014-08-10",86
"2014-08-17",59
"2014-08-24",92
"2014-08-31",73
"2014-09-07",66
"2014-09-14",75
"2014-09-21",83
"2014-09-28",69
"2014-10-05",84
"2014-10-12",72
"2014-10-19",92
"2014-10-26",81
"2014-11-02",76
"2014-11-09",66
"2014-11-16",86
"2014-11-23",72
"2014-11-30",69
"2014-12-07",75
"2014-12-14",73
"2014-12-21",75
"2014-12-28",76
"2015-01-04",68
"2015-01-11",76
"2015-01-18",67
"2015-01-25",70
"2015-02-01",58
"2015-02-08",71
"2015-02-15",72
"2015-02-22",85
"2015-03-01",69
"2015-03-08",93
"2015-03-15",72
"2015-03-22",68
"2015-03-29",82
"2015-04-05",75
"2015-04-12",61
"2015-04-19",59
"2015-04-26",61
"2015-05-03",62
"2015-05-10",51
"2015-05-17",65
"2015-05-24",60
"2015-05-31",57
"2015-06-07",71
"2015-06-14",62
"2015-06-21",62
"2015-06-28",61
"2015-07-05",81
"2015-07-12",61
"2015-07-19",75
"2015-07-26",62
"2015-08-02",60
"2015-08-09",62
"2015-08-16",67
"2015-08-23",71
"2015-08-30",58
"2015-09-06",72
"2015-09-13",62
"2015-09-20",65
"2015-09-27",64
"2015-10-04",61
"2015-10-11",54
"2015-10-18",56
"2015-10-25",54
"2015-11-01",65
"2015-11-08",67
"2015-11-15",61
"2015-11-22",51
"2015-11-29",52
"2015-12-06",43
"2015-12-13",46
"2015-12-20",65
"2015-12-27",59
"2016-01-03",50
"2016-01-10",65
"2016-01-17",52
"2016-01-24",63
"2016-01-31",56
"2016-02-07",60
"2016-02-14",70
"2016-02-21",60
"2016-02-28",58
"2016-03-06",74
"2016-03-13",53
"2016-03-20",56
"2016-03-27",58
"2016-04-03",55
"2016-04-10",58
"2016-04-17",58
"2016-04-24",60
"2016-05-01",60
"2016-05-08",51
"2016-05-15",65
"2016-05-22",57
"2016-05-29",53
"2016-06-05",60
"2016-06-12",75
"2016-06-19",57
"2016-06-26",61
"2016-07-03",62
"2016-07-10",62
"2016-07-17",68
"2016-07-24",59
"2016-07-31",68
"2016-08-07",51
"2016-08-14",60
"2016-08-21",55
"2016-08-28",60
"2016-09-04",48
"2016-09-11",57
"2016-09-18",51
"2016-09-25",68
"2016-10-02",71
"2016-10-09",70
"2016-10-16",81
"2016-10-23",51
"2016-10-30",51
"2016-11-06",79
"2016-11-13",52
"2016-11-20",60
"2016-11-27",58
"2016-12-04",58
"2016-12-11",47
"2016-12-18",53
"2016-12-25",63
"2017-01-01",51
"2017-01-08",66
"2017-01-15",72
"2017-01-22",72
"2017-01-29",69
"2017-02-05",71
"2017-02-12",60
"2017-02-19",66
"2017-02-26",62
"2017-03-05",57
"2017-03-12",59
"2017-03-19",61
"2017-03-26",57
"2017-04-02",58
"2017-04-09",45
"2017-04-16",53
"2017-04-23",59
"2017-04-30",50
"2017-05-07",64
"2017-05-14",56
"2017-05-21",60
"2017-05-28",60
"2017-06-04",59
"2017-06-11",55
"2017-06-18",51
"2017-06-25",66
"2017-07-02",60
"2017-07-09",58
"2017-07-16",58
"2017-07-23",65
"2017-07-30",59
"2017-08-06",47
"2017-08-13",59
"2017-08-20",55
"2017-08-27",60
"2017-09-03",53
"2017-09-10",48
"2017-09-17",48
"2017-09-24",63
"2017-10-01",64
"2017-10-08",53
"2017-10-15",50
"2017-10-22",58
"2017-10-29",57
"2017-11-05",54
"2017-11-12",50
"2017-11-19",56
"2017-11-26",57
"2017-12-03",56
"2017-12-10",60
"2017-12-17",50
"2017-12-24",53
"2017-12-31",64
"2018-01-07",63
"2018-01-14",56
"2018-01-21",57
"2018-01-28",66
"2018-02-04",55
"2018-02-11",49
"2018-02-18",59
"2018-02-25",52
"2018-03-04",64
"2018-03-11",60
"2018-03-18",64
"2018-03-25",60
"2018-04-01",52
"2018-04-08",70
"2018-04-15",58
"2018-04-22",56
"2018-04-29",50
"2018-05-06",51
"2018-05-13",57
"2018-05-20",58
"2018-05-27",71
"2018-06-03",59
"2018-06-10",55
"2018-06-17",55
"2018-06-24",63
"2018-07-01",42
"2018-07-08",55
"2018-07-15",58
"2018-07-22",54
"2018-07-29",57
"2018-08-05",52
"2018-08-12",63
"2018-08-19",51
"2018-08-26",56
"2018-09-02",56
"2018-09-09",45
"2018-09-16",60
"2018-09-23",64
"2018-09-30",60
"2018-10-07",56
"2018-10-14",57
"2018-10-21",61
"2018-10-28",61
"2018-11-04",57
"2018-11-11",62
"2018-11-18",45
