"date","tennessee"
"2013-12-01",95
"2013-12-08",90
"2013-12-15",91
"2013-12-22",96
"2013-12-29",97
"2014-01-05",96
"2014-01-12",94
"2014-01-19",99
"2014-01-26",92
"2014-02-02",90
"2014-02-09",89
"2014-02-16",86
"2014-02-23",81
"2014-03-02",88
"2014-03-09",83
"2014-03-16",85
"2014-03-23",86
"2014-03-30",87
"2014-04-06",87
"2014-04-13",88
"2014-04-20",90
"2014-04-27",92
"2014-05-04",88
"2014-05-11",89
"2014-05-18",90
"2014-05-25",100
"2014-06-01",93
"2014-06-08",92
"2014-06-15",88
"2014-06-22",88
"2014-06-29",82
"2014-07-06",80
"2014-07-13",84
"2014-07-20",79
"2014-07-27",85
"2014-08-03",83
"2014-08-10",90
"2014-08-17",91
"2014-08-24",86
"2014-08-31",94
"2014-09-07",78
"2014-09-14",80
"2014-09-21",83
"2014-09-28",82
"2014-10-05",75
"2014-10-12",74
"2014-10-19",80
"2014-10-26",75
"2014-11-02",73
"2014-11-09",77
"2014-11-16",75
"2014-11-23",77
"2014-11-30",77
"2014-12-07",75
"2014-12-14",71
"2014-12-21",79
"2014-12-28",82
"2015-01-04",76
"2015-01-11",76
"2015-01-18",75
"2015-01-25",70
"2015-02-01",75
"2015-02-08",70
"2015-02-15",86
"2015-02-22",81
"2015-03-01",77
"2015-03-08",70
"2015-03-15",67
"2015-03-22",67
"2015-03-29",72
"2015-04-05",66
"2015-04-12",68
"2015-04-19",65
"2015-04-26",70
"2015-05-03",63
"2015-05-10",61
"2015-05-17",63
"2015-05-24",61
"2015-05-31",62
"2015-06-07",65
"2015-06-14",60
"2015-06-21",70
"2015-06-28",66
"2015-07-05",71
"2015-07-12",78
"2015-07-19",83
"2015-07-26",74
"2015-08-02",74
"2015-08-09",64
"2015-08-16",70
"2015-08-23",74
"2015-08-30",68
"2015-09-06",68
"2015-09-13",69
"2015-09-20",69
"2015-09-27",60
"2015-10-04",60
"2015-10-11",67
"2015-10-18",58
"2015-10-25",59
"2015-11-01",61
"2015-11-08",60
"2015-11-15",63
"2015-11-22",54
"2015-11-29",59
"2015-12-06",58
"2015-12-13",59
"2015-12-20",62
"2015-12-27",62
"2016-01-03",66
"2016-01-10",64
"2016-01-17",79
"2016-01-24",75
"2016-01-31",69
"2016-02-07",83
"2016-02-14",70
"2016-02-21",62
"2016-02-28",67
"2016-03-06",70
"2016-03-13",63
"2016-03-20",68
"2016-03-27",67
"2016-04-03",63
"2016-04-10",61
"2016-04-17",62
"2016-04-24",62
"2016-05-01",61
"2016-05-08",60
"2016-05-15",62
"2016-05-22",61
"2016-05-29",59
"2016-06-05",64
"2016-06-12",70
"2016-06-19",64
"2016-06-26",62
"2016-07-03",67
"2016-07-10",62
"2016-07-17",68
"2016-07-24",71
"2016-07-31",67
"2016-08-07",60
"2016-08-14",58
"2016-08-21",60
"2016-08-28",59
"2016-09-04",57
"2016-09-11",59
"2016-09-18",62
"2016-09-25",64
"2016-10-02",67
"2016-10-09",72
"2016-10-16",69
"2016-10-23",59
"2016-10-30",66
"2016-11-06",78
"2016-11-13",62
"2016-11-20",61
"2016-11-27",64
"2016-12-04",55
"2016-12-11",57
"2016-12-18",54
"2016-12-25",55
"2017-01-01",69
"2017-01-08",70
"2017-01-15",68
"2017-01-22",72
"2017-01-29",73
"2017-02-05",74
"2017-02-12",70
"2017-02-19",63
"2017-02-26",65
"2017-03-05",65
"2017-03-12",64
"2017-03-19",65
"2017-03-26",61
"2017-04-02",60
"2017-04-09",59
"2017-04-16",59
"2017-04-23",62
"2017-04-30",59
"2017-05-07",60
"2017-05-14",61
"2017-05-21",58
"2017-05-28",60
"2017-06-04",65
"2017-06-11",63
"2017-06-18",56
"2017-06-25",59
"2017-07-02",67
"2017-07-09",58
"2017-07-16",61
"2017-07-23",60
"2017-07-30",56
"2017-08-06",59
"2017-08-13",66
"2017-08-20",61
"2017-08-27",63
"2017-09-03",56
"2017-09-10",61
"2017-09-17",60
"2017-09-24",67
"2017-10-01",60
"2017-10-08",62
"2017-10-15",56
"2017-10-22",56
"2017-10-29",65
"2017-11-05",60
"2017-11-12",65
"2017-11-19",58
"2017-11-26",80
"2017-12-03",68
"2017-12-10",65
"2017-12-17",57
"2017-12-24",53
"2017-12-31",64
"2018-01-07",71
"2018-01-14",89
"2018-01-21",62
"2018-01-28",65
"2018-02-04",63
"2018-02-11",57
"2018-02-18",63
"2018-02-25",58
"2018-03-04",57
"2018-03-11",61
"2018-03-18",63
"2018-03-25",55
"2018-04-01",57
"2018-04-08",63
"2018-04-15",60
"2018-04-22",67
"2018-04-29",59
"2018-05-06",60
"2018-05-13",53
"2018-05-20",60
"2018-05-27",71
"2018-06-03",59
"2018-06-10",60
"2018-06-17",61
"2018-06-24",60
"2018-07-01",54
"2018-07-08",53
"2018-07-15",56
"2018-07-22",57
"2018-07-29",55
"2018-08-05",56
"2018-08-12",56
"2018-08-19",58
"2018-08-26",55
"2018-09-02",63
"2018-09-09",58
"2018-09-16",57
"2018-09-23",66
"2018-09-30",56
"2018-10-07",59
"2018-10-14",52
"2018-10-21",54
"2018-10-28",57
"2018-11-04",57
"2018-11-11",59
"2018-11-18",50
