"date","texas"
"2013-12-01",99
"2013-12-08",95
"2013-12-15",92
"2013-12-22",91
"2013-12-29",95
"2014-01-05",93
"2014-01-12",89
"2014-01-19",95
"2014-01-26",97
"2014-02-02",100
"2014-02-09",91
"2014-02-16",89
"2014-02-23",90
"2014-03-02",100
"2014-03-09",97
"2014-03-16",92
"2014-03-23",89
"2014-03-30",90
"2014-04-06",89
"2014-04-13",92
"2014-04-20",88
"2014-04-27",94
"2014-05-04",95
"2014-05-11",91
"2014-05-18",87
"2014-05-25",91
"2014-06-01",92
"2014-06-08",87
"2014-06-15",90
"2014-06-22",87
"2014-06-29",87
"2014-07-06",93
"2014-07-13",92
"2014-07-20",93
"2014-07-27",91
"2014-08-03",91
"2014-08-10",97
"2014-08-17",92
"2014-08-24",89
"2014-08-31",93
"2014-09-07",84
"2014-09-14",82
"2014-09-21",86
"2014-09-28",80
"2014-10-05",83
"2014-10-12",79
"2014-10-19",79
"2014-10-26",81
"2014-11-02",79
"2014-11-09",81
"2014-11-16",79
"2014-11-23",79
"2014-11-30",79
"2014-12-07",75
"2014-12-14",79
"2014-12-21",83
"2014-12-28",93
"2015-01-04",81
"2015-01-11",79
"2015-01-18",78
"2015-01-25",78
"2015-02-01",82
"2015-02-08",76
"2015-02-15",82
"2015-02-22",89
"2015-03-01",79
"2015-03-08",79
"2015-03-15",81
"2015-03-22",75
"2015-03-29",76
"2015-04-05",73
"2015-04-12",73
"2015-04-19",73
"2015-04-26",75
"2015-05-03",74
"2015-05-10",70
"2015-05-17",72
"2015-05-24",77
"2015-05-31",73
"2015-06-07",75
"2015-06-14",75
"2015-06-21",74
"2015-06-28",71
"2015-07-05",75
"2015-07-12",80
"2015-07-19",82
"2015-07-26",79
"2015-08-02",75
"2015-08-09",72
"2015-08-16",72
"2015-08-23",76
"2015-08-30",72
"2015-09-06",69
"2015-09-13",69
"2015-09-20",64
"2015-09-27",66
"2015-10-04",68
"2015-10-11",72
"2015-10-18",68
"2015-10-25",70
"2015-11-01",67
"2015-11-08",69
"2015-11-15",69
"2015-11-22",63
"2015-11-29",64
"2015-12-06",63
"2015-12-13",66
"2015-12-20",63
"2015-12-27",66
"2016-01-03",70
"2016-01-10",72
"2016-01-17",68
"2016-01-24",75
"2016-01-31",71
"2016-02-07",65
"2016-02-14",74
"2016-02-21",69
"2016-02-28",71
"2016-03-06",81
"2016-03-13",73
"2016-03-20",73
"2016-03-27",69
"2016-04-03",69
"2016-04-10",64
"2016-04-17",75
"2016-04-24",74
"2016-05-01",71
"2016-05-08",69
"2016-05-15",69
"2016-05-22",71
"2016-05-29",71
"2016-06-05",76
"2016-06-12",78
"2016-06-19",73
"2016-06-26",71
"2016-07-03",80
"2016-07-10",72
"2016-07-17",83
"2016-07-24",84
"2016-07-31",79
"2016-08-07",74
"2016-08-14",68
"2016-08-21",69
"2016-08-28",71
"2016-09-04",69
"2016-09-11",71
"2016-09-18",69
"2016-09-25",74
"2016-10-02",77
"2016-10-09",79
"2016-10-16",77
"2016-10-23",68
"2016-10-30",72
"2016-11-06",93
"2016-11-13",66
"2016-11-20",68
"2016-11-27",67
"2016-12-04",67
"2016-12-11",64
"2016-12-18",64
"2016-12-25",64
"2017-01-01",72
"2017-01-08",74
"2017-01-15",78
"2017-01-22",78
"2017-01-29",78
"2017-02-05",81
"2017-02-12",76
"2017-02-19",72
"2017-02-26",75
"2017-03-05",71
"2017-03-12",72
"2017-03-19",71
"2017-03-26",68
"2017-04-02",69
"2017-04-09",68
"2017-04-16",67
"2017-04-23",68
"2017-04-30",71
"2017-05-07",72
"2017-05-14",72
"2017-05-21",71
"2017-05-28",70
"2017-06-04",76
"2017-06-11",67
"2017-06-18",64
"2017-06-25",71
"2017-07-02",79
"2017-07-09",66
"2017-07-16",68
"2017-07-23",71
"2017-07-30",68
"2017-08-06",67
"2017-08-13",75
"2017-08-20",73
"2017-08-27",85
"2017-09-03",62
"2017-09-10",65
"2017-09-17",65
"2017-09-24",70
"2017-10-01",64
"2017-10-08",65
"2017-10-15",63
"2017-10-22",63
"2017-10-29",67
"2017-11-05",61
"2017-11-12",63
"2017-11-19",61
"2017-11-26",66
"2017-12-03",67
"2017-12-10",68
"2017-12-17",64
"2017-12-24",61
"2017-12-31",70
"2018-01-07",69
"2018-01-14",79
"2018-01-21",68
"2018-01-28",67
"2018-02-04",70
"2018-02-11",65
"2018-02-18",68
"2018-02-25",66
"2018-03-04",64
"2018-03-11",68
"2018-03-18",69
"2018-03-25",64
"2018-04-01",65
"2018-04-08",75
"2018-04-15",67
"2018-04-22",71
"2018-04-29",70
"2018-05-06",64
"2018-05-13",65
"2018-05-20",64
"2018-05-27",80
"2018-06-03",67
"2018-06-10",70
"2018-06-17",72
"2018-06-24",73
"2018-07-01",66
"2018-07-08",66
"2018-07-15",68
"2018-07-22",69
"2018-07-29",67
"2018-08-05",69
"2018-08-12",67
"2018-08-19",71
"2018-08-26",66
"2018-09-02",73
"2018-09-09",68
"2018-09-16",67
"2018-09-23",69
"2018-09-30",65
"2018-10-07",67
"2018-10-14",63
"2018-10-21",63
"2018-10-28",65
"2018-11-04",66
"2018-11-11",61
"2018-11-18",58
