"date","utah"
"2013-12-01",82
"2013-12-08",80
"2013-12-15",85
"2013-12-22",86
"2013-12-29",93
"2014-01-05",75
"2014-01-12",90
"2014-01-19",88
"2014-01-26",84
"2014-02-02",90
"2014-02-09",84
"2014-02-16",80
"2014-02-23",84
"2014-03-02",89
"2014-03-09",87
"2014-03-16",86
"2014-03-23",85
"2014-03-30",81
"2014-04-06",79
"2014-04-13",89
"2014-04-20",87
"2014-04-27",81
"2014-05-04",80
"2014-05-11",85
"2014-05-18",84
"2014-05-25",85
"2014-06-01",75
"2014-06-08",86
"2014-06-15",98
"2014-06-22",98
"2014-06-29",90
"2014-07-06",80
"2014-07-13",97
"2014-07-20",75
"2014-07-27",77
"2014-08-03",72
"2014-08-10",96
"2014-08-17",89
"2014-08-24",84
"2014-08-31",84
"2014-09-07",87
"2014-09-14",77
"2014-09-21",85
"2014-09-28",82
"2014-10-05",76
"2014-10-12",83
"2014-10-19",86
"2014-10-26",80
"2014-11-02",73
"2014-11-09",78
"2014-11-16",75
"2014-11-23",76
"2014-11-30",76
"2014-12-07",71
"2014-12-14",60
"2014-12-21",66
"2014-12-28",76
"2015-01-04",70
"2015-01-11",74
"2015-01-18",82
"2015-01-25",77
"2015-02-01",86
"2015-02-08",70
"2015-02-15",73
"2015-02-22",85
"2015-03-01",79
"2015-03-08",71
"2015-03-15",76
"2015-03-22",72
"2015-03-29",73
"2015-04-05",77
"2015-04-12",70
"2015-04-19",65
"2015-04-26",76
"2015-05-03",70
"2015-05-10",74
"2015-05-17",69
"2015-05-24",75
"2015-05-31",68
"2015-06-07",74
"2015-06-14",68
"2015-06-21",69
"2015-06-28",78
"2015-07-05",77
"2015-07-12",76
"2015-07-19",81
"2015-07-26",76
"2015-08-02",69
"2015-08-09",70
"2015-08-16",73
"2015-08-23",75
"2015-08-30",74
"2015-09-06",64
"2015-09-13",70
"2015-09-20",66
"2015-09-27",66
"2015-10-04",68
"2015-10-11",77
"2015-10-18",67
"2015-10-25",73
"2015-11-01",65
"2015-11-08",65
"2015-11-15",72
"2015-11-22",60
"2015-11-29",70
"2015-12-06",67
"2015-12-13",88
"2015-12-20",72
"2015-12-27",69
"2016-01-03",68
"2016-01-10",65
"2016-01-17",69
"2016-01-24",77
"2016-01-31",76
"2016-02-07",59
"2016-02-14",69
"2016-02-21",69
"2016-02-28",68
"2016-03-06",72
"2016-03-13",64
"2016-03-20",69
"2016-03-27",74
"2016-04-03",67
"2016-04-10",59
"2016-04-17",66
"2016-04-24",67
"2016-05-01",68
"2016-05-08",63
"2016-05-15",61
"2016-05-22",69
"2016-05-29",63
"2016-06-05",71
"2016-06-12",73
"2016-06-19",74
"2016-06-26",68
"2016-07-03",76
"2016-07-10",62
"2016-07-17",86
"2016-07-24",79
"2016-07-31",78
"2016-08-07",70
"2016-08-14",67
"2016-08-21",72
"2016-08-28",65
"2016-09-04",67
"2016-09-11",67
"2016-09-18",70
"2016-09-25",72
"2016-10-02",75
"2016-10-09",75
"2016-10-16",77
"2016-10-23",75
"2016-10-30",70
"2016-11-06",100
"2016-11-13",65
"2016-11-20",62
"2016-11-27",67
"2016-12-04",62
"2016-12-11",58
"2016-12-18",58
"2016-12-25",62
"2017-01-01",73
"2017-01-08",74
"2017-01-15",76
"2017-01-22",81
"2017-01-29",80
"2017-02-05",88
"2017-02-12",77
"2017-02-19",76
"2017-02-26",78
"2017-03-05",70
"2017-03-12",75
"2017-03-19",65
"2017-03-26",68
"2017-04-02",67
"2017-04-09",58
"2017-04-16",66
"2017-04-23",61
"2017-04-30",64
"2017-05-07",61
"2017-05-14",67
"2017-05-21",69
"2017-05-28",66
"2017-06-04",74
"2017-06-11",68
"2017-06-18",70
"2017-06-25",76
"2017-07-02",97
"2017-07-09",76
"2017-07-16",76
"2017-07-23",76
"2017-07-30",67
"2017-08-06",72
"2017-08-13",78
"2017-08-20",64
"2017-08-27",69
"2017-09-03",69
"2017-09-10",57
"2017-09-17",62
"2017-09-24",76
"2017-10-01",64
"2017-10-08",72
"2017-10-15",65
"2017-10-22",66
"2017-10-29",69
"2017-11-05",64
"2017-11-12",63
"2017-11-19",60
"2017-11-26",69
"2017-12-03",69
"2017-12-10",68
"2017-12-17",61
"2017-12-24",63
"2017-12-31",78
"2018-01-07",72
"2018-01-14",71
"2018-01-21",71
"2018-01-28",66
"2018-02-04",74
"2018-02-11",67
"2018-02-18",65
"2018-02-25",62
"2018-03-04",64
"2018-03-11",60
"2018-03-18",65
"2018-03-25",65
"2018-04-01",70
"2018-04-08",76
"2018-04-15",62
"2018-04-22",69
"2018-04-29",68
"2018-05-06",60
"2018-05-13",61
"2018-05-20",61
"2018-05-27",80
"2018-06-03",62
"2018-06-10",68
"2018-06-17",75
"2018-06-24",70
"2018-07-01",68
"2018-07-08",60
"2018-07-15",64
"2018-07-22",61
"2018-07-29",59
"2018-08-05",71
"2018-08-12",61
"2018-08-19",74
"2018-08-26",66
"2018-09-02",68
"2018-09-09",63
"2018-09-16",63
"2018-09-23",68
"2018-09-30",66
"2018-10-07",64
"2018-10-14",61
"2018-10-21",61
"2018-10-28",65
"2018-11-04",69
"2018-11-11",61
"2018-11-18",62
