"date","vermont"
"2013-12-01",68
"2013-12-08",96
"2013-12-15",78
"2013-12-22",86
"2013-12-29",77
"2014-01-05",79
"2014-01-12",81
"2014-01-19",91
"2014-01-26",92
"2014-02-02",85
"2014-02-09",82
"2014-02-16",86
"2014-02-23",67
"2014-03-02",81
"2014-03-09",76
"2014-03-16",87
"2014-03-23",76
"2014-03-30",78
"2014-04-06",71
"2014-04-13",77
"2014-04-20",83
"2014-04-27",68
"2014-05-04",82
"2014-05-11",74
"2014-05-18",71
"2014-05-25",74
"2014-06-01",71
"2014-06-08",63
"2014-06-15",72
"2014-06-22",64
"2014-06-29",65
"2014-07-06",71
"2014-07-13",77
"2014-07-20",82
"2014-07-27",70
"2014-08-03",69
"2014-08-10",82
"2014-08-17",69
"2014-08-24",73
"2014-08-31",78
"2014-09-07",73
"2014-09-14",63
"2014-09-21",72
"2014-09-28",68
"2014-10-05",62
"2014-10-12",81
"2014-10-19",83
"2014-10-26",74
"2014-11-02",66
"2014-11-09",77
"2014-11-16",83
"2014-11-23",70
"2014-11-30",72
"2014-12-07",69
"2014-12-14",72
"2014-12-21",74
"2014-12-28",78
"2015-01-04",65
"2015-01-11",77
"2015-01-18",87
"2015-01-25",77
"2015-02-01",86
"2015-02-08",69
"2015-02-15",77
"2015-02-22",86
"2015-03-01",80
"2015-03-08",78
"2015-03-15",65
"2015-03-22",80
"2015-03-29",71
"2015-04-05",59
"2015-04-12",72
"2015-04-19",64
"2015-04-26",70
"2015-05-03",61
"2015-05-10",60
"2015-05-17",55
"2015-05-24",73
"2015-05-31",64
"2015-06-07",66
"2015-06-14",64
"2015-06-21",59
"2015-06-28",65
"2015-07-05",57
"2015-07-12",57
"2015-07-19",62
"2015-07-26",62
"2015-08-02",74
"2015-08-09",62
"2015-08-16",59
"2015-08-23",71
"2015-08-30",77
"2015-09-06",70
"2015-09-13",64
"2015-09-20",59
"2015-09-27",63
"2015-10-04",69
"2015-10-11",56
"2015-10-18",55
"2015-10-25",78
"2015-11-01",69
"2015-11-08",63
"2015-11-15",75
"2015-11-22",71
"2015-11-29",50
"2015-12-06",63
"2015-12-13",53
"2015-12-20",54
"2015-12-27",53
"2016-01-03",74
"2016-01-10",66
"2016-01-17",71
"2016-01-24",73
"2016-01-31",63
"2016-02-07",68
"2016-02-14",61
"2016-02-21",70
"2016-02-28",72
"2016-03-06",82
"2016-03-13",62
"2016-03-20",60
"2016-03-27",67
"2016-04-03",51
"2016-04-10",69
"2016-04-17",52
"2016-04-24",68
"2016-05-01",68
"2016-05-08",59
"2016-05-15",52
"2016-05-22",65
"2016-05-29",60
"2016-06-05",60
"2016-06-12",59
"2016-06-19",59
"2016-06-26",59
"2016-07-03",59
"2016-07-10",65
"2016-07-17",75
"2016-07-24",71
"2016-07-31",61
"2016-08-07",65
"2016-08-14",56
"2016-08-21",63
"2016-08-28",63
"2016-09-04",58
"2016-09-11",65
"2016-09-18",65
"2016-09-25",66
"2016-10-02",88
"2016-10-09",79
"2016-10-16",68
"2016-10-23",70
"2016-10-30",65
"2016-11-06",100
"2016-11-13",72
"2016-11-20",75
"2016-11-27",58
"2016-12-04",74
"2016-12-11",62
"2016-12-18",61
"2016-12-25",53
"2017-01-01",68
"2017-01-08",79
"2017-01-15",80
"2017-01-22",95
"2017-01-29",92
"2017-02-05",86
"2017-02-12",77
"2017-02-19",76
"2017-02-26",74
"2017-03-05",63
"2017-03-12",68
"2017-03-19",66
"2017-03-26",66
"2017-04-02",66
"2017-04-09",54
"2017-04-16",56
"2017-04-23",57
"2017-04-30",61
"2017-05-07",77
"2017-05-14",61
"2017-05-21",70
"2017-05-28",64
"2017-06-04",79
"2017-06-11",59
"2017-06-18",57
"2017-06-25",62
"2017-07-02",79
"2017-07-09",65
"2017-07-16",72
"2017-07-23",60
"2017-07-30",77
"2017-08-06",63
"2017-08-13",81
"2017-08-20",64
"2017-08-27",64
"2017-09-03",49
"2017-09-10",70
"2017-09-17",63
"2017-09-24",69
"2017-10-01",56
"2017-10-08",61
"2017-10-15",62
"2017-10-22",59
"2017-10-29",67
"2017-11-05",65
"2017-11-12",61
"2017-11-19",61
"2017-11-26",63
"2017-12-03",52
"2017-12-10",69
"2017-12-17",61
"2017-12-24",56
"2017-12-31",67
"2018-01-07",69
"2018-01-14",69
"2018-01-21",63
"2018-01-28",62
"2018-02-04",73
"2018-02-11",59
"2018-02-18",65
"2018-02-25",53
"2018-03-04",73
"2018-03-11",72
"2018-03-18",67
"2018-03-25",61
"2018-04-01",55
"2018-04-08",63
"2018-04-15",66
"2018-04-22",73
"2018-04-29",72
"2018-05-06",57
"2018-05-13",61
"2018-05-20",60
"2018-05-27",83
"2018-06-03",57
"2018-06-10",54
"2018-06-17",62
"2018-06-24",50
"2018-07-01",63
"2018-07-08",57
"2018-07-15",67
"2018-07-22",56
"2018-07-29",61
"2018-08-05",55
"2018-08-12",65
"2018-08-19",72
"2018-08-26",64
"2018-09-02",47
"2018-09-09",53
"2018-09-16",67
"2018-09-23",68
"2018-09-30",57
"2018-10-07",54
"2018-10-14",58
"2018-10-21",55
"2018-10-28",50
"2018-11-04",52
"2018-11-11",53
"2018-11-18",53
