"date","virginia"
"2013-12-01",92
"2013-12-08",86
"2013-12-15",83
"2013-12-22",85
"2013-12-29",90
"2014-01-05",83
"2014-01-12",83
"2014-01-19",97
"2014-01-26",93
"2014-02-02",87
"2014-02-09",92
"2014-02-16",84
"2014-02-23",81
"2014-03-02",100
"2014-03-09",90
"2014-03-16",88
"2014-03-23",93
"2014-03-30",80
"2014-04-06",77
"2014-04-13",80
"2014-04-20",77
"2014-04-27",79
"2014-05-04",75
"2014-05-11",80
"2014-05-18",77
"2014-05-25",79
"2014-06-01",78
"2014-06-08",76
"2014-06-15",72
"2014-06-22",70
"2014-06-29",71
"2014-07-06",88
"2014-07-13",97
"2014-07-20",100
"2014-07-27",91
"2014-08-03",90
"2014-08-10",94
"2014-08-17",92
"2014-08-24",92
"2014-08-31",97
"2014-09-07",90
"2014-09-14",89
"2014-09-21",86
"2014-09-28",89
"2014-10-05",86
"2014-10-12",78
"2014-10-19",79
"2014-10-26",84
"2014-11-02",76
"2014-11-09",81
"2014-11-16",79
"2014-11-23",78
"2014-11-30",77
"2014-12-07",78
"2014-12-14",79
"2014-12-21",80
"2014-12-28",84
"2015-01-04",85
"2015-01-11",79
"2015-01-18",77
"2015-01-25",78
"2015-02-01",78
"2015-02-08",77
"2015-02-15",84
"2015-02-22",75
"2015-03-01",75
"2015-03-08",73
"2015-03-15",70
"2015-03-22",73
"2015-03-29",74
"2015-04-05",71
"2015-04-12",75
"2015-04-19",72
"2015-04-26",76
"2015-05-03",76
"2015-05-10",75
"2015-05-17",73
"2015-05-24",76
"2015-05-31",81
"2015-06-07",76
"2015-06-14",77
"2015-06-21",75
"2015-06-28",74
"2015-07-05",70
"2015-07-12",74
"2015-07-19",77
"2015-07-26",81
"2015-08-02",75
"2015-08-09",74
"2015-08-16",74
"2015-08-23",81
"2015-08-30",76
"2015-09-06",70
"2015-09-13",69
"2015-09-20",68
"2015-09-27",69
"2015-10-04",69
"2015-10-11",74
"2015-10-18",69
"2015-10-25",66
"2015-11-01",67
"2015-11-08",71
"2015-11-15",66
"2015-11-22",63
"2015-11-29",64
"2015-12-06",63
"2015-12-13",58
"2015-12-20",66
"2015-12-27",67
"2016-01-03",64
"2016-01-10",66
"2016-01-17",74
"2016-01-24",89
"2016-01-31",68
"2016-02-07",68
"2016-02-14",79
"2016-02-21",72
"2016-02-28",71
"2016-03-06",70
"2016-03-13",69
"2016-03-20",66
"2016-03-27",65
"2016-04-03",65
"2016-04-10",61
"2016-04-17",66
"2016-04-24",67
"2016-05-01",64
"2016-05-08",63
"2016-05-15",61
"2016-05-22",64
"2016-05-29",62
"2016-06-05",71
"2016-06-12",70
"2016-06-19",69
"2016-06-26",63
"2016-07-03",72
"2016-07-10",65
"2016-07-17",72
"2016-07-24",72
"2016-07-31",70
"2016-08-07",64
"2016-08-14",60
"2016-08-21",62
"2016-08-28",66
"2016-09-04",62
"2016-09-11",63
"2016-09-18",62
"2016-09-25",71
"2016-10-02",71
"2016-10-09",77
"2016-10-16",74
"2016-10-23",62
"2016-10-30",64
"2016-11-06",88
"2016-11-13",63
"2016-11-20",58
"2016-11-27",59
"2016-12-04",60
"2016-12-11",59
"2016-12-18",57
"2016-12-25",55
"2017-01-01",68
"2017-01-08",77
"2017-01-15",74
"2017-01-22",77
"2017-01-29",79
"2017-02-05",80
"2017-02-12",76
"2017-02-19",65
"2017-02-26",69
"2017-03-05",64
"2017-03-12",70
"2017-03-19",66
"2017-03-26",62
"2017-04-02",61
"2017-04-09",58
"2017-04-16",56
"2017-04-23",61
"2017-04-30",59
"2017-05-07",66
"2017-05-14",63
"2017-05-21",60
"2017-05-28",62
"2017-06-04",70
"2017-06-11",61
"2017-06-18",59
"2017-06-25",61
"2017-07-02",68
"2017-07-09",61
"2017-07-16",63
"2017-07-23",69
"2017-07-30",62
"2017-08-06",64
"2017-08-13",79
"2017-08-20",65
"2017-08-27",63
"2017-09-03",59
"2017-09-10",61
"2017-09-17",61
"2017-09-24",70
"2017-10-01",61
"2017-10-08",66
"2017-10-15",58
"2017-10-22",59
"2017-10-29",64
"2017-11-05",61
"2017-11-12",59
"2017-11-19",56
"2017-11-26",64
"2017-12-03",61
"2017-12-10",64
"2017-12-17",57
"2017-12-24",53
"2017-12-31",70
"2018-01-07",75
"2018-01-14",79
"2018-01-21",61
"2018-01-28",71
"2018-02-04",75
"2018-02-11",62
"2018-02-18",64
"2018-02-25",67
"2018-03-04",64
"2018-03-11",66
"2018-03-18",82
"2018-03-25",58
"2018-04-01",62
"2018-04-08",69
"2018-04-15",65
"2018-04-22",66
"2018-04-29",61
"2018-05-06",54
"2018-05-13",63
"2018-05-20",60
"2018-05-27",71
"2018-06-03",62
"2018-06-10",63
"2018-06-17",66
"2018-06-24",62
"2018-07-01",58
"2018-07-08",58
"2018-07-15",63
"2018-07-22",65
"2018-07-29",64
"2018-08-05",62
"2018-08-12",66
"2018-08-19",71
"2018-08-26",67
"2018-09-02",70
"2018-09-09",72
"2018-09-16",66
"2018-09-23",72
"2018-09-30",64
"2018-10-07",63
"2018-10-14",55
"2018-10-21",60
"2018-10-28",62
"2018-11-04",63
"2018-11-11",75
"2018-11-18",58
