"date","washington"
"2013-12-01",81
"2013-12-08",76
"2013-12-15",75
"2013-12-22",72
"2013-12-29",76
"2014-01-05",73
"2014-01-12",77
"2014-01-19",85
"2014-01-26",78
"2014-02-02",100
"2014-02-09",76
"2014-02-16",72
"2014-02-23",72
"2014-03-02",79
"2014-03-09",77
"2014-03-16",77
"2014-03-23",69
"2014-03-30",75
"2014-04-06",72
"2014-04-13",71
"2014-04-20",74
"2014-04-27",75
"2014-05-04",73
"2014-05-11",78
"2014-05-18",73
"2014-05-25",73
"2014-06-01",75
"2014-06-08",72
"2014-06-15",74
"2014-06-22",67
"2014-06-29",73
"2014-07-06",72
"2014-07-13",72
"2014-07-20",69
"2014-07-27",76
"2014-08-03",71
"2014-08-10",79
"2014-08-17",76
"2014-08-24",76
"2014-08-31",82
"2014-09-07",75
"2014-09-14",71
"2014-09-21",71
"2014-09-28",71
"2014-10-05",67
"2014-10-12",72
"2014-10-19",75
"2014-10-26",75
"2014-11-02",75
"2014-11-09",73
"2014-11-16",73
"2014-11-23",69
"2014-11-30",67
"2014-12-07",72
"2014-12-14",65
"2014-12-21",68
"2014-12-28",70
"2015-01-04",66
"2015-01-11",65
"2015-01-18",70
"2015-01-25",69
"2015-02-01",78
"2015-02-08",67
"2015-02-15",71
"2015-02-22",66
"2015-03-01",66
"2015-03-08",65
"2015-03-15",62
"2015-03-22",65
"2015-03-29",61
"2015-04-05",61
"2015-04-12",64
"2015-04-19",65
"2015-04-26",70
"2015-05-03",68
"2015-05-10",64
"2015-05-17",64
"2015-05-24",60
"2015-05-31",65
"2015-06-07",67
"2015-06-14",64
"2015-06-21",65
"2015-06-28",66
"2015-07-05",66
"2015-07-12",70
"2015-07-19",68
"2015-07-26",68
"2015-08-02",65
"2015-08-09",66
"2015-08-16",61
"2015-08-23",62
"2015-08-30",65
"2015-09-06",60
"2015-09-13",62
"2015-09-20",65
"2015-09-27",61
"2015-10-04",61
"2015-10-11",68
"2015-10-18",63
"2015-10-25",62
"2015-11-01",64
"2015-11-08",59
"2015-11-15",63
"2015-11-22",57
"2015-11-29",59
"2015-12-06",64
"2015-12-13",57
"2015-12-20",62
"2015-12-27",57
"2016-01-03",58
"2016-01-10",65
"2016-01-17",64
"2016-01-24",67
"2016-01-31",62
"2016-02-07",66
"2016-02-14",66
"2016-02-21",63
"2016-02-28",69
"2016-03-06",71
"2016-03-13",63
"2016-03-20",68
"2016-03-27",63
"2016-04-03",60
"2016-04-10",62
"2016-04-17",59
"2016-04-24",63
"2016-05-01",62
"2016-05-08",59
"2016-05-15",58
"2016-05-22",60
"2016-05-29",61
"2016-06-05",63
"2016-06-12",68
"2016-06-19",66
"2016-06-26",59
"2016-07-03",70
"2016-07-10",60
"2016-07-17",72
"2016-07-24",76
"2016-07-31",70
"2016-08-07",62
"2016-08-14",59
"2016-08-21",60
"2016-08-28",62
"2016-09-04",60
"2016-09-11",64
"2016-09-18",63
"2016-09-25",73
"2016-10-02",72
"2016-10-09",82
"2016-10-16",77
"2016-10-23",66
"2016-10-30",65
"2016-11-06",95
"2016-11-13",63
"2016-11-20",59
"2016-11-27",63
"2016-12-04",70
"2016-12-11",64
"2016-12-18",58
"2016-12-25",61
"2017-01-01",68
"2017-01-08",77
"2017-01-15",84
"2017-01-22",86
"2017-01-29",89
"2017-02-05",92
"2017-02-12",79
"2017-02-19",71
"2017-02-26",80
"2017-03-05",75
"2017-03-12",65
"2017-03-19",70
"2017-03-26",65
"2017-04-02",63
"2017-04-09",60
"2017-04-16",63
"2017-04-23",65
"2017-04-30",68
"2017-05-07",71
"2017-05-14",72
"2017-05-21",62
"2017-05-28",68
"2017-06-04",73
"2017-06-11",64
"2017-06-18",62
"2017-06-25",66
"2017-07-02",72
"2017-07-09",65
"2017-07-16",68
"2017-07-23",72
"2017-07-30",66
"2017-08-06",62
"2017-08-13",74
"2017-08-20",63
"2017-08-27",70
"2017-09-03",62
"2017-09-10",63
"2017-09-17",61
"2017-09-24",73
"2017-10-01",68
"2017-10-08",66
"2017-10-15",61
"2017-10-22",62
"2017-10-29",70
"2017-11-05",65
"2017-11-12",65
"2017-11-19",60
"2017-11-26",67
"2017-12-03",66
"2017-12-10",71
"2017-12-17",66
"2017-12-24",63
"2017-12-31",69
"2018-01-07",71
"2018-01-14",73
"2018-01-21",66
"2018-01-28",68
"2018-02-04",71
"2018-02-11",61
"2018-02-18",67
"2018-02-25",63
"2018-03-04",63
"2018-03-11",65
"2018-03-18",68
"2018-03-25",60
"2018-04-01",64
"2018-04-08",67
"2018-04-15",63
"2018-04-22",68
"2018-04-29",66
"2018-05-06",62
"2018-05-13",60
"2018-05-20",61
"2018-05-27",75
"2018-06-03",63
"2018-06-10",62
"2018-06-17",64
"2018-06-24",66
"2018-07-01",60
"2018-07-08",62
"2018-07-15",66
"2018-07-22",67
"2018-07-29",62
"2018-08-05",66
"2018-08-12",64
"2018-08-19",70
"2018-08-26",68
"2018-09-02",74
"2018-09-09",65
"2018-09-16",62
"2018-09-23",69
"2018-09-30",66
"2018-10-07",61
"2018-10-14",62
"2018-10-21",62
"2018-10-28",61
"2018-11-04",61
"2018-11-11",59
"2018-11-18",57
