"date","west virginia"
"2013-12-01",89
"2013-12-08",83
"2013-12-15",85
"2013-12-22",100
"2013-12-29",89
"2014-01-05",89
"2014-01-12",95
"2014-01-19",90
"2014-01-26",80
"2014-02-02",83
"2014-02-09",78
"2014-02-16",76
"2014-02-23",93
"2014-03-02",86
"2014-03-09",87
"2014-03-16",90
"2014-03-23",84
"2014-03-30",84
"2014-04-06",80
"2014-04-13",85
"2014-04-20",89
"2014-04-27",73
"2014-05-04",89
"2014-05-11",89
"2014-05-18",75
"2014-05-25",76
"2014-06-01",83
"2014-06-08",80
"2014-06-15",77
"2014-06-22",79
"2014-06-29",81
"2014-07-06",78
"2014-07-13",87
"2014-07-20",75
"2014-07-27",85
"2014-08-03",83
"2014-08-10",98
"2014-08-17",92
"2014-08-24",87
"2014-08-31",80
"2014-09-07",77
"2014-09-14",81
"2014-09-21",73
"2014-09-28",82
"2014-10-05",73
"2014-10-12",70
"2014-10-19",80
"2014-10-26",69
"2014-11-02",74
"2014-11-09",86
"2014-11-16",75
"2014-11-23",69
"2014-11-30",69
"2014-12-07",73
"2014-12-14",74
"2014-12-21",77
"2014-12-28",80
"2015-01-04",69
"2015-01-11",75
"2015-01-18",66
"2015-01-25",68
"2015-02-01",70
"2015-02-08",71
"2015-02-15",70
"2015-02-22",63
"2015-03-01",64
"2015-03-08",71
"2015-03-15",73
"2015-03-22",76
"2015-03-29",62
"2015-04-05",69
"2015-04-12",68
"2015-04-19",66
"2015-04-26",79
"2015-05-03",66
"2015-05-10",65
"2015-05-17",73
"2015-05-24",69
"2015-05-31",67
"2015-06-07",72
"2015-06-14",73
"2015-06-21",68
"2015-06-28",66
"2015-07-05",71
"2015-07-12",67
"2015-07-19",72
"2015-07-26",69
"2015-08-02",60
"2015-08-09",70
"2015-08-16",65
"2015-08-23",62
"2015-08-30",59
"2015-09-06",59
"2015-09-13",64
"2015-09-20",62
"2015-09-27",64
"2015-10-04",66
"2015-10-11",62
"2015-10-18",59
"2015-10-25",59
"2015-11-01",65
"2015-11-08",57
"2015-11-15",59
"2015-11-22",53
"2015-11-29",54
"2015-12-06",55
"2015-12-13",51
"2015-12-20",48
"2015-12-27",55
"2016-01-03",60
"2016-01-10",62
"2016-01-17",56
"2016-01-24",67
"2016-01-31",64
"2016-02-07",57
"2016-02-14",65
"2016-02-21",54
"2016-02-28",58
"2016-03-06",65
"2016-03-13",57
"2016-03-20",52
"2016-03-27",58
"2016-04-03",59
"2016-04-10",61
"2016-04-17",54
"2016-04-24",57
"2016-05-01",60
"2016-05-08",49
"2016-05-15",56
"2016-05-22",50
"2016-05-29",51
"2016-06-05",61
"2016-06-12",57
"2016-06-19",56
"2016-06-26",48
"2016-07-03",52
"2016-07-10",51
"2016-07-17",63
"2016-07-24",58
"2016-07-31",54
"2016-08-07",59
"2016-08-14",52
"2016-08-21",50
"2016-08-28",56
"2016-09-04",60
"2016-09-11",60
"2016-09-18",48
"2016-09-25",58
"2016-10-02",52
"2016-10-09",68
"2016-10-16",61
"2016-10-23",53
"2016-10-30",53
"2016-11-06",72
"2016-11-13",55
"2016-11-20",50
"2016-11-27",53
"2016-12-04",54
"2016-12-11",42
"2016-12-18",53
"2016-12-25",52
"2017-01-01",53
"2017-01-08",59
"2017-01-15",61
"2017-01-22",66
"2017-01-29",63
"2017-02-05",65
"2017-02-12",58
"2017-02-19",57
"2017-02-26",53
"2017-03-05",57
"2017-03-12",49
"2017-03-19",60
"2017-03-26",53
"2017-04-02",54
"2017-04-09",44
"2017-04-16",47
"2017-04-23",49
"2017-04-30",52
"2017-05-07",54
"2017-05-14",50
"2017-05-21",49
"2017-05-28",51
"2017-06-04",55
"2017-06-11",65
"2017-06-18",50
"2017-06-25",47
"2017-07-02",57
"2017-07-09",57
"2017-07-16",58
"2017-07-23",63
"2017-07-30",58
"2017-08-06",56
"2017-08-13",53
"2017-08-20",53
"2017-08-27",51
"2017-09-03",47
"2017-09-10",54
"2017-09-17",51
"2017-09-24",51
"2017-10-01",54
"2017-10-08",58
"2017-10-15",51
"2017-10-22",52
"2017-10-29",51
"2017-11-05",53
"2017-11-12",50
"2017-11-19",51
"2017-11-26",52
"2017-12-03",43
"2017-12-10",53
"2017-12-17",55
"2017-12-24",50
"2017-12-31",51
"2018-01-07",55
"2018-01-14",59
"2018-01-21",50
"2018-01-28",55
"2018-02-04",49
"2018-02-11",49
"2018-02-18",52
"2018-02-25",62
"2018-03-04",55
"2018-03-11",49
"2018-03-18",50
"2018-03-25",51
"2018-04-01",56
"2018-04-08",49
"2018-04-15",54
"2018-04-22",50
"2018-04-29",49
"2018-05-06",53
"2018-05-13",49
"2018-05-20",46
"2018-05-27",56
"2018-06-03",46
"2018-06-10",38
"2018-06-17",51
"2018-06-24",56
"2018-07-01",51
"2018-07-08",48
"2018-07-15",52
"2018-07-22",42
"2018-07-29",51
"2018-08-05",44
"2018-08-12",49
"2018-08-19",48
"2018-08-26",51
"2018-09-02",50
"2018-09-09",44
"2018-09-16",51
"2018-09-23",44
"2018-09-30",45
"2018-10-07",43
"2018-10-14",47
"2018-10-21",44
"2018-10-28",45
"2018-11-04",48
"2018-11-11",48
"2018-11-18",43
