"date","wisconsin"
"2013-12-01",94
"2013-12-08",92
"2013-12-15",89
"2013-12-22",93
"2013-12-29",100
"2014-01-05",93
"2014-01-12",84
"2014-01-19",86
"2014-01-26",97
"2014-02-02",93
"2014-02-09",92
"2014-02-16",81
"2014-02-23",83
"2014-03-02",89
"2014-03-09",91
"2014-03-16",84
"2014-03-23",93
"2014-03-30",87
"2014-04-06",86
"2014-04-13",88
"2014-04-20",83
"2014-04-27",85
"2014-05-04",84
"2014-05-11",86
"2014-05-18",87
"2014-05-25",86
"2014-06-01",85
"2014-06-08",81
"2014-06-15",90
"2014-06-22",87
"2014-06-29",89
"2014-07-06",89
"2014-07-13",81
"2014-07-20",81
"2014-07-27",83
"2014-08-03",81
"2014-08-10",89
"2014-08-17",86
"2014-08-24",86
"2014-08-31",91
"2014-09-07",84
"2014-09-14",87
"2014-09-21",81
"2014-09-28",78
"2014-10-05",75
"2014-10-12",83
"2014-10-19",82
"2014-10-26",79
"2014-11-02",81
"2014-11-09",80
"2014-11-16",75
"2014-11-23",79
"2014-11-30",74
"2014-12-07",70
"2014-12-14",73
"2014-12-21",77
"2014-12-28",85
"2015-01-04",78
"2015-01-11",79
"2015-01-18",75
"2015-01-25",74
"2015-02-01",73
"2015-02-08",69
"2015-02-15",75
"2015-02-22",75
"2015-03-01",66
"2015-03-08",76
"2015-03-15",70
"2015-03-22",75
"2015-03-29",75
"2015-04-05",81
"2015-04-12",74
"2015-04-19",70
"2015-04-26",75
"2015-05-03",70
"2015-05-10",64
"2015-05-17",68
"2015-05-24",59
"2015-05-31",62
"2015-06-07",65
"2015-06-14",67
"2015-06-21",70
"2015-06-28",69
"2015-07-05",72
"2015-07-12",73
"2015-07-19",78
"2015-07-26",75
"2015-08-02",70
"2015-08-09",65
"2015-08-16",68
"2015-08-23",71
"2015-08-30",73
"2015-09-06",68
"2015-09-13",63
"2015-09-20",67
"2015-09-27",67
"2015-10-04",67
"2015-10-11",71
"2015-10-18",69
"2015-10-25",65
"2015-11-01",64
"2015-11-08",62
"2015-11-15",63
"2015-11-22",61
"2015-11-29",59
"2015-12-06",59
"2015-12-13",64
"2015-12-20",64
"2015-12-27",64
"2016-01-03",59
"2016-01-10",61
"2016-01-17",65
"2016-01-24",66
"2016-01-31",65
"2016-02-07",64
"2016-02-14",69
"2016-02-21",65
"2016-02-28",70
"2016-03-06",73
"2016-03-13",67
"2016-03-20",68
"2016-03-27",63
"2016-04-03",64
"2016-04-10",59
"2016-04-17",66
"2016-04-24",68
"2016-05-01",65
"2016-05-08",60
"2016-05-15",61
"2016-05-22",58
"2016-05-29",59
"2016-06-05",64
"2016-06-12",69
"2016-06-19",72
"2016-06-26",65
"2016-07-03",72
"2016-07-10",67
"2016-07-17",79
"2016-07-24",75
"2016-07-31",71
"2016-08-07",64
"2016-08-14",65
"2016-08-21",65
"2016-08-28",67
"2016-09-04",60
"2016-09-11",61
"2016-09-18",65
"2016-09-25",66
"2016-10-02",68
"2016-10-09",70
"2016-10-16",77
"2016-10-23",66
"2016-10-30",67
"2016-11-06",85
"2016-11-13",64
"2016-11-20",64
"2016-11-27",64
"2016-12-04",59
"2016-12-11",58
"2016-12-18",57
"2016-12-25",58
"2017-01-01",62
"2017-01-08",71
"2017-01-15",77
"2017-01-22",76
"2017-01-29",75
"2017-02-05",77
"2017-02-12",69
"2017-02-19",67
"2017-02-26",71
"2017-03-05",72
"2017-03-12",73
"2017-03-19",70
"2017-03-26",64
"2017-04-02",65
"2017-04-09",62
"2017-04-16",64
"2017-04-23",61
"2017-04-30",64
"2017-05-07",64
"2017-05-14",67
"2017-05-21",64
"2017-05-28",67
"2017-06-04",67
"2017-06-11",67
"2017-06-18",57
"2017-06-25",68
"2017-07-02",71
"2017-07-09",60
"2017-07-16",66
"2017-07-23",73
"2017-07-30",63
"2017-08-06",63
"2017-08-13",70
"2017-08-20",62
"2017-08-27",68
"2017-09-03",60
"2017-09-10",63
"2017-09-17",59
"2017-09-24",71
"2017-10-01",64
"2017-10-08",68
"2017-10-15",62
"2017-10-22",61
"2017-10-29",67
"2017-11-05",63
"2017-11-12",61
"2017-11-19",58
"2017-11-26",63
"2017-12-03",60
"2017-12-10",64
"2017-12-17",59
"2017-12-24",57
"2017-12-31",67
"2018-01-07",65
"2018-01-14",61
"2018-01-21",63
"2018-01-28",66
"2018-02-04",63
"2018-02-11",61
"2018-02-18",65
"2018-02-25",61
"2018-03-04",61
"2018-03-11",66
"2018-03-18",64
"2018-03-25",60
"2018-04-01",61
"2018-04-08",68
"2018-04-15",67
"2018-04-22",67
"2018-04-29",62
"2018-05-06",56
"2018-05-13",57
"2018-05-20",58
"2018-05-27",75
"2018-06-03",61
"2018-06-10",63
"2018-06-17",66
"2018-06-24",66
"2018-07-01",60
"2018-07-08",60
"2018-07-15",69
"2018-07-22",69
"2018-07-29",65
"2018-08-05",65
"2018-08-12",65
"2018-08-19",65
"2018-08-26",66
"2018-09-02",71
"2018-09-09",66
"2018-09-16",61
"2018-09-23",63
"2018-09-30",63
"2018-10-07",58
"2018-10-14",61
"2018-10-21",56
"2018-10-28",61
"2018-11-04",63
"2018-11-11",64
"2018-11-18",55
