"","Date","x"
"1","2013-12-02",136
"2","2013-12-09",104
"3","2013-12-16",112
"4","2013-12-23",40
"5","2013-12-30",63
"6","2014-01-06",118
"7","2014-01-13",119
"8","2014-01-20",124
"9","2014-01-27",115
"10","2014-02-03",142
"11","2014-02-10",112
"12","2014-02-17",110
"13","2014-02-24",127
"14","2014-03-03",96
"15","2014-03-10",145
"16","2014-03-17",117
"17","2014-03-24",133
"18","2014-03-31",104
"19","2014-04-07",115
"20","2014-04-14",115
"21","2014-04-21",102
"22","2014-04-28",114
"23","2014-05-05",119
"24","2014-05-12",126
"25","2014-05-19",153
"26","2014-05-26",117
"27","2014-06-02",149
"28","2014-06-09",112
"29","2014-06-16",144
"30","2014-06-23",112
"31","2014-06-30",150
"32","2014-07-07",112
"33","2014-07-14",128
"34","2014-07-21",115
"35","2014-07-28",133
"36","2014-08-04",135
"37","2014-08-11",145
"38","2014-08-18",120
"39","2014-08-25",99
"40","2014-09-01",116
"41","2014-09-08",104
"42","2014-09-15",127
"43","2014-09-22",90
"44","2014-09-29",101
"45","2014-10-06",101
"46","2014-10-13",125
"47","2014-10-20",108
"48","2014-10-27",95
"49","2014-11-03",109
"50","2014-11-10",111
"51","2014-11-17",99
"52","2014-11-24",113
"53","2014-12-01",143
"54","2014-12-08",102
"55","2014-12-15",97
"56","2014-12-22",70
"57","2014-12-29",78
"58","2015-01-05",100
"59","2015-01-12",101
"60","2015-01-19",88
"61","2015-01-26",131
"62","2015-02-02",112
"63","2015-02-09",113
"64","2015-02-16",108
"65","2015-02-23",102
"66","2015-03-02",109
"67","2015-03-09",94
"68","2015-03-16",109
"69","2015-03-23",117
"70","2015-03-30",87
"71","2015-04-06",94
"72","2015-04-13",98
"73","2015-04-20",96
"74","2015-04-27",128
"75","2015-05-04",102
"76","2015-05-11",94
"77","2015-05-18",114
"78","2015-05-25",105
"79","2015-06-01",105
"80","2015-06-08",114
"81","2015-06-15",117
"82","2015-06-22",111
"83","2015-06-29",97
"84","2015-07-06",114
"85","2015-07-13",101
"86","2015-07-20",106
"87","2015-07-27",108
"88","2015-08-03",96
"89","2015-08-10",125
"90","2015-08-17",103
"91","2015-08-24",128
"92","2015-08-31",126
"93","2015-09-07",122
"94","2015-09-14",112
"95","2015-09-21",97
"96","2015-09-28",108
"97","2015-10-05",121
"98","2015-10-12",110
"99","2015-10-19",104
"100","2015-10-26",111
"101","2015-11-02",130
"102","2015-11-09",132
"103","2015-11-16",126
"104","2015-11-23",109
"105","2015-11-30",156
"106","2015-12-07",103
"107","2015-12-14",107
"108","2015-12-21",79
"109","2015-12-28",94
"110","2016-01-04",151
"111","2016-01-11",135
"112","2016-01-18",113
"113","2016-01-25",134
"114","2016-02-01",142
"115","2016-02-08",110
"116","2016-02-15",134
"117","2016-02-22",131
"118","2016-02-29",132
"119","2016-03-07",139
"120","2016-03-14",126
"121","2016-03-21",135
"122","2016-03-28",106
"123","2016-04-04",132
"124","2016-04-11",138
"125","2016-04-18",117
"126","2016-04-25",125
"127","2016-05-02",137
"128","2016-05-09",141
"129","2016-05-16",152
"130","2016-05-23",140
"131","2016-05-30",118
"132","2016-06-06",146
"133","2016-06-13",155
"134","2016-06-20",133
"135","2016-06-27",153
"136","2016-07-04",151
"137","2016-07-11",138
"138","2016-07-18",136
"139","2016-07-25",135
"140","2016-08-01",119
"141","2016-08-08",128
"142","2016-08-15",95
"143","2016-08-22",108
"144","2016-08-29",112
"145","2016-09-05",131
"146","2016-09-12",117
"147","2016-09-19",139
"148","2016-09-26",113
"149","2016-10-03",93
"150","2016-10-10",125
"151","2016-10-17",121
"152","2016-10-24",102
"153","2016-10-31",133
"154","2016-11-07",143
"155","2016-11-14",136
"156","2016-11-21",128
"157","2016-11-28",134
"158","2016-12-05",96
"159","2016-12-12",118
"160","2016-12-19",117
"161","2016-12-26",86
"162","2017-01-02",102
"163","2017-01-09",118
"164","2017-01-16",104
"165","2017-01-23",103
"166","2017-01-30",119
