"","Time","n"
"1","2013-12-03",1
"2","2013-12-11",1
"3","2013-12-12",1
"4","2013-12-16",1
"5","2013-12-24",1
"6","2014-01-06",3
"7","2014-01-09",1
"8","2014-01-14",1
"9","2014-01-15",1
"10","2014-01-29",1
"11","2014-02-12",1
"12","2014-02-16",1
"13","2014-02-20",1
"14","2014-02-21",1
"15","2014-02-22",1
"16","2014-02-25",1
"17","2014-02-26",1
"18","2014-03-04",3
"19","2014-03-09",1
"20","2014-03-13",1
"21","2014-03-20",1
"22","2014-03-25",1
"23","2014-03-28",2
"24","2014-03-30",1
"25","2014-04-01",1
"26","2014-04-02",1
"27","2014-04-05",2
"28","2014-04-07",1
"29","2014-04-08",1
"30","2014-04-11",1
"31","2014-04-16",1
"32","2014-04-20",1
"33","2014-04-24",2
"34","2014-04-28",1
"35","2014-05-02",1
"36","2014-05-07",1
"37","2014-05-09",1
"38","2014-05-10",1
"39","2014-05-12",1
"40","2014-05-16",2
"41","2014-05-20",1
"42","2014-05-22",2
"43","2014-05-23",1
"44","2014-05-24",1
"45","2014-05-25",1
"46","2014-05-28",1
"47","2014-06-01",1
"48","2014-06-05",1
"49","2014-06-07",1
"50","2014-06-12",1
"51","2014-06-16",1
"52","2014-06-18",2
"53","2014-06-23",1
"54","2014-06-26",1
"55","2014-07-02",1
"56","2014-07-04",1
"57","2014-07-05",1
"58","2014-07-17",1
"59","2014-07-19",1
"60","2014-07-21",2
"61","2014-07-23",1
"62","2014-07-30",1
"63","2014-08-05",1
"64","2014-08-07",1
"65","2014-08-10",1
"66","2014-08-11",2
"67","2014-08-12",1
"68","2014-08-16",1
"69","2014-08-20",1
"70","2014-08-24",1
"71","2014-09-08",1
"72","2014-09-09",1
"73","2014-09-10",1
"74","2014-09-11",1
"75","2014-09-12",1
"76","2014-09-13",1
"77","2014-09-18",1
"78","2014-09-22",1
"79","2014-09-26",2
"80","2014-10-03",1
"81","2014-10-07",1
"82","2014-10-09",1
"83","2014-10-10",1
"84","2014-10-14",1
"85","2014-10-16",1
"86","2014-10-17",1
"87","2014-10-22",1
"88","2014-10-23",1
"89","2014-10-27",1
"90","2014-10-29",1
"91","2014-11-06",1
"92","2014-11-08",1
"93","2014-11-14",1
"94","2014-11-15",1
"95","2014-11-19",1
"96","2014-11-21",2
"97","2014-11-23",1
"98","2014-12-05",1
"99","2014-12-09",1
"100","2014-12-10",2
"101","2014-12-17",1
"102","2014-12-18",1
"103","2014-12-20",1
"104","2014-12-22",1
"105","2015-01-06",1
"106","2015-01-08",2
"107","2015-01-09",2
"108","2015-01-12",2
"109","2015-01-14",1
"110","2015-01-16",3
"111","2015-01-19",1
"112","2015-01-21",1
"113","2015-01-25",1
"114","2015-01-26",1
"115","2015-01-28",2
"116","2015-02-05",1
"117","2015-02-06",1
"118","2015-02-09",1
"119","2015-02-12",1
"120","2015-02-14",1
"121","2015-02-16",1
"122","2015-02-18",1
"123","2015-02-20",3
"124","2015-02-27",1
"125","2015-03-07",1
"126","2015-03-09",2
"127","2015-03-11",2
"128","2015-03-15",1
"129","2015-03-16",2
"130","2015-03-18",2
"131","2015-03-21",1
"132","2015-03-22",1
"133","2015-03-26",1
"134","2015-03-27",1
"135","2015-04-03",1
"136","2015-04-07",1
"137","2015-04-16",1
"138","2015-04-17",2
"139","2015-04-21",1
"140","2015-04-25",1
"141","2015-05-01",3
"142","2015-05-04",1
"143","2015-05-05",1
"144","2015-05-06",3
"145","2015-05-07",2
"146","2015-05-10",1
"147","2015-05-15",1
"148","2015-05-18",1
"149","2015-05-19",1
"150","2015-05-22",1
"151","2015-05-25",1
"152","2015-05-26",1
"153","2015-05-27",2
"154","2015-05-28",1
"155","2015-05-29",1
"156","2015-05-31",2
"157","2015-06-08",1
"158","2015-06-09",1
"159","2015-06-10",2
"160","2015-06-14",2
"161","2015-06-15",2
"162","2015-06-16",1
"163","2015-06-18",2
"164","2015-06-20",2
"165","2015-06-22",1
"166","2015-07-01",1
"167","2015-07-05",2
"168","2015-07-06",1
"169","2015-07-08",3
"170","2015-07-09",1
"171","2015-07-17",1
"172","2015-07-19",1
"173","2015-07-24",1
"174","2015-07-31",1
"175","2015-08-03",1
"176","2015-08-04",2
"177","2015-08-06",1
"178","2015-08-07",1
"179","2015-08-09",1
"180","2015-08-14",1
"181","2015-08-16",1
"182","2015-08-20",1
"183","2015-08-24",1
"184","2015-09-03",1
"185","2015-09-10",1
"186","2015-09-15",1
"187","2015-09-16",1
"188","2015-09-17",2
"189","2015-09-18",3
"190","2015-09-22",1
"191","2015-09-23",1
"192","2015-09-27",1
